dlga_start:close_window|警 告 ： 这 句 台 词 没 有 出 现 过 。 这 只 是 对 话 台 词 的 储 备 变 量 。 
dlga_member_chat:close_window|警 告 ： 这 句 台 词 没 有 出 现 过 。 这 只 是 对 话 台 词 的 储 备 变 量 。 
dlga_event_triggered:close_window|警 告 ： 这 句 台 词 没 有 出 现 过 。 这 只 是 对 话 台 词 的 储 备 变 量 。 
dlga_oim_tutorial_mission_dlg_x:oim_tutorial_mission_dlg_1_1|谢 谢 你 的 帮 助 ！ 在 这 种 困 难 时 期 有 个 帮 手 总 是 好 的 。 
dlga_oim_tutorial_mission_dlg_1_1:oim_tutorial_mission_dlg_1_2|帮 助 您 是 我 的 荣 幸 。 
dlga_oim_tutorial_mission_dlg_1_2:close_window|快 点 ！ 在 遇 到 更 多 这 些 无 赖 之 前 找 匹 马 逃 跑 吧 。 
dlga_oim_tutorial_mission_dlg:close_window|好 吧 ， 看 来 我 们 得 想 办 法 对 付 这 个 挂 锁 ， 用 手 枪 将 它 打 坏 如 何 ？ 
dlga_oim_tutorial_mission_dlg_5:oim_tutorial_mission_dlg_5_1|真 感 谢 你 ， 陌 生 人 。 这 是 个 混 乱 的 时 代 ， 你 我 都 懂 得 … … 很 高 兴 能 结 交 到 新 朋 友 。 你 能 与 我 们 共 进 晚 餐 吗 ？ 
dlga_oim_tutorial_mission_dlg_5_1:close_window|啊 ， 没 问 题 ！ 
dlga_ms_extra_officer_dialog_start:ms_extra_officer_element_list|{s0}^{s5}
dlga_ms_extra_officer_element_list:ms_view_officer_elements|{s2}
dlga_ms_extra_officer_element_list:ms_extra_officer_dialog_start|我 是 想 招 募 点 儿 人 。 
dlga_ms_extra_officer_element_list:close_window|我 得 走 了 … … 
dlga_ms_view_officer_elements:ms_view_officer_elements_list|{s2}
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start|1({reg0}泰 勒 又 {reg1}铜 币 )。 
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.1|3({reg0}泰 勒 又 {reg1}铜 币 )。 
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.2|5({reg0}泰 勒 又 {reg1}铜 币 )。 
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.3|我 得 走 了 … … 
dlga_ms_extra_goods_dialog_start:ms_extra_goods_category_list|你 想 买 点 儿 什 么 ？ 
dlga_ms_extra_goods_category_list:ms_view_categoty_elements|{s2}
dlga_ms_extra_goods_category_list:close_window|买 点 东 西 。 
dlga_ms_extra_goods_category_list:close_window.1|我 得 走 了 … … 
dlga_ms_view_categoty_elements:ms_view_categoty_elements_list|{s0}
dlga_ms_view_categoty_elements_list:ms_extra_element_buy_descr|{s2}({reg2}泰 勒 )。 
dlga_ms_view_categoty_elements_list:ms_extra_goods_dialog_start|我 得 走 了 … … 
dlga_ms_extra_element_buy_descr:ms_extra_element_buy_descr_list|我 们 已 经 接 受 定 单 。 两 周 左 右 你 再 来 ， 一 切 都 会 准 备 就 绪 。 
dlga_ms_extra_element_buy_descr:ms_extra_element_buy_descr_list.1|你 没 带 够 钱 ！ 
dlga_ms_extra_element_buy_descr_list:close_window|非 常 好 。 
dlga_ms_elder_dialog_start:ms_elder_list|我 能 帮 上 什 么 忙 呢 ？ 
dlga_ms_elder_list:ms_view_elements|我 想 援 建 一 座 建 筑 物 。 
dlga_ms_elder_list:ms_view_elements.1|我 想 指 派 某 人 … … 
dlga_ms_elder_list:ms_already_builded|告 诉 我 ， 这 里 已 有 哪 些 建 筑 了 ？ 
dlga_ms_elder_list:ms_already_builded.1|告 诉 我 ， 哪 些 职 位 已 经 有 人 了 ？ 
dlga_ms_elder_list:close_window|我 得 走 了 … … 
dlga_ms_view_elements:ms_view_elements_list|{s0}
dlga_ms_view_elements_list:ms_element_menu|{s2}
dlga_ms_view_elements_list:ms_elder_dialog_start|我 要 讲 的 就 这 些 了 。 
dlga_ms_view_elements_list:ms_extra_adviser|了 解 了 。 
dlga_ms_element_menu:ms_element_menu_list|{s0}。 你 想 要 做 些 什 么 呢 ， {先 生 /夫 人 }？ 
dlga_ms_element_menu_list:ms_player_read_descr|{s2}
dlga_ms_element_menu_list:ms_element_description|给 我 多 讲 讲 你 们 的 情 况 … … 
dlga_ms_element_menu_list:ms_view_elements|没 什 么 。 
dlga_ms_player_read_descr:ms_player_read_descr_list|{reg0?找 到 合 适 的 人 :建 造 建 筑 }需 要 {reg2}{reg1?天 :小 时 }和 {reg3}泰 勒 。 
dlga_ms_player_read_descr_list:ms_elder_dialog_start|很 好 。 
dlga_ms_player_read_descr_list:ms_element_menu|我 改 变 主 意 了 。 
dlga_ms_element_description:ms_element_description_list|{s0}
dlga_ms_element_description_list:ms_element_menu|了 解 。 
dlga_ms_already_builded:ms_already_builded_list|{s1}{s2}
dlga_ms_already_builded_list:ms_elder_dialog_start|就 是 这 些 了 。 
dlga_ms_already_builded_list:ms_extra_adviser|了 解 。 
dlga_ms_npc_dialog_start:ms_npc_list|你 想 训 练 哪 位 伙 伴 呢 ？ 。 
dlga_ms_npc_list:ms_npc_variants|{s0}
dlga_ms_npc_list:close_window|我 改 变 主 意 了 。 
dlga_ms_npc_variants:ms_npc_dialog_start|我 们 已 经 没 什 么 能 教 他 的 了 。 
dlga_ms_npc_variants:ms_nps_variant_descr|好 吧 ， 阁 下 请 选 一 项 想 要 精 通 的 才 能 。 
dlga_ms_nps_variant_descr:ms_nps_variant_selected|急 救 。 
dlga_ms_nps_variant_descr:ms_nps_variant_selected.1|战 术 。 
dlga_ms_nps_variant_descr:ms_nps_variant_selected.2|训 练 。 
dlga_ms_nps_variant_descr:ms_npc_dialog_start|返 回 。 
dlga_ms_nps_variant_selected:ms_npc_agree_disagree|训 练 的 花 费 是 {reg0}泰 勒 。 
dlga_ms_npc_agree_disagree:close_window|好 吧 ， 这 是 你 的 报 酬 。 
dlga_ms_npc_agree_disagree:ms_npc_variants|还 是 下 次 吧 。 
dlga_ms_extra_adviser:ms_extra_adviser_list|好 的 ， 那 么 我 们 应 该 去 哪 ？ 
dlga_ms_extra_adviser_list:ms_view_elements|{s0}
dlga_ms_extra_adviser_list:close_window|返 回 。 
dlga_messenger_dialog_start:centres_list|悲 剧 呀 ， {先 生 /夫 人 }的 队 长 被 敌 人 俘 虏 了 ， 要 不 要 选 一 位 新 队 长 呢 ？ 
dlga_centres_list:close_window|{s0}
dlga_centres_list:close_window.1|返 回 。 
dlga_ambassador_start:ambassador_variants|{playername}大 人 您 有 什 么 提 议 呢 ？ 
dlga_ambassador_variants:ambassador_peace|我 想 来 缔 结 和 平 协 议 。 
dlga_ambassador_variants:ambassador_start|准 备 开 战 吧 ！ 
dlga_ambassador_variants:ambassador_trade_deal|我 想 缔 结 一 项 贸 易 合 约 。 
dlga_ambassador_variants:close_window|没 什 么 特 别 的 事 情 。 
dlga_ambassador_peace:ambassador_peace_choose|{s0}
dlga_ambassador_peace_choose:ambassador_start|我 们 赞 同 阁 下 那 合 理 的 提 议 。 
dlga_ambassador_peace_choose:ambassador_start.1|我 国 以 前 可 从 没 缔 结 过 做 出 这 么 多 让 步 的 协 议 。 
dlga_ambassador_trade_deal:ambassador_trade_chose|这 项 贸 易 协 定 将 花 费 您 4000泰 勒 ， 而 贸 易 的 利 润 则 是 每 月 不 低 于 2500泰 勒 。 
dlga_ambassador_trade_chose:ambassador_start|我 同 意 。 
dlga_ambassador_trade_chose:ambassador_start.1|我 得 再 慎 重 考 虑 一 下 。 
dlga_oim_tracai_monk_talk_quest_ended:close_window|一 边 去 ， 别 在 我 喝 酒 的 时 候 打 搅 我 。 
dlga_start:close_window.1|走 吧 ！ 
dlga_event_triggered:oim_dmitriy_razin_rebel_end|莫 斯 科 的 大 地 上 正 在 举 办 庆 祝 活 动 ！ 
