str_no_string|NO STRING!
str_empty_string|
str_yes|是 
str_no|否 
str_blank_string|
str_error_string|ERROR!!!ERROR!!!!ERROR!!!ERROR!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!!
str_noone|无 人 
str_s0|{s0}
str_reg1|{reg1}
str_s50_comma_s51|{s50}， {s51}
str_s50_and_s51|{s50}和 {s51}
str_s5_s_party|{s5}的 部 队 
str_bandits_eliminated_by_another|难 对 付 的 强 盗 被 别 的 队 伍 消 灭 了 。 
str_msg_battle_won|战 斗 胜 利 了 ！ 按 TAB键 离 开 战 场 … … 
str_randomize|随 机 
str_hold_fire|停 止 射 击 
str_blunt_hold_fire|停 止 /停 止 射 击 
str_finished| （ 完 成 ） 
str_delivered_damage|施 加 了 {reg60}点 伤 害 。 
str_archery_target_hit|距 离 ： {reg61}码 。 得 分 ： {reg60}
str_use_baggage_for_inventory|在 战 斗 中 你 的 行 李 在 你 开 始 的 地 方 。 通 过 行 李 打 开 你 的 物 品 栏 。 
str_cant_use_inventory_now|不 能 在 这 里 打 开 物 品 栏 。 
str_cant_use_inventory_arena|不 能 在 这 里 打 开 物 品 栏 。 
str_cant_use_inventory_disguised|不 能 在 伪 装 时 打 开 物 品 栏 。 
str_1_denar|1泰 勒 
str_reg1_denars|{reg1}泰 勒 
str_january_reg1_reg2|{reg2}年 1月 {reg1}日 
str_february_reg1_reg2|{reg2}年 2月 {reg1}日 
str_march_reg1_reg2|{reg2}年 3月 {reg1}日 
str_april_reg1_reg2|{reg2}年 4月 {reg1}日 
str_may_reg1_reg2|{reg2}年 5月 {reg1}日 
str_june_reg1_reg2|{reg2}年 6月 {reg1}日 
str_july_reg1_reg2|{reg2}年 7月 {reg1}日 
str_august_reg1_reg2|{reg2}年 8月 {reg1}日 
str_september_reg1_reg2|{reg2}年 9月 {reg1}日 
str_october_reg1_reg2|{reg2}年 10月 {reg1}日 
str_november_reg1_reg2|{reg2}年 11月 {reg1}日 
str_december_reg1_reg2|{reg2}年 12月 {reg1}日 
str_town_nighttime|现 在 是 深 夜 ， 街 上 冷 清 清 的 。 
str_door_locked|门 锁 上 了 。 
str_castle_is_abondened|要 塞 似 乎 没 人 。 
str_place_is_occupied_by_player|这 里 由 你 自 己 的 部 队 把 守 着 。 
str_place_is_occupied_by_enemy|这 里 被 敌 人 把 守 着 。 
str_do_you_want_to_retreat|你 确 定 要 撤 退 吗 ？ 
str_give_up_fight|放 弃 战 斗 ？ 
str_do_you_wish_to_leave_tutorial|你 想 要 离 开 教 程 吗 ？ 
str_do_you_wish_to_surrender|你 想 投 降 吗 ？ 
str_can_not_retreat|不 能 撤 退 ！ 附 近 有 敌 人 ！ 
str_s1_joined_battle_enemy|敌 方 {s1}加 入 战 斗 。 
str_s1_joined_battle_friend|我 方 {s1}加 入 战 斗 。 
str_entrance_to_town_forbidden|这 里 的 守 卫 正 在 搜 寻 敌 人 ， 你 没 法 轻 易 从 大 门 溜 进 去 。 
str_sneaking_to_town_impossible|这 里 的 守 卫 警 惕 性 很 高 ， 不 管 你 怎 么 伪 装 都 没 法 溜 进 去 。 
str_battle_won|你 赢 得 了 这 场 战 斗 ！ 
str_battle_lost|你 输 掉 了 这 场 战 斗 ！ 
str_attack_walls_success|在 一 阵 浴 血 战 斗 之 后 ， 你 士 兵 奋 勇 攻 下 了 城 头 。 
str_attack_walls_failure|你 的 士 兵 在 冲 锋 中 一 波 又 一 波 地 倒 下 ， 仅 存 的 生 还 者 夺 命 而 逃 。 
str_attack_walls_continue|浴 血 的 战 斗 展 现 了 双 方 的 英 勇 。 尽 管 你 的 战 士 很 努 力 ， 城 堡 上 还 是 飘 着 敌 人 的 旗 子 。 
str_order_attack_success|你 的 士 兵 奋 勇 击 退 了 敌 人 。 
str_order_attack_failure|你 绝 望 地 看 着 敌 人 轻 易 摧 毁 了 你 的 部 队 ， 砍 倒 了 最 后 一 个 生 还 者 。 
str_order_attack_continue|经 过 漫 长 而 艰 辛 的 战 斗 ， 你 的 士 兵 依 然 无 法 取 得 近 在 眼 前 的 胜 利 。 
str_join_order_attack_success|你 的 士 兵 与 盟 军 并 肩 作 战 ， 分 享 了 击 溃 敌 人 的 荣 耀 。 
str_join_order_attack_failure|你 绝 望 地 看 着 敌 人 砍 倒 了 你 最 后 的 战 士 。 
str_join_order_attack_continue|激 烈 的 战 斗 之 后 ， 你 和 你 的 盟 友 都 无 法 取 得 胜 利 。 
