qst_deliver_message|送 信 给 {s13}
qst_deliver_message_text|{s9}要 你 带 封 信 给 {s13}， 当 你 接 受 此 任 务 时 ， {s13}在 {s4}。 
qst_deliver_message_to_enemy_lord|送 信 给 {s13}
qst_deliver_message_to_enemy_lord_text|{s9}要 你 带 封 信 给 {s15}的 {s13}。 当 你 接 受 此 任 务 时 ， {s13}在 {s4}。 
qst_raise_troops|培 养 {reg1}名 {s14}
qst_raise_troops_text|{s9}要 你 培 养 {reg1}名 {s14}并 把 他 们 带 给 他 。 
qst_escort_lady|护 送 {s13}去 {s14}
qst_escort_lady_text|无 
qst_deal_with_bandits_at_lords_village|解 救 {s15}村 
qst_deal_with_bandits_at_lords_village_text|{s13}要 你 对 付 盘 踞 在 {s15}村 的 强 盗 ， 然 后 回 去 向 他 报 告 。 
qst_collect_taxes|到 {s3}收 税 
qst_collect_taxes_text|{s9}要 你 从 {s3}收 税 ， 他 愿 意 给 你 总 税 款 的 五 分 之 一 作 为 报 酬 。 
qst_hunt_down_fugitive|抓 捕 {s4}
qst_hunt_down_fugitive_text|{s9}要 你 追 捕 名 为 {s4}的 逃 亡 者 。 他 最 近 被 确 信 在 {s3}。 
qst_kill_local_merchant|暗 杀 {s3}的 地 方 商 人 
qst_kill_local_merchant_text|{s9}要 你 暗 杀 {s3}的 一 名 地 方 商 人 。 
qst_bring_back_runaway_serfs|追 回 逃 跑 的 农 奴 
qst_bring_back_runaway_serfs_text|{s9}要 你 找 到 三 拨 逃 跑 的 农 奴 后 将 他 们 带 回 {s2}。 他 说 这 三 拨 都 在 朝 {s3}的 方 向 逃 跑 。 
qst_follow_spy|跟 踪 准 备 接 头 的 间 谍 
qst_follow_spy_text|{s11}要 你 跟 踪 将 离 开 {s12}的 间 谍 。 你 必 须 小 心 ， 不 要 在 途 中 被 他 发 现 ， 否 则 他 可 能 会 起 疑 并 折 回 去 。 当 间 谍 和 同 伙 接 头 时 ， 你 得 一 举 将 他 们 两 人 拿 下 ， 然 后 交 给 {s11}。 
qst_capture_enemy_hero|抓 捕 在 {s13}的 一 个 领 主 
qst_capture_enemy_hero_text|{s11}要 你 抓 捕 在 {s13}的 一 个 领 主 。 
qst_lend_companion|把 你 的 同 伴 {s3}借 给 {s9}
qst_lend_companion_text|{s9}要 你 把 你 的 同 伴 {s3}借 给 他 一 个 星 期 。 
qst_collect_debt|讨 要 {s3}欠 {s9}的 钱 
qst_collect_debt_text|{s9}要 你 讨 要 {s3}欠 他 的 {reg4}泰 勒 。 
