dlga_start:close_window|警 告 ： 這 句 台 詞 沒 有 出 現 過 。 這 只 是 對 話 台 詞 的 儲 備 變 量 。 
dlga_member_chat:close_window|警 告 ： 這 句 台 詞 沒 有 出 現 過 。 這 只 是 對 話 台 詞 的 儲 備 變 量 。 
dlga_event_triggered:close_window|警 告 ： 這 句 台 詞 沒 有 出 現 過 。 這 只 是 對 話 台 詞 的 儲 備 變 量 。 
dlga_oim_tutorial_mission_dlg_x:oim_tutorial_mission_dlg_1_1|謝 謝 你 的 幫 助 ！ 在 這 種 困 難 時 期 有 個 幫 手 總 是 好 的 。 
dlga_oim_tutorial_mission_dlg_1_1:oim_tutorial_mission_dlg_1_2|幫 助 您 是 我 的 榮 幸 。 
dlga_oim_tutorial_mission_dlg_1_2:close_window|快 點 ！ 在 遇 到 更 多 這 些 無 賴 之 前 找 匹 馬 逃 跑 吧 。 
dlga_oim_tutorial_mission_dlg:close_window|好 吧 ， 看 來 我 們 得 想 辦 法 對 付 這 個 掛 鎖 ， 用 手 槍 將 它 打 壞 如 何 ？ 
dlga_oim_tutorial_mission_dlg_5:oim_tutorial_mission_dlg_5_1|真 感 謝 你 ， 陌 生 人 。 這 是 個 混 亂 的 時 代 ， 你 我 都 懂 得 … … 很 高 興 能 結 交 到 新 朋 友 。 你 能 與 我 們 共 進 晚 餐 嗎 ？ 
dlga_oim_tutorial_mission_dlg_5_1:close_window|啊 ， 沒 問 題 ！ 
dlga_ms_extra_officer_dialog_start:ms_extra_officer_element_list|{s0}^{s5}
dlga_ms_extra_officer_element_list:ms_view_officer_elements|{s2}
dlga_ms_extra_officer_element_list:ms_extra_officer_dialog_start|我 是 想 招 募 點 兒 人 。 
dlga_ms_extra_officer_element_list:close_window|我 得 走 了 … … 
dlga_ms_view_officer_elements:ms_view_officer_elements_list|{s2}
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start|1({reg0}泰 勒 又 {reg1}銅 幣 )。 
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.1|3({reg0}泰 勒 又 {reg1}銅 幣 )。 
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.2|5({reg0}泰 勒 又 {reg1}銅 幣 )。 
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.3|我 得 走 了 … … 
dlga_ms_extra_goods_dialog_start:ms_extra_goods_category_list|你 想 買 點 兒 什 麼 ？ 
dlga_ms_extra_goods_category_list:ms_view_categoty_elements|{s2}
dlga_ms_extra_goods_category_list:close_window|買 點 東 西 。 
dlga_ms_extra_goods_category_list:close_window.1|我 得 走 了 … … 
dlga_ms_view_categoty_elements:ms_view_categoty_elements_list|{s0}
dlga_ms_view_categoty_elements_list:ms_extra_element_buy_descr|{s2}({reg2}泰 勒 )。 
dlga_ms_view_categoty_elements_list:ms_extra_goods_dialog_start|我 得 走 了 … … 
dlga_ms_extra_element_buy_descr:ms_extra_element_buy_descr_list|我 們 已 經 接 受 定 單 。 兩 周 左 右 你 再 來 ， 一 切 都 會 准 備 就 緒 。 
dlga_ms_extra_element_buy_descr:ms_extra_element_buy_descr_list.1|你 沒 帶 夠 錢 ！ 
dlga_ms_extra_element_buy_descr_list:close_window|非 常 好 。 
dlga_ms_elder_dialog_start:ms_elder_list|我 能 幫 上 什 麼 忙 呢 ？ 
dlga_ms_elder_list:ms_view_elements|我 想 援 建 一 座 建 築 物 。 
dlga_ms_elder_list:ms_view_elements.1|我 想 指 派 某 人 … … 
dlga_ms_elder_list:ms_already_builded|告 訴 我 ， 這 裡 已 有 哪 些 建 築 了 ？ 
dlga_ms_elder_list:ms_already_builded.1|告 訴 我 ， 哪 些 職 位 已 經 有 人 了 ？ 
dlga_ms_elder_list:close_window|我 得 走 了 … … 
dlga_ms_view_elements:ms_view_elements_list|{s0}
dlga_ms_view_elements_list:ms_element_menu|{s2}
