fac_no_faction|自 由 國 家 
fac_commoners|平 民 
fac_outlaws|不 法 之 徒 
fac_neutral|中 立 陣 營 
fac_innocents|無 辜 者 
fac_merchants|商 人 
fac_culture_1|文 化 1
fac_culture_2|文 化 2
fac_culture_3|文 化 3
fac_culture_4|文 化 4
fac_culture_5|文 化 5
fac_player_faction|玩 家 國 家 
fac_player_supporters_faction|玩 家 國 家 
fac_kingdom_1|波 蘭 共 和 國 
fac_kingdom_2|沙 皇 俄 國 
fac_kingdom_3|克 裡 米 亞 汗 國 
fac_kingdom_4|瑞 典 王 國 
fac_kingdom_5|哥 薩 克 酋 長 國 
fac_oim_rebel_faction|國 家 1
fac_manhunters|秘 密 射 手 
fac_deserters|逃 兵 
fac_mountain_bandits|山 地 強 盜 
fac_forest_bandits|森 林 強 盜 
fac_oim_outlaws|不 法 之 徒 
