str_no_string|NO STRING!
str_empty_string|
str_yes|是 
str_no|否 
str_blank_string|
str_error_string|ERROR!!!ERROR!!!!ERROR!!!ERROR!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!!
str_noone|無 人 
str_s0|{s0}
str_reg1|{reg1}
str_s50_comma_s51|{s50}， {s51}
str_s50_and_s51|{s50}和 {s51}
str_s5_s_party|{s5}的 部 隊 
str_bandits_eliminated_by_another|難 對 付 的 強 盜 被 別 的 隊 伍 消 滅 了 。 
str_msg_battle_won|戰 斗 勝 利 了 ！ 按 TAB鍵 離 開 戰 場 … … 
str_randomize|隨 機 
str_hold_fire|停 止 射 擊 
str_blunt_hold_fire|停 止 /停 止 射 擊 
str_finished| （ 完 成 ） 
str_delivered_damage|施 加 了 {reg60}點 傷 害 。 
str_archery_target_hit|距 離 ： {reg61}碼 。 得 分 ： {reg60}
str_use_baggage_for_inventory|在 戰 斗 中 你 的 行 李 在 你 開 始 的 地 方 。 通 過 行 李 打 開 你 的 物 品 欄 。 
str_cant_use_inventory_now|不 能 在 這 裡 打 開 物 品 欄 。 
str_cant_use_inventory_arena|不 能 在 這 裡 打 開 物 品 欄 。 
str_cant_use_inventory_disguised|不 能 在 偽 裝 時 打 開 物 品 欄 。 
str_1_denar|1泰 勒 
str_reg1_denars|{reg1}泰 勒 
str_january_reg1_reg2|{reg2}年 1月 {reg1}日 
str_february_reg1_reg2|{reg2}年 2月 {reg1}日 
str_march_reg1_reg2|{reg2}年 3月 {reg1}日 
str_april_reg1_reg2|{reg2}年 4月 {reg1}日 
str_may_reg1_reg2|{reg2}年 5月 {reg1}日 
str_june_reg1_reg2|{reg2}年 6月 {reg1}日 
str_july_reg1_reg2|{reg2}年 7月 {reg1}日 
str_august_reg1_reg2|{reg2}年 8月 {reg1}日 
str_september_reg1_reg2|{reg2}年 9月 {reg1}日 
str_october_reg1_reg2|{reg2}年 10月 {reg1}日 
str_november_reg1_reg2|{reg2}年 11月 {reg1}日 
str_december_reg1_reg2|{reg2}年 12月 {reg1}日 
str_town_nighttime|現 在 是 深 夜 ， 街 上 冷 清 清 的 。 
str_door_locked|門 鎖 上 了 。 
str_castle_is_abondened|要 塞 似 乎 沒 人 。 
str_place_is_occupied_by_player|這 裡 由 你 自 己 的 部 隊 把 守 著 。 
str_place_is_occupied_by_enemy|這 裡 被 敵 人 把 守 著 。 
str_do_you_want_to_retreat|你 確 定 要 撤 退 嗎 ？ 
str_give_up_fight|放 棄 戰 斗 ？ 
str_do_you_wish_to_leave_tutorial|你 想 要 離 開 教 程 嗎 ？ 
str_do_you_wish_to_surrender|你 想 投 降 嗎 ？ 
str_can_not_retreat|不 能 撤 退 ！ 附 近 有 敵 人 ！ 
str_s1_joined_battle_enemy|敵 方 {s1}加 入 戰 斗 。 
str_s1_joined_battle_friend|我 方 {s1}加 入 戰 斗 。 
str_entrance_to_town_forbidden|這 裡 的 守 衛 正 在 搜 尋 敵 人 ， 你 沒 法 輕 易 從 大 門 溜 進 去 。 
str_sneaking_to_town_impossible|這 裡 的 守 衛 警 惕 性 很 高 ， 不 管 你 怎 麼 偽 裝 都 沒 法 溜 進 去 。 
str_battle_won|你 贏 得 了 這 場 戰 斗 ！ 
str_battle_lost|你 輸 掉 了 這 場 戰 斗 ！ 
str_attack_walls_success|在 一 陣 浴 血 戰 斗 之 後 ， 你 士 兵 奮 勇 攻 下 了 城 頭 。 
str_attack_walls_failure|你 的 士 兵 在 沖 鋒 中 一 波 又 一 波 地 倒 下 ， 僅 存 的 生 還 者 奪 命 而 逃 。 
str_attack_walls_continue|浴 血 的 戰 斗 展 現 了 雙 方 的 英 勇 。 盡 管 你 的 戰 士 很 努 力 ， 城 堡 上 還 是 飄 著 敵 人 的 旗 子 。 
str_order_attack_success|你 的 士 兵 奮 勇 擊 退 了 敵 人 。 
str_order_attack_failure|你 絕 望 地 看 著 敵 人 輕 易 摧 毀 了 你 的 部 隊 ， 砍 倒 了 最 後 一 個 生 還 者 。 
str_order_attack_continue|經 過 漫 長 而 艱 辛 的 戰 斗 ， 你 的 士 兵 依 然 無 法 取 得 近 在 眼 前 的 勝 利 。 
str_join_order_attack_success|你 的 士 兵 與 盟 軍 並 肩 作 戰 ， 分 享 了 擊 潰 敵 人 的 榮 耀 。 
str_join_order_attack_failure|你 絕 望 地 看 著 敵 人 砍 倒 了 你 最 後 的 戰 士 。 
str_join_order_attack_continue|激 烈 的 戰 斗 之 後 ， 你 和 你 的 盟 友 都 無 法 取 得 勝 利 。 
