trp_multiplayer_profile_troop_male|聯 機 男 性 玩 家 角 色　
trp_multiplayer_profile_troop_male_pl|聯 機 男 性 玩 家 角 色　
trp_multiplayer_profile_troop_female|聯 機 女 性 玩 家 角 色　
trp_multiplayer_profile_troop_female_pl|聯 機 女 性 玩 家 角 色　
trp_temp_troop|Temp Troop　
trp_temp_troop_pl|Temp Troop　
trp_find_item_cheat|find item cheat　
trp_find_item_cheat_pl|find item cheat　
trp_random_town_sequence|Random Town Sequence　
trp_random_town_sequence_pl|Random Town Sequence　
trp_tournament_participants|競 技 場 選 手　
trp_tournament_participants_pl|競 技 場 選 手　
trp_tutorial_maceman|錘 子 手　
trp_tutorial_maceman_pl|錘 子 手　
trp_tutorial_archer|弓 箭 手　
trp_tutorial_archer_pl|弓 箭 手　
trp_tutorial_swordsman|劍 士　
trp_tutorial_swordsman_pl|劍 士　
trp_novice_fighter|初 級 斗 士　
trp_novice_fighter_pl|初 級 斗 士　
trp_regular_fighter|正 規 斗 士　
trp_regular_fighter_pl|正 規 斗 士　
trp_veteran_fighter|資 深 斗 士　
trp_veteran_fighter_pl|資 深 斗 士　
trp_champion_fighter|精 銳 斗 士　
trp_champion_fighter_pl|精 銳 斗 士　
trp_arena_training_fighter_1|初 級 斗 士　
trp_arena_training_fighter_1_pl|初 級 斗 士　
trp_arena_training_fighter_2|初 級 斗 士　
trp_arena_training_fighter_2_pl|初 級 斗 士　
trp_arena_training_fighter_3|正 規 斗 士　
trp_arena_training_fighter_3_pl|正 規 斗 士　
trp_arena_training_fighter_4|正 規 斗 士　
trp_arena_training_fighter_4_pl|正 規 斗 士　
trp_arena_training_fighter_5|正 規 斗 士　
trp_arena_training_fighter_5_pl|正 規 斗 士　
trp_arena_training_fighter_6|資 深 斗 士　
trp_arena_training_fighter_6_pl|資 深 斗 士　
trp_arena_training_fighter_7|資 深 斗 士　
trp_arena_training_fighter_7_pl|資 深 斗 士　
trp_arena_training_fighter_8|資 深 斗 士　
trp_arena_training_fighter_8_pl|資 深 斗 士　
trp_arena_training_fighter_9|精 銳 斗 士　
trp_arena_training_fighter_9_pl|精 銳 斗 士　
trp_arena_training_fighter_10|精 銳 斗 士　
trp_arena_training_fighter_10_pl|精 銳 斗 士　
trp_cattle|牛　
trp_cattle_pl|牛　
trp_farmer|農 民　
trp_farmer_pl|農 民　
trp_townsman|民 兵　
trp_townsman_pl|民 兵　
trp_watchman|雇 傭 戟 兵　
trp_watchman_pl|雇 傭 戟 兵　
trp_caravan_guard|雇 傭 騎 手　
trp_caravan_guard_pl|雇 傭 騎 手　
trp_mercenary_swordsman|雇 傭 射 手　
trp_mercenary_swordsman_pl|雇 傭 射 手　
trp_hired_blade|雇 傭 長 槍 兵　
trp_hired_blade_pl|雇 傭 長 槍 兵　
trp_mercenary_crossbowman|雇 傭 火 槍 兵　
trp_mercenary_crossbowman_pl|雇 傭 火 槍 兵　
trp_mercenary_horseman|雇 傭 輕 騎 兵　
trp_mercenary_horseman_pl|雇 傭 輕 騎 兵　
trp_mercenaries_end|mercenaries end　
trp_mercenaries_end_pl|mercenaries end　
trp_swadian_recruit|波 蘭 鐮 刀 手　
trp_swadian_recruit_pl|波 蘭 鐮 刀 手　
trp_swadian_militia|波 蘭 長 槍 民 兵　
trp_swadian_militia_pl|波 蘭 長 槍 民 兵　
trp_swadian_militia_levelup|波 蘭 資 深 長 槍 民 兵　
trp_swadian_militia_levelup_pl|波 蘭 資 深 長 槍 民 兵　
trp_swadian_skirmisher|波 蘭 火 槍 民 兵　
