dlga_start:close_window|Pozor! Tento řetězec se nezobrazuje. Je vyhrazen pro ukládání dialogových proměnných.
dlga_member_chat:close_window|Pozor! Tento řetězec se nezobrazuje. Je vyhrazen pro ukládání dialogových proměnných.
dlga_event_triggered:close_window|Pozor! Tento řetězec se nezobrazuje. Je vyhrazen pro ukládání dialogových proměnných.
dlga_oim_tutorial_mission_dlg_x:oim_tutorial_mission_dlg_1_1|Děkujeme ti za pomoc. V dnešních dobách se hodí každá zdravá ruka navíc.
dlga_oim_tutorial_mission_dlg_1_1:oim_tutorial_mission_dlg_1_2|Bylo mi ctí vám pomoci.
dlga_oim_tutorial_mission_dlg_1_2:close_window|Pojď, najdeme si nějaké koně a odjedeme, než se tu objeví další z těch proklatých lotrů.
dlga_oim_tutorial_mission_dlg:close_window|Tak dobrá, musíme si nějak poradit s tímhle zámkem. Zkus vzít tuhle starou pistoli a ustřelit ho.
dlga_oim_tutorial_mission_dlg_5:oim_tutorial_mission_dlg_5_1|Vřele ti děkuji, že jsi {pomohl/pomohla} neznámému člověku. Zvlášť v dnešních podivných dobách přátele moc často nepotkáš. Nechceš s námi povečeřet?
dlga_oim_tutorial_mission_dlg_5_1:close_window|Ano, s potěšením.
dlga_ms_extra_officer_dialog_start:ms_extra_officer_element_list|{s0}^{s5}
dlga_ms_extra_officer_element_list:ms_view_officer_elements|{s2}
dlga_ms_extra_officer_element_list:ms_extra_officer_dialog_start|Chci naverbovat rekruty.
dlga_ms_extra_officer_element_list:close_window|Budu už muset jít.
dlga_ms_view_officer_elements:ms_view_officer_elements_list|{s2}
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start|1 ({reg0} tolarů a {reg1} dní).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.1|3 ({reg0} tolarů a {reg1} dní).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.2|5 ({reg0} tolarů a {reg1} dní).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.3|Budu už muset jít.
dlga_ms_extra_goods_dialog_start:ms_extra_goods_category_list|Co si přeješ?
dlga_ms_extra_goods_category_list:ms_view_categoty_elements|{s2}
dlga_ms_extra_goods_category_list:close_window|Zadat objednávku.
dlga_ms_extra_goods_category_list:close_window.1|Budu už muset jít.
dlga_ms_view_categoty_elements:ms_view_categoty_elements_list|{s0}
dlga_ms_view_categoty_elements_list:ms_extra_element_buy_descr|{s2} ({reg2} tolarů).
dlga_ms_view_categoty_elements_list:ms_extra_goods_dialog_start|Budu už muset jít.
dlga_ms_extra_element_buy_descr:ms_extra_element_buy_descr_list|Objednávka přijata. Stav se tak za dva týdny, to už bude všechno hotové.
dlga_ms_extra_element_buy_descr:ms_extra_element_buy_descr_list.1|Nemáš dost peněz.
dlga_ms_extra_element_buy_descr_list:close_window|Dobře.
dlga_ms_elder_dialog_start:ms_elder_list|Čím posloužím?
dlga_ms_elder_list:ms_view_elements|Chci postavit budovu.
dlga_ms_elder_list:ms_view_elements.1|Navrhnout člověka do funkce...
dlga_ms_elder_list:ms_already_builded|Pověz mi, co je tu už postavené?
dlga_ms_elder_list:ms_already_builded.1|Řekni mi, které funkce jsou už obsazené?
dlga_ms_elder_list:close_window|Už budu muset jít.
dlga_ms_view_elements:ms_view_elements_list|{s0}
dlga_ms_view_elements_list:ms_element_menu|{s2} 
dlga_ms_view_elements_list:ms_elder_dialog_start|To je všechno.
dlga_ms_view_elements_list:ms_extra_adviser|Rozumím.
