fac_no_faction|Svobodné panství
fac_commoners|Prostý lid
fac_outlaws|Psanci
fac_neutral|Neutrální
fac_innocents|Nevinní
fac_merchants|Kupci
fac_culture_1|kultura 1
fac_culture_2|kultura 2
fac_culture_3|kultura 3
fac_culture_4|kultura 4
fac_culture_5|kultura 5
fac_player_faction|Hráčovo panství
fac_player_supporters_faction|Hráčovo panství
fac_kingdom_1|Rzeczpospolita
fac_kingdom_2|Moskevské carství
fac_kingdom_3|Krymský chanát
fac_kingdom_4|Švédské království
fac_kingdom_5|Záporožské vojsko
fac_oim_rebel_faction|Stát 1
fac_manhunters|Střelci tajného řádu
fac_deserters|Dezertéři
fac_mountain_bandits|Horští zbojníci
fac_forest_bandits|Lesní lapkové
fac_oim_outlaws|Zločinci
