menu_start_game_0|Vítej v Mount a Blade: Ohněm a mečem, dobrodruhu. Než začneš hrát, musíš si nejprve vytvořit svou postavu a zvolit obtížnost hry.
mno_start_easy|Nízká
mno_start_normal|Střední
mno_start_hard|Vysoká
mno_go_back_dot|[Zpět]
menu_start_phase_2|{s10}
mno_get_deal_with|Podívat se, co se děje.
mno_talk_to_monfore|Pokračovat...
mno_camp_train_archery|Začít s výcvikem.
mno_continue|Pokračovat...
menu_reports|Tvoje sláva: {reg5}^Hodnocení cti: {reg6}^Morálka družiny: {reg8}^Maximální velikost družiny: {reg7}^
mno_view_character_report|Zobrazit osobní statistiky.
mno_view_party_size_report|Zobrazit údaje o velikosti družiny.
mno_view_morale_report|Zobrazit údaje o morálce družiny.
mno_view_faction_relations_report|Zobrazit vztahy s frakcemi.
mno_view_banking_reports|Prohlédnout si záznamy o bankovních účtech.
mno_resume_travelling|Pokračovat...
mno_go_back|[Zpět]
menu_custom_battle_end|Je po boji. {s1} Tvá družina pobila {reg5} nepřátel a sama přišla o {reg6} vojáků. Tobě osobně se podařilo zabít {reg7} lidí.
menu_start_game_1|Vyber pohlaví své postavy.
mno_start_male_2|Muž
mno_start_female|Žena
menu_start_character_1|Z jakéhopak jsi rodu či kmene? Z jaké rodiny?
mno_start_noble|Můj otec a matka jsou urození dvořané.
mno_start_merchant|... kočovným obchodníkem.
mno_start_guard|... vysloužilým vojákem.
mno_start_forester|... lovcem.
mno_start_nomad|... stepním kočovníkem.
mno_start_thief|... zlodějem.
menu_start_character_2|{s10}^^ Sotva tě naučili chodit a mluvit, objevila se u tebe touha poznávat svět. Větší část dětství jsi byl...
mno_page|... pážetem u šlechtického dvora.
mno_apprentice|... tovaryšem u mistra řemeslníka.
mno_stockboy|... příručím v obchodě.
mno_urchin|... pouličním rváčem.
mno_nomad|... pravým dítětem stepi.
menu_start_character_3|{s11}^^ V mládí se ti život změnil, jak už to bývá. Podařilo se ti stát...
mno_squire|... rolníkem.
mno_lady|... dvorní dámou.
mno_troubadour|... minstrelem.
