str_no_string|CHYBÍ TEXT!
str_empty_string| 
str_yes|Ano
str_no|Ne 
str_blank_string| 
str_error_string|CHYBA!!! CHYBA!!! CHYBA!!! CHYBA!!! CHYBA!!! CHYBA!!! CHYBA!!! CHYBA!!! CHYBA!!! CHYBA!!! CHYBA!!! CHYBA!!! CHYBA!!! CHYBA!!! CHYBA!!!
str_noone|nikdo
str_s0|{s0}
str_reg1|{reg1}
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} a {s51}
str_s5_s_party|{s5} s družinou
str_bandits_eliminated_by_another|Nebezpečné bandity pobila jiná družina.
str_msg_battle_won|Vítězství! Z bojiště odejdeš stisknutím klávesy Tab.
str_randomize|Náhodně
str_hold_fire|Nestřílet
str_blunt_hold_fire|Stůj! / Nestřílet
str_finished|Hotovo
str_delivered_damage|Působíš zranění za {reg60}.
str_archery_target_hit|Vzdálenost: {reg61} yardů. Skóre: {reg60}
str_use_baggage_for_inventory|Při boji si můžeš brát věci z truhlice (najdeš ji na výchozí pozici).
str_cant_use_inventory_now|Do inventáře teď nemáš přístup.
str_cant_use_inventory_arena|Do inventáře nemáš v aréně přístup.
str_cant_use_inventory_disguised|Do inventáře nemáš v přestrojení přístup.
str_1_denar|1 tolar
str_reg1_denars|{reg1} tolarů
str_january_reg1_reg2|{reg1}. ledna {reg2}
str_february_reg1_reg2|{reg1}. února {reg2}
str_march_reg1_reg2|{reg1}. března {reg2}
str_april_reg1_reg2|{reg1}. dubna {reg2}
str_may_reg1_reg2|{reg1}. května {reg2}
str_june_reg1_reg2|{reg1}. června {reg2}
str_july_reg1_reg2|{reg1}. července {reg2}
str_august_reg1_reg2|{reg1}. srpna {reg2}
str_september_reg1_reg2|{reg1}. září {reg2}
str_october_reg1_reg2|{reg1}. října {reg2}
str_november_reg1_reg2|{reg1}. listopadu {reg2}
str_december_reg1_reg2|{reg1}. prosince {reg2}
str_town_nighttime| Je pozdě v noci a slušní lidé už se po ulicích nepotulují.
str_door_locked|Dveře jsou zamčené.
str_castle_is_abondened|Vypadá to, že je tato pevnost opuštěná.
str_place_is_occupied_by_player|Toto místo je v držení tvých vojsk.
str_place_is_occupied_by_enemy|Toto místo je v držení nepřátelských vojsk.
str_do_you_want_to_retreat|Chceš opravdu ustoupit?
