p_zendar|Zendar
p_town_1|Královec
p_town_2|Tallin
p_town_3|Kyjev
p_town_4|Vilnius
p_town_5|Síč
p_town_6|Varšava
p_town_7|Lvov
p_town_8|Moskva
p_town_9|Pskov
p_town_10|Azov
p_town_11|Čerkask
p_town_12|Riga
p_town_13|Smolensk
p_town_14|Bachčisaraj
p_town_15|Černigov
p_town_16|Krakov
p_town_17|Bělehrad
p_town_18|Kazikermen
p_castle_1|pevnost Zbaraž
p_castle_2|pevnost Kezlev
p_castle_3|Polock
p_castle_4|Wiburg
p_castle_5|hrad Dzwinow
p_castle_6|Novgorod
p_castle_7|pevnost Kilburun
p_castle_8|Tver
p_castle_9|Poltava
p_castle_10|pevnost Kaunas
p_castle_11|Mjadzelský hrad
p_castle_12|Narva
p_castle_13|Sluck
p_castle_14|Vratislav
p_castle_15|Čerkasy
p_castle_16|Korsuň
p_castle_17|Perekop
p_castle_18|Pževská pevnost
p_castle_19|Kursk
p_castle_20|Lodzinský zámek
p_castle_21|Perejaslav
p_castle_22|Kaffa
p_castle_23|Dubenský hrad
p_castle_24|Kamenec
p_castle_25|Ljubljaň
p_castle_26|Minsk
p_castle_27|pevnost Brest
p_castle_28|pevnost Bar
p_castle_29|pevnost Brjansk
p_castle_30|pevnost Izmael
p_castle_31|Rjazaň
p_castle_32|Olsztyn
p_castle_33|pevnost Ladyžin
p_castle_34|pevnost Dorpat
p_castle_35|Lideský zámek
p_castle_36|pevnost Dynaburg
p_castle_37|Tula
p_castle_38|pevnost Kalančak
p_castle_39|Izjumská pevnost
p_castle_40|pevnost Kyzyl-jar
p_village_1|Plock
p_village_2|Vodovice
p_village_3|Obruč
p_village_4|Dunajevce
p_village_5|Elplung
p_village_6|Vidava
p_village_7|Marksburg
p_village_8|Wesenburg
p_village_9|Pohřebiště
p_village_10|Reďkino
p_village_11|Ordaš
p_village_12|Bohuslav
p_village_13|Stryje
p_village_14|Slance
p_village_15|Beranovce
p_village_16|Tarusa
p_village_17|Kriviče
p_village_18|Ponyry
p_village_19|Pokrovské
p_village_20|Jefremovo
p_village_21|Obojaň
p_village_22|Ljagov
p_village_23|Magdalenovka
p_village_24|Sinělnikovo
p_village_25|Džankoj
p_village_26|Snovsk
p_village_27|Slavuta
p_village_28|Sivaš
p_village_29|Sigwald
p_village_30|Salis
p_village_31|Pilvy
p_village_32|Staronovice
p_village_33|Radvilov
p_village_34|Moloděčno
p_village_35|Snečko
p_village_36|Nidrice
p_village_37|Bugeac
p_village_38|Solečniky
p_village_39|Ostrovec
p_village_40|Kryliv
p_village_41|Tumnek
p_village_42|Polohy
p_village_43|Ak-Mečet
p_village_44|Esak
p_village_45|Inkerman
p_village_46|Iljince
p_village_47|Zlatonoše
p_village_48|Potoky
p_village_49|Nuraj
p_village_50|Sofonovo
p_village_51|Wiebenstein
p_village_52|Chorol
p_village_53|Nesvěž
p_village_54|Čenstochová
p_village_55|Luka
p_village_56|Torma
p_village_57|Babice
p_village_58|Jarce
p_village_59|Loev
p_village_60|Dobruš
p_village_61|Leal
p_village_62|Stařice
p_village_63|Ostroleky
p_village_64|Kobylí
p_village_65|Dubečná
p_village_66|Zámostí
p_village_67|Rudyně
p_village_68|Libenec
p_village_69|Tapiaj
p_village_70|Ljubotín
p_village_71|Sambir
p_village_72|Vidzy
p_village_73|Kozelec
p_village_74|Klin
p_village_75|Ljudinovo
p_village_76|Čaple
p_village_77|Ponevěž
p_village_78|Pavlovice
p_village_79|Borispol
p_village_80|Bendaj
p_village_81|Šauljaj
p_village_82|Trakaj
p_village_83|Lisjanka
p_village_84|Maslov Brod
p_village_85|Lokyně
p_village_86|Balujky
p_village_87|Plungiany
p_village_88|Kilie
p_village_89|Leščinovka
p_village_90|Kolomak
p_salt_mine|Solný důl
p_four_ways_inn|Hospoda 'U Sedmero větrů'
p_test_scene|testovací scéna
p_battlefields|bitevní pole
p_dhorak_keep|pevnost Kalkari
p_training_ground|Žoldnéřský tábor
p_training_ground_1|Žoldnéřský tábor
p_training_ground_2|Žoldnéřský tábor
p_training_ground_3|Žoldnéřský tábor
p_training_ground_4|Žoldnéřský tábor
p_training_ground_5|Žoldnéřský tábor
p_temp_party_3|temp party 3
p_bridge_1|1
p_bridge_2|2
p_bridge_3|3
p_bridge_4|4
p_bridge_5|5
p_bridge_6|6
p_bridge_7|7
p_bridge_8|8
p_bridge_9|9
p_bridge_10|10
p_bridge_11|11
p_bridge_12|12
p_bridge_13|13
p_bridge_14|14
p_bridge_15|15
p_sea_raider_spawn_point_1|místo, kde se objeví námořní lupič
p_sea_raider_spawn_point_2|místo, kde se objeví námořní lupič
