qst_deliver_message|Doručení zprávy
qst_deliver_message_text|{s9} tě žádá, ať doručíš zprávu adresátovi jménem {s13}. Naposledy ho viděli v obci {s4}.
qst_deliver_message_to_enemy_lord|Dopis
qst_deliver_message_to_enemy_lord_text|{s9} tě žádá, ať doručíš zprávu adresátovi jménem {s13} z obce {s15}. Naposledy ho viděli v {s4}.
qst_raise_troops|Zverbovaní {s14}
qst_raise_troops_text|{s9} tě žádá, ať naverbuješ jednotku {s14} v počtu {reg1} osob a přivedeš mu ji.
qst_escort_lady|{s13} potřebuje doprovod.
qst_escort_lady_text|Není
qst_deal_with_bandits_at_lords_village|Zbojníci ve vesnici {s15}
qst_deal_with_bandits_at_lords_village_text|{s13} tě žádá, ať se vypořádáš se zbojníky, kteří se schovávají ve vesnici zvané {s15}. Máš mu to pak zajít nahlásit.
qst_collect_taxes|Výběrčí daní
qst_collect_taxes_text|{s9} tě žádá, ať vybereš daně v obci {s3}. Pětinu vybrané částky si můžeš nechat.
qst_hunt_down_fugitive|Po stopách uprchlíka
qst_hunt_down_fugitive_text|{s9} tě žádá, ať vypátráš uprchlíka jménem {s4}. Naposledy ho viděli v obci {s3}.
qst_kill_local_merchant|Vražda kupce
qst_kill_local_merchant_text|{s9} tě prosí, ať zabiješ místního kupce ve městě {s3}.
qst_bring_back_runaway_serfs|Uprchlí nevolníci
qst_bring_back_runaway_serfs_text|{s9} tě prosí, ať najdeš tři skupiny jeho uprchlých nevolníků a přinutíš je, aby se vrátili do vesnice zvané {s2}. Říkal, že všichni prchali přibližně směrem, kde leží {s3}.
qst_follow_spy|Špionážní hrátky
qst_follow_spy_text|{s11} tě pověřil sledováním špeha, který se vydal na cestu z obce {s12}. Špeh by si tě neměl všimnout, jinak by mohl začít něco tušit a vrátil by se. Až se špeh sejde s tím, kdo ho najal, máš je oba přepadnout a přivést, {s11} už na ně čeká.
qst_capture_enemy_hero|Únos
qst_capture_enemy_hero_text|{s11} tě žádá, ať zajmeš vládce državy {s13}.
qst_lend_companion|Zapůjčený společník
qst_lend_companion_text|{s9} tě žádá, abys u něj {nechal/nechala} svého společníka jménem {s3}, a to nejméně na týden.
qst_collect_debt|Vrácení dluhů
qst_collect_debt_text|{s9} tě žádá, ať vyzvedneš dlužnou částku {reg4} tolarů od dlužníka jménem {s3}.
qst_incriminate_loyal_commander|Pomluva
qst_incriminate_loyal_commander_text|Není
qst_raid_caravan_to_start_war|Provokace
qst_raid_caravan_to_start_war_text|Není
qst_meet_spy_in_enemy_town|Setkání se špehem
qst_meet_spy_in_enemy_town_text|Není
qst_capture_prisoners|Lov na zajatce
qst_capture_prisoners_text|{s9} tě požádal, ať pochytáš {reg1} zajatců. Mají to být {s3}
qst_lend_surgeon|Zapůjčený chirurg
qst_lend_surgeon_text|Tvůj zkušený chirurg {s3} má zajít za pacientem jménem {s1}.
qst_follow_army|Pronásledování armády {s9}
qst_follow_army_text|Není
qst_report_to_army|Hlášení maršálovi
qst_report_to_army_text|Není
qst_deliver_cattle_to_army|Dobytek pro {s13}
qst_deliver_cattle_to_army_text|Není
qst_join_siege_with_army|Obléhání města {s14}
qst_join_siege_with_army_text|Není
qst_scout_waypoints|Průzkum okolí
qst_scout_waypoints_text|Není
qst_rescue_lord_by_replace|{s13} ze sídla {s14} - záchrana
qst_rescue_lord_by_replace_text|Není
qst_deliver_message_to_prisoner_lord|Dopis pro adresáta jménem {s13} 
qst_deliver_message_to_prisoner_lord_text|Není
qst_duel_for_lady|Souboj s pánem jménem {s13}
qst_duel_for_lady_text|Není
qst_move_cattle_herd|Přeprava dobytka
qst_move_cattle_herd_text|Starosta z města {s10} tě prosí o zajištění transportu dobytka do obce {s13}.
qst_escort_merchant_caravan|Ochrana vozu
qst_escort_merchant_caravan_text|Doprovodit kupeckou karavanu do města {s8}.
qst_deliver_wine|Dodávka zboží
qst_deliver_wine_text|{s9} z obce {s3} tě prosí, ať do taverny ve městě {s4} odvezeš jeho {s6} v množství {reg5} kusů, a to do 7 dní.
qst_troublesome_bandits|Lov na zbojníky
qst_troublesome_bandits_text|{s9} z města {s4} tě prosí, ať vypátráš nebezpečné zbojníky poblíž města.
qst_kidnapped_girl|Zajatá dívka
qst_kidnapped_girl_text|Starosta města {s4} ti dal {reg12} tolarů na zaplacení výkupného za dívku, kterou unesli zbojníci. Máš se s nimi potkat v okolí obce {s3} a předat jim peníze. Pak máš děvče odvézt zpátky, do města {s4}.
qst_persuade_lords_to_make_peace|Mírové jednání
qst_persuade_lords_to_make_peace_text|Starosta města {s4} ti slíbil {reg12} tolarů, když zařídíš, aby {s12} a {s13} nestáli v cestě mírovým rozhovorům, které spolu {s15} a {s14} hodlají vést. Máš je buď zkusit přemluvit, nebo je zajmout a držet je v zajetí až do té doby, dokud nebude uzavřen mír.
qst_deal_with_looters|Loupežnické bandy z města {s4}
qst_deal_with_looters_text|Starosta města {s4} ti dal za úkol zlikvidovat několik loupežnických tlup v okolí a získat pro něj zpět pokud možno co nejvíc ukradeného zboží.
qst_deal_with_night_bandits|Noční lupiči
qst_deal_with_night_bandits_text|Starosta města {s14} tě požádal, ať ho nějak zbavíš zbojníků, kteří se usadili v okolí.
qst_deliver_grain|Osivo pro rolníky
qst_deliver_grain_text|Starosta z vesnice {s3} tě požádal, ať jim přivezeš alespoň {reg5} pytlů obilí.
qst_deliver_cattle|Dobytek pro vesnici {s3}
qst_deliver_cattle_text|Starosta z vesnice {s3} tě požádal, ať jim přiženeš alespoň {reg5} kusů dobytka.
qst_train_peasants_against_bandits|Vojenský výcvik
qst_train_peasants_against_bandits_text|Není
qst_eliminate_bandits_infesting_village|Zbojníci v obci {s7}
qst_eliminate_bandits_infesting_village_text|Člověk z vesnice {s7} tě prosí, ať z vesnice vyženeš zbojníky, kteří se tam usadili.
qst_join_faction|Přísaha věrnosti člověku jménem {s1}
qst_join_faction_text|Vyhledat lenního pána jménem {s1} a složit mu vazalskou přísahu.
qst_rebel_against_kingdom|Podpora uchazeče o trůn
qst_rebel_against_kingdom_text|Není
qst_talk_to_zamoshie_elder|Rozhovor se starostou
qst_talk_to_zamoshie_elder_text|De Clermont říkal, že starosta ze Zámostí platí za práci dobrými penězi. Proč bych tam nezajel?
qst_zamoshie_lower_taxes|Rolníci a jejich daně
qst_zamoshie_lower_taxes_text|Přesvědčit smolenského vojvodu, aby snížil daně rolníkům ze Zámostí.
qst_deal_with_zamoshie_bandits|Zbojníci ze Zámostí
qst_deal_with_zamoshie_bandits_text|Zabít zbojníky ze Zámostí.
qst_oim_bring_goods_zamoshie|Dodávka zboží
qst_oim_bring_goods_zamoshie_text|Dovézt zboží do Zámostí.
qst_oim_trakay_icon|Nepolapitelný kněz
qst_oim_trakay_icon_text|Nepolapitelný kněz
qst_oim_bring_tatarin_to_sich|Se zajatcem na Síč
qst_oim_bring_tatarin_to_sich_text|Se zajatcem na Síč
qst_oim_bring_tatarin_to_perekop|Do Perekopu
qst_oim_bring_tatarin_to_perekop_text|Do Perekopu
qst_oim_sem_samuraev|Sedm dobrovolníků
qst_oim_sem_samuraev_text|Sedm dobrovolníků
qst_oim_lendliz|Pomoc kozákům
qst_oim_lendliz_text|Pomoc kozákům
qst_oim_lendliz2|Pomoc kozákům
qst_oim_lendliz2_text|Pomoc kozákům
qst_oim_monfor_shved|Zverbovat rytíře de Clermont
qst_oim_monfor_shved_text|Zverbování de Clermonta
qst_oim_monfor_shved_army|Carský průvod
qst_oim_monfor_shved_army_text|Carský průvod
qst_mest_i_zakon|Pomsta a právo
qst_mest_i_zakon_text|Pomsta a právo
qst_mest_i_zakon2|Zachráněná vesnice
qst_mest_i_zakon2_text|Pomsta a právo
qst_mest_i_zakon3|Chmelnického pomsta
qst_mest_i_zakon3_text|Pomsta a právo
qst_oim_kidalovo_z_konyem|Půl carství za koně
qst_oim_kidalovo_z_konyem_text|Půl carství za koně
qst_oim_invest|Tajný fond
qst_oim_invest_text|Tajný fond
qst_oim_trubeckoy_rekomendation|Doporučení pro Trubeckého
qst_oim_trubeckoy_rekomendation_text|Doporučení pro Trubeckého
