qstr_Next_Page|Další stránka
qstr_Game_Rules:^|Pravidla hry:^
qstr_Show_game_rules|Zobrazit pravidla hry.
qstr_Continue...|Pokračovat...
qstr_Candidate_#1:_{s1}|Kandidát č.1: {s1}
qstr_Candidate_#2:_{s1}|Kandidát č.2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} ze země {s4} chce jmenovat nového maršála a sezval proto své vazaly na radu. Hlavními kandidáty jsou {s1} a {s2}.
qstr_Who_do_you_wish_to_s|Koho chceš podpořit?
qstr_{s1}|{s1}
qstr_{s1}_gives_his_suppo|{s1} podporuje kandidáta jménem {s2}.
qstr_Number_of_Supporters|Počet stoupenců: {reg0}
qstr_{s2}_has_heard_his_v|{s2} dal na radu svých vazalů. Novým maršálem bude {s1}.
qstr_Action|Akce
qstr_Attack_Type|Typ útoku
qstr_Stand_Ground|Stát na místě
qstr_Charge|Zaútočit
qstr_Follow_Me|Jít za mnou
qstr_Hold_This_Position|Držet pozici
qstr_Spread_Out|Rozptýlit se
qstr_Stand_Closer|Přijít blíž
qstr_Fall_Back|Ustoupit
qstr_Advance|Postupovat vpřed
qstr_Dismount|Sesednout z koně
qstr_Mount|Nasednout
qstr_Fire_At_Will|Zahájit palbu
qstr_Use_Blunt_Weapons|Použít drtivou zbraň
qstr_Use_Any_Weapon|Použít jakoukoli zbraň
qstr_Ready|Připraveno k boji
qstr_Wounded|Zraněno
qstr_Dead|Zabito
qstr_Remain_in_retirement|Zůstat na odpočinku
qstr_Go_back_to_the_adven|Vrátit se k dobrodružnému životu
qstr_You_have_retired_at_|Odcházíš na odpočinek na {reg4}. úrovni. Máš za sebou {reg5} dní dobrodružného života.
qstr_Effect_on_Score|Vliv na skóre
qstr_Settlements_owned_by|Podařilo se ti dobýt {reg0} hradů a obcí
qstr_Friendly_Settlements|Počet přátelských obcí: {reg0}
qstr_Hostile_Settlements:|Počet nepřátelských obcí: {reg0}
qstr_Friendly_Lords:_{reg|Počet přátelských vládců: {reg0}
qstr_Enemy_Lords:_{reg0}|Počet nepřátelských vládců: {reg0}
qstr_Victories:_{reg0}|Počet vítězství: {reg0}
qstr_Defeats:_{reg0}|Počet porážek: {reg0}
qstr_Quests_Completed:_{r|Počet splněných úkolů: {reg0}
qstr_Companions_Found:_{r|Počet členů družiny: {reg0}
qstr_Companions_Lost/Depa|Počet ztracených členů družiny: {reg0}
qstr_Wealth:_{reg0}_denar|Bohatství: {reg0} tolarů
qstr_Inventory:_{reg0}_de|Inventář: {reg0} tolarů
qstr_Renown:_{reg0}|Proslulost: {reg0}
qstr_Experience:_{reg0}|Zkušenosti: {reg0}
qstr_Days_Passed:_{reg0}|Čas: {reg0} dní
qstr_Difficulty:_{reg0}%|Obtížnost: {reg0} %
qstr_TOTAL_SCORE:_{reg0}|CELKOVÉ SKÓRE: {reg0}
qstr_{s1}_of_{s3}_was_def|{s1} z panství {s3} byl v boji poražen, ale podařilo se mu utéct.
qstr_DEBUG:_{s1}_no_longe|ODLADĚNÍ: {s1} už není vůdcem družiny.
qstr_DEBUG:_{s1}_is_no_lo|ODLADĚNÍ: {s1} už není v zajetí.
qstr_DEBUG:_{s1}_is_now_a|ODLADĚNÍ: {s1} upadl do zajetí hráče.
qstr_DEBUG:_{s1}_is_now_a_|ODLADĚNÍ: {s1} upadl do zajetí hráče jménem {s2}.
qstr_{s54}_is_a_claimant_|{s54} je uchazečem o trůn panství {s56}.
qstr_nowhere|nikde
qstr_{s57}_and_{s58}|{s57} a {s58}
qstr_{s57}_{s58}|{s57}, {s58}
qstr_{reg3?She:He}|{reg3?Ona:On}
qstr_^{s59}|^{s59}
qstr_{reg6?:{reg4?{s54}_i|{reg6?:{reg4?{s54} je vládcem panství {s56}.^:{s54} je vazalem panství {s56}, jemuž vládne {s55}.^}}Proslulost: {reg5}.^{reg9?{reg3?Je:Je} {reg3?paní:pánem} v: {s58}.:Nemá žádné vlastní léno.}{s59}
qstr_The_town_of_{s50}|Město {s50}
qstr_The_village_of_{s50}|Vesnice {s50} poblíž města jménem {s52}
qstr_{s51}_belongs_to_{s1|{s51} je pod vládou osoby jménem {s1} z frakce {s2}.^
qstr_{s7}_and_{s8}|{s7} a {s8}
qstr_{s2}It_has_no_villag|{s2}Nepatří k němu žádná vesnice.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Blízké:Blízká} vesnice: {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Úroveň blahobytu: {s50}.
qstr_{s7}_{s8}|{s7}, {s8}
qstr_noone|není
qstr_{s9}_and_{s10}|{s9} a {s10}
qstr_{s9}_{s10}|{s9}, {s10}
qstr_{s11}_and_{s12}|{s11} a {s12}
qstr_{s11}_{s12}|{s11}, {s12}
qstr_{s5}_is_ruled_by_{s6|Vládce frakce {s5} se jmenuje {s6}.^Města a vesnice náležející k této frakci: {s8}.^Poddaní: {s10}.^Nepřátelé frakce {s5}: {s12}.
qstr_{s5}_has_been_defeat|{s5} je poražen!
qstr_{s7}_opened_the_gate|{s7} otevírá bránu
qstr_{s7}_closed_the_gate|{s7} zavírá bránu
qstr_+{reg1}_to_party_mor|+{reg1} k morálce družiny
qstr_Requires_{reg1}_inte|Na přečtení této knihy potřebuješ {reg1} bodů inteligence.
qstr_Reading_Progress:_{r|Přečteno: {reg1}%
qstr_wound_treament|Ošetřování ran
qstr_trainer|Výcvik
qstr_surgery|Chirurgie
qstr_+1_to_{s1}_while_in_|Přidává 1 bod ke schopnosti {s1}, pokud máš předmět u sebe
qstr_{s2}|{s2}
qstr_Base_damage_radius:_|Dosah střepin v krocích: {reg1}. Poloměr zasažené plochy v krocích: {reg2}. 
qstr_Move_here|Přijít sem
qstr_View_notes|Přečíst si deník
qstr_killed|zabito
qstr_wounded|zraněno
qstr_{s0}^TOTAL:_{reg3}__|{s0}^CELKEM: {reg3} ({s2})
qstr_None|Žádné
qstr_^None|^Žádné
qstr_nothing|nic
qstr_{reg0}_village{reg1?|{reg0} vesnic
qstr_{reg0}_castle{reg1?s|{reg0} hradů
qstr_{reg0}_castle{reg1?s:|{reg0} hradů a {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} měst
qstr_{reg0}_town{reg1?s:}_|{reg0} měst a {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} měst, {s0}
qstr_Your_opponents_are_r|Tví soupeři se chystají k boji.
qstr_Try_to_destroy_as_ma|Znič co možná nejvíce cílů. Na zabezpečení cesty máš dvě a půl minuty.
qstr_Stay_behind_the_line|Postav se na startovní čáru a střílej na cíl. Snaž se neminout.
qstr_Battle_Advantage_=_{|Poměr sil: {reg0}.
qstr_{s9}_wants_you_to_re|{s9} chce, abys následoval jeho armádu, dokud nedostaneš další rozkazy.
qstr_OIM_add__{s3}_prosil|{s3} má pro tebe první úkol: dobýt město.
qstr__Being_Raided_|(Probíhá zde plenění)
qstr__Looted_|Vypleněno
qstr__Under_Siege_|V obležení
