dlga_start:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_member_chat:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_event_triggered:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_oim_tutorial_mission_dlg_x:oim_tutorial_mission_dlg_1_1|Habt Dank für Eure Hilfe. Eine zusätzliche Waffe ist in Zeiten wie diesen immer willkommen.
dlga_oim_tutorial_mission_dlg_1_1:oim_tutorial_mission_dlg_1_2|Es war mir eine Ehre, Euch zu helfen.
dlga_oim_tutorial_mission_dlg_1_2:close_window|Suchen wir uns ein paar Pferde und machen uns auf, ehe noch mehr Schurken erscheinen. 
dlga_oim_tutorial_mission_dlg:close_window|Also schön, wir müssen etwas tun mit diesem Schloss. Nehmt diese alte Pistole und sprengt das verfluchte Ding, ja? 
dlga_oim_tutorial_mission_dlg_5:oim_tutorial_mission_dlg_5_1|Habt vielen Dank, Fremder. Es sind merkwürdige Zeiten, wie wir beide sehr wohl wissen... Da ist es gut, neue Freunde zu finden. Wäre es euch recht, mit uns zu Abend zu essen?
dlga_oim_tutorial_mission_dlg_5_1:close_window|Ja, das wäre mir sehr recht!
dlga_ms_extra_officer_dialog_start:ms_extra_officer_element_list|{s0}^{s5}
dlga_ms_extra_officer_element_list:ms_view_officer_elements|{s2}
dlga_ms_extra_officer_element_list:ms_extra_officer_dialog_start|Ich möchte ein paar Männer rekrutieren.
dlga_ms_extra_officer_element_list:close_window|Ich muss gehen...
dlga_ms_view_officer_elements:ms_view_officer_elements_list|{s2}
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start|1 ({reg0} Taler und {reg1} Kupfermünzen).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.1|3 ({reg0} Taler und {reg1} Kupfermünzen).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.2|5 ({reg0} Taler und {reg1} Kupfermünzen).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.3|Ich muss gehen...
dlga_ms_extra_goods_dialog_start:ms_extra_goods_category_list|Was ist Euer Anliegen?
dlga_ms_extra_goods_category_list:ms_view_categoty_elements|{s2}
dlga_ms_extra_goods_category_list:close_window|Käufe tätigen.
dlga_ms_extra_goods_category_list:close_window.1|Ich muss gehen...
dlga_ms_view_categoty_elements:ms_view_categoty_elements_list|{s0}
dlga_ms_view_categoty_elements_list:ms_extra_element_buy_descr|{s2} ({reg2} Taler).
dlga_ms_view_categoty_elements_list:ms_extra_goods_dialog_start|Ich muss gehen...
dlga_ms_extra_element_buy_descr:ms_extra_element_buy_descr_list|Die Bestellung geht in Ordnung. Kommt in etwa zwei Wochen, dann müsste alles bereitliegen.
dlga_ms_extra_element_buy_descr:ms_extra_element_buy_descr_list.1|Ihr habt nicht genügend Geld!
dlga_ms_extra_element_buy_descr_list:close_window|Sehr schön.
dlga_ms_elder_dialog_start:ms_elder_list|Wie kann ich Euch helfen?
