fac_no_faction|Freie Nation
fac_commoners|Bürger
fac_outlaws|Gesetzlose
fac_neutral|Neutrale
fac_innocents|Unschuldige
fac_merchants|Kaufleute
fac_culture_1|Kultur 1
fac_culture_2|Kultur 2
fac_culture_3|Kultur 3
fac_culture_4|Kultur 4
fac_culture_5|Kultur 5
fac_player_faction|Spielernation
fac_player_supporters_faction|Spielernation
fac_kingdom_1|Polnische Republik
fac_kingdom_2|Moskowisches Zarenreich
fac_kingdom_3|Krim-Khanat
fac_kingdom_4|Königreich Schweden
fac_kingdom_5|Kosakenhetmanat
fac_oim_rebel_faction|Nation 1
fac_manhunters|Scharfschützen der Geheimabteilung
fac_deserters|Deserteure
fac_mountain_bandits|Gebirgsbanditen
fac_forest_bandits|Waldbanditen
fac_oim_outlaws|Gesetzlose
