menu_start_game_0|Willkommen, Abenteurer, bei Mount and Blade: With Fire and Sword. Ehe Ihr Eure Reise beginnt, müsst Ihr Euren Charakter erstellen und die Spielschwierigkeit wählen.
mno_start_easy|Einfach
mno_start_normal|Normal
mno_start_hard|Schwierig
mno_go_back_dot|Zurück...
menu_start_phase_2|{s10}
mno_get_deal_with|Seht, welches Ungemach bevorsteht.
mno_talk_to_monfore|Konversation fortsetzen...
mno_camp_train_archery|Übungen beginnen.
mno_continue|Weiter...
menu_reports|Charakteransehen: {reg5}^Ehren-Wertung: {reg6}^Truppmoral: {reg8}^max. Truppgröße: {reg7}^
mno_view_character_report|Charakterbericht anzeigen.
mno_view_party_size_report|Truppgrößenbericht anzeigen.
mno_view_morale_report|Truppmoralbericht anzeigen.
mno_view_faction_relations_report|Bericht über Nationenbeziehungen anzeigen.
mno_view_banking_reports|Finanzberichte anzeigen.
mno_resume_travelling|Reise fortsetzen...
menu_custom_battle_end|Die Schlacht ist vorüber. {s1} Eure Seite tötete {reg5} Feinde und verlor {reg6} Einheiten. Ihr persönlich erschlugt {reg7} Mannen im Gefecht.
menu_start_game_1|Wählt das Geschlecht Eures Charakters.
mno_start_male_2|Mann
mno_start_female|Weiblich
mno_go_back|Zurück...
menu_start_character_1|Aus welcher Nation stammt Ihr? Und aus welcher Familie?
mno_start_noble|Aus einer Familie von Edelleuten.
mno_start_merchant|Aus einer Familie von reisenden Kaufleuten.
mno_start_guard|Aus einer Familie von Veteranenkriegern.
mno_start_forester|Aus einer Familie von Jägern.
mno_start_nomad|Aus einer Familie von Steppennomaden.
mno_start_thief|Aus einer Familie von Dieben.
menu_start_character_2|{s10}^^ Ihr begannt, über die Welt zu lernen, sobald Ihr laufen und sprechen konntet. Ihr verbrachtet Eure frühen Jahre als...
mno_page|Page am Hof eines Edlen.
mno_apprentice|Lehrling eines Handwerkers.
mno_stockboy|Aushilfe in einem Laden.
mno_urchin|Straßenkind.
mno_nomad|Kind der Steppe.
menu_start_character_3|{s11}^^Dann, als Ihr heranwuchs, änderte sich das Leben, wie es das immer tut. Ihr wurdet...
mno_squire|Grundbesitzer.
mno_lady|Hofdame.
mno_troubadour|Barde.
mno_student|Universitätsstudent.
mno_peddler|Hausierer.
mno_craftsman|Schmied.
mno_poacher|Wilderer.
menu_start_character_4|{s12}^^Doch eines Tages änderte sich alles, und ihr fasstet den Entschluss, auf Abenteuersuche zu gehen. Euer Grund dafür war...
mno_revenge|persönliche Rache.
mno_death|der Verlust eines geliebten Menschen.
mno_wanderlust|Wanderlust.
mno_disown|Eure Vertreibung aus der Heimat.
mno_greed|Euer Interesse an Geld und Macht.
menu_choose_skill|In der Ferne erblickt Ihr eine Gruppe gefechtsbereiter Mannen.
mno_begin_adventuring|Seht, welches Ungemach bevorsteht.
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_auto_return|Dieses Menü führt zurück zu...
menu_morale_report|{s1}
menu_faction_orders|{s9}
mno_faction_orders_next_faction|Nächste Nation auswählen.
mno_faction_orders_defend|Verteidigen erzwingen.
mno_faction_orders_gather|Sammeln erzwingen.
mno_faction_orders_increase_time|Dauer des letzten Angriffs auf 24 Stunden erhöhen.
mno_faction_orders_rethink|Überdenken erzwingen.
mno_faction_orders_rethink_all|Überdenken bei allen Nationen erzwingen.
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|Ihr habt Euer Lager aufgeschlagen. Was wünscht Ihr zu tun?
mno_camp_action|Handeln.
mno_oim_diplomacy_menu|Diplomatie
mno_wagenburg_action_on|Wagenburg errichten.
mno_wagenburg_action_off|Wagenburg abbrechen.
mno_camp_wait_here|Hier einige Zeit warten.
mno_camp_cheat|CHEATMENÜ!
mno_ms_extra_adviser|Boten an den Gehilfen des Bürgermeisters senden.
menu_camp_cheat|Cheat auswählen:
