str_no_string|NO STRING!
str_empty_string| 
str_yes|Ja. 
str_no|Nein.
str_blank_string| 
str_error_string|ERROR!!!ERROR!!!!ERROR!!!ERROR!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!!
str_noone|Niemand
str_s0|{s0}
str_reg1|{reg1}
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} und {s51}
str_s5_s_party|Trupp von {s5}
str_bandits_eliminated_by_another|Die lästigen Banditen wurden von einem anderen Trupp eliminiert.
str_msg_battle_won|Die Schlacht ist gewonnen! Drückt zum Verlassen [Tab]...
str_randomize|Zufällig gestalten
str_hold_fire|Feuer gedrückt halten
str_blunt_hold_fire|Halt!/Feuer einstellen
str_finished|(Abgeschlossen)
str_delivered_damage|{reg60} Schaden ausgeteilt.
str_archery_target_hit|Distanz: {reg61} Schritt. Punkte:{reg60}
str_use_baggage_for_inventory|Verwendet Euer Gepäck, um während einer Schlacht auf Eurer Inventar zuzugreifen. (Euer Gepäck befindet sich am Startpunkt.)
str_cant_use_inventory_now|Zugriff auf Inventar gerade nicht möglich.
str_cant_use_inventory_arena|Zugriff auf Inventar in der Arena nicht möglich.
str_cant_use_inventory_disguised|Zugriff auf Inventar nicht möglich, während Ihr verkleidet seid.
str_1_denar|1 Taler
str_reg1_denars|{reg1} Taler
str_january_reg1_reg2|{reg1}. Januar {reg2}
str_february_reg1_reg2|{reg1}. Februar {reg2}
str_march_reg1_reg2|{reg1}. März {reg2}
str_april_reg1_reg2|{reg1}. April {reg2}
str_may_reg1_reg2|{reg1}. Mai {reg2}
str_june_reg1_reg2|{reg1}. Juni {reg2}
str_july_reg1_reg2|{reg1}. Juli {reg2}
str_august_reg1_reg2|{reg1}. August {reg2}
str_september_reg1_reg2|{reg1}. September {reg2}
str_october_reg1_reg2|{reg1}. Oktober {reg2}
str_november_reg1_reg2|{reg1}. November {reg2}
str_december_reg1_reg2|{reg1}. Dezember {reg2}
str_town_nighttime|Es ist tief in der Nacht, und die ehrlichen Menschen haben die Straßen verlassen.
str_door_locked|Die Tür ist verschlossen.
str_castle_is_abondened|Die Festung scheint nicht besetzt zu sein.
str_place_is_occupied_by_player|Diesen Ort halten Eure eigenen Truppen.
str_place_is_occupied_by_enemy|Diesen Ort halten feindliche Truppen.
str_do_you_want_to_retreat|Seid Ihr sicher, dass Ihr Euch zurückziehen möchtet?
str_give_up_fight|Kampf aufgeben?
str_do_you_wish_to_leave_tutorial|Möchtet Ihr die Übungen verlassen?
str_do_you_wish_to_surrender|Möchtet Ihr Euch ergeben?
str_can_not_retreat|Ihr könnt Euch nicht zurückziehen! Es sind Feinde in der Nähe!
str_s1_joined_battle_enemy|{s1} ist der Schlacht auf gegnerischer Seite beigetreten.
str_s1_joined_battle_friend|{s1} ist der Schlacht auf Eurer Seite beigetreten.
str_entrance_to_town_forbidden|Die Stadtwache wird einen Schwindler rasch bemerken. Ihr werdet nicht ungeschoren durch die Tore kommen.
str_sneaking_to_town_impossible|Die Stadtwache ist alarmiert. Ihr werdet Euch nicht durch das Tor schleichen können, wie geschickt Ihr Euch auch immer tarnt.
str_battle_won|Die Schlacht ist gewonnen!
str_battle_lost|Die Schlacht ist verloren!
