p_zendar|Zendar
p_town_1|Königsberg
p_town_2|Reval
p_town_3|Kiew
p_town_4|Vilna
p_town_5|Sitsch
p_town_6|Warschau
p_town_7|Lemberg
p_town_8|Moskau
p_town_9|Pleskau
p_town_10|Azaq-Kale
p_town_11|Tscherkassy
p_town_12|Riga
p_town_13|Smolensk
p_town_14|Bachtschyssaraj
p_town_15|Tschernihiw
p_town_16|Krakau
p_town_17|Akkerman
p_town_18|Kyzykermen
p_castle_1|Festung Zbaraz
p_castle_2|Festung Jewpatorija
p_castle_3|Polotsk
p_castle_4|Vyborg
p_castle_5|Burg Dzwinsk
p_castle_6|Nowgorod
p_castle_7|Festung Kilburun
p_castle_8|Twer
p_castle_9|Poltawa
p_castle_10|Festung Kauen
p_castle_11|Burg Myadselsk
p_castle_12|Narwa
p_castle_13|Sluzk
p_castle_14|Breslau
p_castle_15|Tscherkassy
p_castle_16|Korsun
p_castle_17|Perekop
p_castle_18|Festung Rschew
p_castle_19|Kursk
p_castle_20|Burg Lodz
p_castle_21|Perejaslaw
p_castle_22|Kafa
p_castle_23|Burg Dubensk
p_castle_24|Kamenets
p_castle_25|Lublin
p_castle_26|Minsk
p_castle_27|Festung Brest
p_castle_28|Festung Bar
p_castle_29|Festung Brjansk
p_castle_30|Festung Izmail
p_castle_31|Rjasan
p_castle_32|Burg Allenstein
p_castle_33|Festung Ladyschyn
p_castle_34|Festung Dorpat
p_castle_35|Burg Lida
p_castle_36|Festung Dünaburg
p_castle_37|Tula
p_castle_38|Festung Kalantschak
p_castle_39|Festung Izum
p_castle_40|Festung Kyzyl-yar
p_village_1|Plotsk
p_village_2|Frauenstadt
p_village_3|Owrutsch
p_village_4|Dunajiwzi
p_village_5|Elbing
p_village_6|Widawa
p_village_7|Amere
p_village_8|Wesenberg
p_village_9|Pohrebysche
p_village_10|Redkino
p_village_11|Ordasch
p_village_12|Boguslaw
p_village_13|Stryi
p_village_14|Slanzy
p_village_15|Baranawitschy
p_village_16|Tarusa
p_village_17|Kriwitschi
p_village_18|Ponyri
p_village_19|Pokrowskoje
p_village_20|Yefremowo
p_village_21|Obojan
p_village_22|Lgow
p_village_23|Magdalenowka
p_village_24|Sinelnikowo
p_village_25|Dschankoj
p_village_26|Snowsk
p_village_27|Slawuta
p_village_28|Siwasch
p_village_29|Sigulda
p_village_30|Salis
p_village_31|Pilwe
p_village_32|Staronowitz
p_village_33|Radzilow
p_village_34|Maladsetschna
p_village_35|Snedschko
p_village_36|Nidritsa
p_village_37|Budjak
p_village_38|Soletschniki
p_village_39|Ostrowite
p_village_40|Krylow
p_village_41|Tumnek
p_village_42|Pologi
p_village_43|Ak-Mechet
p_village_44|Esaq
p_village_45|Inkerman
p_village_46|Iljinzy
p_village_47|Solotonoscha
p_village_48|Potoki
p_village_49|Nugai
p_village_50|Sofronowo
p_village_51|Weißenstein
p_village_52|Khorol
p_village_53|Njaswisch
p_village_54|Tschenstochau
p_village_55|Luga
p_village_56|Torma
p_village_57| Babitz
p_village_58|Yartsy
p_village_59|Loyew
p_village_60|Dobrusch
p_village_61|Leal
p_village_62|Staritsa
p_village_63|Ostroleka
p_village_64|Kobelyaki
p_village_65|Dubeschnia
p_village_66|Zamoschye
p_village_67|Rudnja
p_village_68|Lubenec
p_village_69|Tapiau
p_village_70|Ljubotin
p_village_71|Sambir
p_village_72|Widschy
p_village_73|Koselez
p_village_74|Klin
p_village_75|Ludinowo
p_village_76|Tschöpeln
p_village_77|Ponewiesch
p_village_78|Pawolodsch
p_village_79|Borispol
p_village_80|Wendau
p_village_81|Siauliai
p_village_82|Trakai
p_village_83|Lysjanka
p_village_84|Maslow Brod
p_village_85|Loknja
p_village_86|Waluiki
p_village_87|Plunge
p_village_88|Kilija
p_village_89|Leschinowka
p_village_90|Kolomak
p_salt_mine|Salzmine
p_four_ways_inn|Herberge am Wegkreuz
p_test_scene|Testszene
p_battlefields|Schlachtfelder
p_dhorak_keep|Bergfried Dhorak
p_training_ground|Söldnerlager
p_training_ground_1|Söldnerlager
p_training_ground_2|Söldnerlager
p_training_ground_3|Söldnerlager
p_training_ground_4|Söldnerlager
p_training_ground_5|Söldnerlager
p_temp_party_3|Temp.-Trupp 3
p_bridge_1|1
p_bridge_2|2
p_bridge_3|3
p_bridge_4|4
p_bridge_5|5
p_bridge_6|6
p_bridge_7|7
p_bridge_8|8
p_bridge_9|9
p_bridge_10|10
p_bridge_11|11
p_bridge_12|12
p_bridge_13|13
p_bridge_14|14
p_bridge_15|15
p_looter_spawn_point|Plünderer ES
p_steppe_bandit_spawn_point|Steppenbandit ES
p_forest_bandit_spawn_point|Waldbandit ES
p_mountain_bandit_spawn_point|Gebirgsbandit ES
p_sea_raider_spawn_point_1|Seeräuber ES
p_sea_raider_spawn_point_2|Seeräuber ES
