pt_none|keine
pt_rescued_prisoners|Befreite Gefangene
pt_enemy|Feind
pt_hero_party|Heldentrupp
pt_village_defenders|Dorfverteidiger
pt_cattle_herd|Viehherde
pt_looters|Plünderer
pt_manhunters|Scharfschützen der Geheimabteilung
pt_steppe_bandits|Tatarenräuber
pt_forest_bandits|Rebellen
pt_mountain_bandits|Banditen
pt_sea_raiders|Briganten
pt_deserters|Deserteure
pt_merchant_caravan|Handelskarrenzug
pt_troublesome_bandits|Lästige Banditen
pt_bandits_awaiting_ransom|Auf Lösegeld wartende Banditen
pt_kidnapped_girl|Entführtes Mädchen
pt_village_farmers|Halbpächter
pt_spy_partners|Unauffällige Reisende
pt_runaway_serfs|Entlaufene Leibeigene
pt_spy|Gewöhnlicher Städter
pt_sacrificed_messenger|Geopferter Bote
pt_forager_party|Wildbeuter
pt_scout_party|Kundschafter
pt_patrol_party|Patrouille
pt_messenger_party|Bote
pt_raider_party|Räuber
pt_raider_captives|Gefangene der Räuber
pt_kingdom_caravan_party|Karrenzug
pt_prisoner_train_party|Gefangenenzug
pt_default_prisoners|Normale Gefangene
pt_routed_warriors|Vertriebene Feinde
pt_center_reinforcements|Verstärkung
pt_kingdom_hero_party|Kriegstrupp
pt_kingdom_1_reinforcements_a|Königreich 1 Verstärkung a
pt_kingdom_1_reinforcements_b|Königreich 1 Verstärkung b
pt_kingdom_1_reinforcements_c|Königreich 1 Verstärkung c
pt_kingdom_2_reinforcements_a|Königreich 2 Verstärkung a
pt_kingdom_2_reinforcements_b|Königreich 2 Verstärkung b
pt_kingdom_2_reinforcements_c|Königreich 2 Verstärkung c
pt_kingdom_3_reinforcements_a|Königreich 3 Verstärkung a
pt_kingdom_3_reinforcements_b|Königreich 3 Verstärkung b
pt_kingdom_3_reinforcements_c|Königreich 3 Verstärkung c
pt_kingdom_4_reinforcements_a|Königreich 4 Verstärkung a
pt_kingdom_4_reinforcements_b|Königreich 4 Verstärkung b
pt_kingdom_4_reinforcements_c|Königreich 4 Verstärkung c
pt_kingdom_5_reinforcements_a|Königreich 5 Verstärkung a
pt_kingdom_5_reinforcements_b|Königreich 5 Verstärkung b
pt_kingdom_5_reinforcements_c|Königreich 5 Verstärkung c
pt_steppe_bandit_lair|Steppenbanditen-Lager
pt_forest_bandit_lair|Waldbanditen-Lager
pt_mountain_bandit_lair|Gebirgsbanditen-Versteck
pt_sea_raider_lair|Seeräuber-Anlegestelle
pt_looter_lair|Entführer-Versteck
pt_leaded_looters|Räuberbande
pt_zamoshie_bandits|Zamoschye-Banditen
pt_oim_monfor_party|Trupp von Jaques de Clermont
pt_oim_swedish_army|Schwedische Armee
pt_oim_kozak_army|Kosakentrupp
pt_oim_zagloba_party|Zaglobas Trupp
pt_oim_potop_mercs_army|Deutsche Söldner
pt_oim_potop_mercs_army2|Deutsche Söldner
pt_getman_deserters|Deserteure
pt_oim_merchant_caravan|Handelskarren
pt_oim_merchant_caravan2|Handelskarrenzug
pt_oim_static_object|Do not translate
pt_village_defenders_fac1|Dorfverteidiger
pt_village_defenders_fac2|Dorfverteidiger
pt_village_defenders_fac3|Dorfverteidiger
pt_village_defenders_fac4|Dorfverteidiger
pt_village_defenders_fac5|Dorfverteidiger
