qst_deliver_message|Überbringt {s13} eine Nachricht
qst_deliver_message_text|{s9} wünscht, dass Ihr {s13} eine Nachricht überbringt. {s13} war in {s4}, als Euch diese Quest anvertraut wurde.
qst_deliver_message_to_enemy_lord|Überbringt {s13} eine Nachricht
qst_deliver_message_to_enemy_lord_text|{s9} wünscht, dass Ihr {s13} von {s15} eine Nachricht überbringt. {s13} war in {s4}, als Euch diese Quest anvertraut wurde.
qst_raise_troops|Rekrutiert {reg1} {s14}
qst_raise_troops_text|{s9} wünscht, dass Ihr {reg1} {s14} rekrutiert und zu ihm bringt.
qst_escort_lady|Eskortiert {s13} nach {s14}
qst_escort_lady_text|keine
qst_deal_with_bandits_at_lords_village|Rettet das Dorf {s15}
qst_deal_with_bandits_at_lords_village_text|{s13} wünscht, dass Ihr mit den Banditen aufräumt, die im Dorf {s15} Zuflucht gefunden haben, und dann Bericht erstattet.
qst_collect_taxes|Treibt Steuern bei {s3} ein
qst_collect_taxes_text|{s9} wünscht, dass Ihr Steuern bei {s3} eintreibt. Er bietet Euch ein Fünftel des eingetriebenen Betrags an.
qst_hunt_down_fugitive|Schnappt {s4}
qst_hunt_down_fugitive_text|{s9} wünscht, dass Ihr einen Flüchtigen namens {s4} schnappt. Man glaubt, dass er sich derzeit in {s3} aufhält.
qst_kill_local_merchant|Ermordet einen örtlichen Kaufmann in {s3}
qst_kill_local_merchant_text|{s9} wünscht, dass Ihr einen Kaufmann in {s3} ermordet.
qst_bring_back_runaway_serfs|Bringt die entlaufenen Leibeigenen zurück
qst_bring_back_runaway_serfs_text|{s9} wünscht, dass Ihr drei Gruppen entlaufener Leibeigener findet und sie nach {s2} zurückbringt. Er sagt, alle drei Gruppen seien Richtung {s3} unterwegs.
qst_follow_spy|Folgt dem Spion zum Treffen 
qst_follow_spy_text|{s11} wünscht, dass Ihr, den Spion verfolgt, der bald {s12} verlässt. Kommt dem Spion während der Reise nicht unter die Augen, sonst könnte er Verdacht schöpfen und umkehren. Sobald er sich mit seinem Komplizen trifft, müsst Ihr beide überfallen, gefangennehmen und nach {s11} zurückbringen.
qst_capture_enemy_hero|Nehmt einen Fürsten aus {s13} gefangen
qst_capture_enemy_hero_text|ZU ERLEDIGEN: {s11} wünscht, dass Ihr einen Fürsten aus {s13} gefangennehmt.
qst_lend_companion|Borgt {s9} Euren Gefährten {s3}
qst_lend_companion_text|{s9} wünscht, dass Ihr ihm Euren Gefährten {s3} für eine Woche borgt.
qst_collect_debt|Treibt die Schulden ein, die {s3} bei {s9} hat
qst_collect_debt_text|{s9} wünscht, dass Ihr die {reg4} Taler eintreibt, die {s3} ihm noch schuldet.
qst_incriminate_loyal_commander|Belastet den loyalen Befehlshaber von {s13}, {s16}
qst_incriminate_loyal_commander_text|keine
qst_raid_caravan_to_start_war|Überfallt {reg13} Karrenzüge aus {s13}
qst_raid_caravan_to_start_war_text|keine
qst_meet_spy_in_enemy_town|Trefft den Spion in {s13}
qst_meet_spy_in_enemy_town_text|keine
qst_capture_prisoners|Bringt {reg1} {s3} als Gefangene
qst_capture_prisoners_text|{s9} wünscht, dass Ihr ihm {reg1} {s3} als Gefangene bringt.
qst_lend_surgeon|Borgt {s1} Euren Wundarzt {s3}
qst_lend_surgeon_text|Borgt {s1} Euren erfahrenen Wundarzt {s3}.
qst_follow_army|Folgt der Armee von {s9}
qst_follow_army_text|keine
qst_report_to_army|Meldet Euch bei Marschall {s13}
qst_report_to_army_text|keine
qst_deliver_cattle_to_army|Bringt {s13} Stück Vieh zu {reg3}
qst_deliver_cattle_to_army_text|keine
qst_join_siege_with_army|Beteiligt Euch an der Belagerung von {s14}
qst_join_siege_with_army_text|keine
qst_scout_waypoints|Kundschaftet {s13}, {s14} und {s15} aus
qst_scout_waypoints_text|keine
qst_rescue_lord_by_replace|Rettet {s13} aus {s14}
qst_rescue_lord_by_replace_text|keine
qst_deliver_message_to_prisoner_lord|Überbringt {s13} in {s14} eine Nachricht
qst_deliver_message_to_prisoner_lord_text|keine
qst_duel_for_lady|Fordert {s13} zu einer Waffenprobe heraus
qst_duel_for_lady_text|keine
qst_move_cattle_herd|Bringt die Viehherde nach {s13}
qst_move_cattle_herd_text|Der Bürgermeister von {s10} wünscht, dass Ihr eine Viehherde nach {s13} bringt.
