qstr_Next_Page|Nächste Seite
qstr_Game_Rules:^|Spielregeln:^
qstr_Show_game_rules|Spielregeln anzeigen
qstr_Continue...|Weiter ...
qstr_Candidate_#1:_{s1}|Kandidat 1: {s1}
qstr_Candidate_#2:_{s1}|Kandidat 2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} von {s4} wünscht einen neuen Marschall auszuwählen und hat seine Edlen zur Beratung geladen. {s1} und {s2} sind die wahrscheinlichen Kandidaten.
qstr_Who_do_you_wish_to_s|Wen möchtet Ihr unterstützen?
qstr_{s1}|{s1}
qstr_{s1}_gives_his_suppo|{s2} wird von {s1} unterstützt.
qstr_Number_of_Supporters|Anzahl der Unterstützer: {reg0}
qstr_{s2}_has_heard_his_v|{s2} hat den Rat seiner Edlen angehört. Er wählt {s1} als Marschall von {s3}.
qstr_Action|Handeln
qstr_Attack_Type|Angriffsart
qstr_Stand_Ground|Standhaft bleiben
qstr_Charge|Angreifen
qstr_Follow_Me|Mir nach
qstr_Hold_This_Position|Position halten
qstr_Spread_Out|Ausfächern
qstr_Stand_Closer|Zusammenrücken
qstr_Fall_Back|Zurückfallen
qstr_Advance|Vorrücken
qstr_Dismount|Absitzen
qstr_Mount|Aufsitzen
qstr_Fire_At_Will|Feuer frei
qstr_Use_Blunt_Weapons|Stumpfe Waffen einsetzen
qstr_Use_Any_Weapon|Beliebige Waffe einsetzen
qstr_Ready|Bereit
qstr_Wounded|Verwundet
qstr_Dead|Tot
qstr_Remain_in_retirement|Im Ruhestand bleiben
qstr_Go_back_to_the_adven|Zurück ins Abenteurerleben
qstr_You_have_retired_at_|Ihr seid auf Stufe {reg4} nach {reg5} Tagen Abenteuer in den Ruhestand gegangen.
qstr_Effect_on_Score|Einfluss auf Punktestand
qstr_Settlements_owned_by|Ihr habt {reg0} Siedlungen eingenommen.
qstr_Friendly_Settlements|{reg0} freundlich gesinnte Siedlungen
qstr_Hostile_Settlements:|{reg0} feindlich gesinnte Siedlungen
qstr_Friendly_Lords:_{reg|{reg0} freundlich gesinnte Fürsten
qstr_Enemy_Lords:_{reg0}|{reg0} feindlich gesinnte Fürsten
qstr_Victories:_{reg0}|{reg0} Siege
qstr_Defeats:_{reg0}|{reg0} Niederlagen
qstr_Quests_Completed:_{r|Ihr habt {reg0} Quests vollendet.
qstr_Companions_Found:_{r|Ihr habt {reg0} Gefährten gefunden.
qstr_Companions_Lost/Depa|Ihr habt {reg0} Gefährten verloren.
qstr_Wealth:_{reg0}_denar|Reichtum: {reg0} Taler
qstr_Inventory:_{reg0}_de|Inventar: {reg0} Taler
qstr_Renown:_{reg0}|Ansehen: {reg0}
qstr_Experience:_{reg0}|Erfahrung: {reg0}
qstr_Days_Passed:_{reg0}|Verstrichene Tage: {reg0}
qstr_Difficulty:_{reg0}%|Schwierigkeitsgrad: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|PUNKTESTAND GESAMT: {reg0}
qstr_{s1}_of_{s3}_was_def|{s1} von {s3} wurde im Kampf besiegt, konnte aber fliehen.
qstr_DEBUG:_{s1}_no_longe|DEBUG: {s1} führt keinen Trupp mehr an.
qstr_DEBUG:_{s1}_is_no_lo|DEBUG: {s1} ist kein Gefangener mehr.
qstr_DEBUG:_{s1}_is_now_a|DEBUG: {s1} ist nun Gefangener des Spielers.
qstr_DEBUG:_{s1}_is_now_a_|DEBUG: {s1} ist nun Gefangener von {s2}.
qstr_{s54}_is_a_claimant_|{s54} ist ein Anwärter auf den Thron von {s56}.
qstr_nowhere|keine
qstr_{s57}_and_{s58}|{s57} und {s58}
qstr_{s57}_{s58}|{s57}, {s58}
qstr_{reg3?She:He}|{reg3?Sie:Er}
qstr_^{s59}|^{s59}
qstr_{reg6?:{reg4?{s54}_i|{reg6?:{reg4?{s54} ist der Herrscher von {s56}.^:{s54} ist ein Vasall von {s55} von {s56}.^}}Ansehen: {reg5}.^{reg9?{reg3?Sie:Er} ist {reg3?Fürstin:Fürst} von {s58}.:{reg3?Sie:Er} hat keine Lehen.}{s59}
qstr_The_town_of_{s50}|Die Stadt {s50}
qstr_The_village_of_{s50}|Das Dorf {s50} bei {s52}
qstr_{s51}_belongs_to_{s1|{s51} gehört {s1} von {s2}.^
qstr_{s7}_and_{s8}|{s7} und {s8}
qstr_{s2}It_has_no_villag|{s2} Hat keine Dörfer.^
qstr_{s2}{reg0?Its_villag|{s2}: {reg0?Dörfer sind:Dorf ist} {s8}.^
qstr_{s2}Its_prosperity_i|{s2} Wohlstand: {s50}
qstr_{s7}_{s8}|{s7}, {s8}
qstr_noone|keine
qstr_{s9}_and_{s10}|{s9} und {s10}
qstr_{s9}_{s10}|{s9}, {s10}
qstr_{s11}_and_{s12}|{s11} und {s12}
qstr_{s11}_{s12}|{s11}, {s12}
qstr_{s5}_is_ruled_by_{s6|{s5} wird von {s6} beherrscht.^Liegt in: {s8}.^Vasallen: {s10}.^Feinde: {s12}.
qstr_{s5}_has_been_defeat|{s5} wurde besiegt!
qstr_{s7}_opened_the_gate|{s7} hat das Tor geöffnet.
qstr_{s7}_closed_the_gate|{s7} hat das Tor geschlossen.
qstr_+{reg1}_to_party_mor|Truppmoral +{reg1}
qstr_Requires_{reg1}_inte|Lesen erfordert {reg1} Intelligenz
qstr_Reading_Progress:_{r|Lesefortschritt: {reg1} %
qstr_wound_treament|Wundbehandlung
qstr_trainer|Ausbilder
qstr_surgery|Chirurgie
qstr_+1_to_{s1}_while_in_|{s1} +1, wenn im Inventar
qstr_{s2}|{s2}
qstr_Base_damage_radius:_|Splitterreichweite: {reg1} Schritt. Schadenreichweite: {reg2} Schritt.
qstr_Move_here|Hierhin reisen
qstr_View_notes|Aufzeichnungen ansehen
qstr_killed|Getötet
qstr_wounded|Verwundet
qstr_{s0}^TOTAL:_{reg3}__|{s0}^GESAMT: {reg3}. {s2}
qstr_None|k. A.
qstr_^None|^Keine
qstr_nothing|keine
qstr_{reg0}_village{reg1?|{reg0} Dorf {reg1?Dörfer:}
qstr_{reg0}_castle{reg1?s|{reg0} Festung{reg1?en:}
qstr_{reg0}_castle{reg1?s:|{reg0} Festung{reg1?en:} und {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} Stadt {reg1?Städte:}
qstr_{reg0}_town{reg1?s:}_|{reg0} Stadt {reg1?Städte:} und {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} Stadt {reg1?Städte:}, {s0}
qstr_Your_opponents_are_r|Eure Gegner sind bereit zum Kampf.
qstr_Try_to_destroy_as_ma|Versucht, so viele Ziele wie möglich zu zerstören. Ihr habt zweieinhalb Minuten, um den Weg freizumachen.
qstr_Stay_behind_the_line|Bleibt hinter der Linie auf dem Boden und schießt auf die Ziele. Versucht, keinen Schuss zu vergeuden.
qstr_Battle_Advantage_=_{|Kampfvorteil = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} heißt Euch, bis auf weitere Anweisung seiner Armee zu folgen.
qstr_OIM_add__{s3}_prosil|Euer erster Befehl von {s3} lautet, eine Stadt einzunehmen.
qstr__Being_Raided_|Wird angegriffen
qstr__Looted_|Geplündert
qstr__Under_Siege_|Wird belagert
qstr_The_village_of_{s1}_|Das Dorf {s1} wurde von {s2} geplündert.
qstr_{s3}_is_no_longer_un|{s3} wird nicht länger belagert.
qstr_Enemies_spotted_near|Feinde bei {s1} gesichtet.
qstr_{s1}_has_been_besieg|{s1} wurde von {s2} von {s3} belagert.
qstr_{s1}_is_chosen_as_th|{s1} wurde zum Marschall von {s2} erwählt.
qstr_{s1}_is_the_new_mars|{s1} ist der neue Marschall von {s2}.
qstr_{s1}_decided_to_do_n|{s1} hat beschlossen, nichts zu unternehmen.
qstr_{s1}_decided_to_gath|{s1} hat beschlossen, eine Armee aufzustellen.
qstr_{s1}_decided_to_besi|{s1} hat beschlossen, {s2} zu belagern.
qstr_{s1}_decided_to_raid|{s1} hat beschlossen, {s2} zu überfallen.
qstr_{s1}_decided_to_atta|{s1} hat beschlossen, {s2} anzugreifen.
qstr_{s1}_decided_to_attac|{s1} hat beschlossen, alle Feinde um {s2} anzugreifen.
qstr_You_gained_{reg12}_r|Ihr habt {reg12} Ansehen gewonnen.
qstr_You_lose_{reg12}_ren|Ihr habt {reg12} Ansehen verloren.
qstr_Your_relation_with_{|Euer Verhältnis mit {s1} hat sich verbessert.
qstr_Your_relation_with_{s|Euer Verhältnis mit {s1} hat sich verschlechtert.
qstr_You_gain_honour.|Ihr gewinnt Ehre.
qstr_You_lose_honour.|Ihr verliert Ehre.
qstr_{s1}_has_declared_wa|{s1} hat {s2} den Krieg erklärt.
qstr_{s1}_and_{s2}_have_m|{s1} und {s2} haben Frieden geschlossen.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?war:ist derzeit} bei {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?war:ist} unterwegs nach {s3}, und {reg4?sie:er} {reg3?war:ist derzeit wohl} in der Nähe von {s4}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?war:ist} unterwegs, und {reg4?sie:er} {reg3?war:ist derzeit wohl} in der Nähe von {s3}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?war:ist} Gefangener in {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} wurde von {reg4?ihren:seinen} Feinden gefangengenommen.
qstr_{reg3?{s2}_s_locatio|Die Position von {reg3?{s2} ist unbekannt: Ich weiß nicht, wo {s2} ist}.
qstr_{s6}_has_joined_your|{s6} hat sich Eurem Trupp angeschlossen.
qstr_You_now_owe_{reg2}_d|Ihr schuldet {reg2} nun {s1} Taler.
qstr_Renown_value_for_thi|Ansehen-Wert für dieses Gefecht ist {reg8}.
qstr_You_have_run_into_a_|Ihr seid in eine Falle geraten!
qstr_You_are_attacked_by_|Ihr werdet von Banditen angegriffen!
qstr_Holding|Halten
qstr_Following|Folgen
qstr_Charging|Angreifen
qstr_Advancing|Vorrücken
qstr_Falling_Back|Zurückfallen
qstr_Standing_Closer|Zusammenrücken
qstr_Spreading_Out|Ausfächern
qstr_Standing|Stehen
qstr_N/A|K. A.
qstr_Any_Weapon|Beliebige Waffe
qstr_Blunt_Weapons|Stumpfe Waffen
qstr_{s1}_Rebels|{s1} (Rebellen)
qstr_Given_by:_{s62}|Erteilt von: {s62}
qstr_Given_on:_{s60}|Erteilt am: {s60}
qstr_You_have_{reg0}_days|Euch bleiben {reg0} Tage, diese Quest zu vollenden.
qstr_This_quest_has_been_|Quest wurde erfüllt. Sprecht mit {s59}, um sie zu vollenden.
qstr_This_quest_has_been_s|Quest wurde vollendet. Sprecht mit {s59}, um Eure Belohnung einzufordern.
qstr_This_quest_has_faile|Quest ist fehlgeschlagen. Sprecht mit {s59}, um die Situation zu erklären.
qstr_At_the_time_quest_wa|Am Tag der Questvergabe, {s1}
qstr_{s1}_is_infested_by_|{s1} wird von Banditen überfallen.
qstr_{s5}_has_a_strength_|{s5} ist insgesamt {reg1} Mann stark.
qstr_The_last_time_you_sa|Als Ihr {reg1?sie:ihn} zum letzten Mal saht, {s1}
qstr_The_last_time_you_he|Als Ihr zum letzten Mal von {reg1?ihr:ihm} hörtet, {s1}
qstr_{s50}|{s50}
qstr_Current_garrison_con|Garnison besteht aus {reg5} Mann.^Hat Nahrungsvorräte für {reg6} Tage.
qstr_Very_Poor|Sehr arm
qstr_Poor|Arm
qstr_Average|Durchschnittlich
qstr_Rich|Reich
qstr_Very_Rich|Sehr reich
qstr_Manor|Herrenhaus
qstr_A_manor_lets_you_res|Mit einem Herrenhaus könnt Ihr Euch im Dorf ausruhen und Euren Truppen währenddessen den halben Sold zahlen.
qstr_Mill|Mühle
qstr_A_mill_increases_vil|Eine Mühle erhöht den Wohlstand des Dorfes um 5 %.
qstr_Watch_Tower|Wachturm
qstr_A_watch_tower_lets_t|Mit einem Wachturm schlagen die Dörfler schneller Alarm. Feinde brauchen 25 % mehr Zeit, um das Dorf zu plündern.
qstr_School|Schule
