dlga_start:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_member_chat:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_event_triggered:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_oim_tutorial_mission_dlg_x:oim_tutorial_mission_dlg_1_1|¡Gracias por ayudarnos! Siempre se agradece un par de brazos más en una época como esta...
dlga_oim_tutorial_mission_dlg_1_1:oim_tutorial_mission_dlg_1_2|Ha sido un honor para mí ayudaros.
dlga_oim_tutorial_mission_dlg_1_2:close_window|Vayamos a por unos caballos y alejémonos de aquí antes de que aparezcan más de estos canallas.
dlga_oim_tutorial_mission_dlg:close_window|Muy bien, tendremos que hacer algo con este candado. Tomad esta vieja pistola y pegadle un tiro.
dlga_oim_tutorial_mission_dlg_5:oim_tutorial_mission_dlg_5_1|Muchas gracias, extranjero. Corren tiempos extraños, como ambos sabemos... Y es bueno encontrar nuevos amigos. ¿Os gustaría quedaros con nosotros a cenar?
dlga_oim_tutorial_mission_dlg_5_1:close_window|¡Sí, por supuesto!
dlga_ms_extra_officer_dialog_start:ms_extra_officer_element_list|{s0}^{s5}
dlga_ms_extra_officer_element_list:ms_view_officer_elements|{s2}
dlga_ms_extra_officer_element_list:ms_extra_officer_dialog_start|Desearía reclutar algunos hombres.
dlga_ms_extra_officer_element_list:close_window|Debo irme...
dlga_ms_view_officer_elements:ms_view_officer_elements_list|{s2}
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start|1 ({reg0} tálero(s) y {reg1} moneda(s) de cobre).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.1|3 ({reg0} tálero(s) y {reg1} moneda(s) de cobre).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.2|5 ({reg0} tálero(s) y {reg1} moneda(s) de cobre).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.3|Debo irme...
dlga_ms_extra_goods_dialog_start:ms_extra_goods_category_list|¿Qué deseáis?
dlga_ms_extra_goods_category_list:ms_view_categoty_elements|{s2}
dlga_ms_extra_goods_category_list:close_window|Realizar compra.
dlga_ms_extra_goods_category_list:close_window.1|Debo irme...
dlga_ms_view_categoty_elements:ms_view_categoty_elements_list|{s0}
dlga_ms_view_categoty_elements_list:ms_extra_element_buy_descr|{s2} ({reg2} tálero(s)).
dlga_ms_view_categoty_elements_list:ms_extra_goods_dialog_start|Debo irme...
dlga_ms_extra_element_buy_descr:ms_extra_element_buy_descr_list|El pedido ha sido aceptado. Volved de aquí a unas dos semanas y estará todo listo.
dlga_ms_extra_element_buy_descr:ms_extra_element_buy_descr_list.1|¡No tenéis bastante dinero!
dlga_ms_extra_element_buy_descr_list:close_window|Muy bien.
dlga_ms_elder_dialog_start:ms_elder_list|¿Cómo puedo ayudaros?
dlga_ms_elder_list:ms_view_elements|Desearía construir un edificio.
dlga_ms_elder_list:ms_view_elements.1|Designar a alguien...
