menu_start_game_0|Bienvenido, aventurero, a Mount and Blade: With Fire and Sword. Antes de comenzar tu aventura debes crear tu personaje y elegir un nivel de dificultad.
mno_start_easy|Fácil
mno_start_normal|Normal
mno_start_hard|Difícil
mno_go_back_dot|Volver...
menu_start_phase_2|{s10}
mno_get_deal_with|Ved qué problema hay.
mno_talk_to_monfore|Continuad la conversación...
mno_camp_train_archery|Comenzad a practicar.
mno_continue|Continuar...
menu_reports|Renombre del personaje: {reg5}^Honor: {reg6}^Moral del grupo: {reg8}^Límite del grupo: {reg7}^
mno_view_character_report|Ver el informe del personaje.
mno_view_party_size_report|Ver el informe del tamaño del grupo.
mno_view_morale_report|Ver el informe de la moral del grupo.
mno_view_faction_relations_report|Ver el informe de vuestra relación con las naciones.
mno_view_banking_reports|Ver informes económicos.
mno_resume_travelling|Continuad viajando...
menu_custom_battle_end|La batalla ha terminado. {s1} Vuestro bando ha matado a {reg5} enemigos y perdido {reg6} tropas en la batalla. Personalmente, habéis matado a {reg7} hombres.
menu_start_game_1|Elegid el sexo de vuestro personaje.
mno_start_male_2|Hombre
mno_start_female|Mujer
mno_go_back|Atrás...
menu_start_character_1|¿De qué nación sois? ¿Y de qué familia?
mno_start_noble|Mi padre y mi madre eran de la nobleza.
mno_start_merchant|Un mercader ambulante.
mno_start_guard|Un guerrero veterano.
mno_start_forester|Un cazador.
mno_start_nomad|Un nómada de la estepa.
mno_start_thief|Un ladrón.
menu_start_character_2|Atrás. {s10}^^ Comenzasteis a aprender sobre el mundo casi al mismo tiempo que aprendisteis a caminar y hablar. Pasasteis vuestra niñez...
mno_page|Como paje en la corte de un noble.
mno_apprentice|Como aprendiz de artesano.
mno_stockboy|Como asistente en una tienda.
mno_urchin|Haciendo gamberradas.
mno_nomad|En las estepas.
menu_start_character_3|{s11}^^ La vida cambió para vos al llegar a adolescente, como siempre sucede. Entonces os hicisteis...
mno_squire|Un terrateniente.
mno_lady|Dama de honor.
mno_troubadour|Trovador.
mno_student|Estudiante de universidad.
mno_peddler|Buhonero.
mno_craftsman|Herrero.
mno_poacher|Cazador furtivo.
menu_start_character_4|{s12}^^Pero vuestra vida cambió y decidisteis dejarlo todo para aventuraros en el mundo. La razón de tal decisión fue...
mno_revenge|Venganza personal.
mno_death|La pérdida de un ser querido.
mno_wanderlust|Ganas de explorar.
mno_disown|Os obligaron a abandonar vuestra casa.
mno_greed|Ansias de poder.
menu_choose_skill|Avistáis, a lo lejos, varios hombres preparados para la batalla.
mno_begin_adventuring|Ved qué problema hay.
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_auto_return|Este menú lleva automáticamente de vuelta a...
menu_morale_report|{s1}
menu_faction_orders|{s9}
mno_faction_orders_next_faction|Seleccionar la próxima nación.
mno_faction_orders_defend|Forzar defensa.
mno_faction_orders_gather|Forzar reunión de ejército.
mno_faction_orders_increase_time|Aumentar el tiempo de la última ofensiva en 24 horas.
mno_faction_orders_rethink|Forzar reconsideración.
mno_faction_orders_rethink_all|Forzar reconsideración para todas las naciones.
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|Montáis el campamento. ¿Qué queréis hacer?
mno_camp_action|Emprended una acción.
mno_oim_diplomacy_menu|Diplomacia
mno_wagenburg_action_on|Montad un círculo de caravanas.
mno_wagenburg_action_off|Derribad el fuerte de caravanas.
mno_camp_wait_here|Esperad aquí un momento.
mno_camp_cheat|¡MENÚ DE TRUCOS!
mno_ms_extra_adviser|Enviad un mensajero al ayudante del alcalde.
menu_camp_cheat|Seleccionad truco:
mno_camp_cheat_1|Aumentad el renombre del jugador.
mno_camp_action_4|Regresad al menú del campamento.
menu_camp_action|Elegid una acción:
mno_camp_recruit_prisoners|Reclutad algunos de los prisioneros para el grupo.
mno_action_read_book|Seleccionad un libro para leer.
mno_action_retire|Retiraos de la aventura.
