str_no_string|¡NO STRING!
str_empty_string| 
str_yes|Sí.
str_no|No.
str_blank_string| 
str_error_string|ERROR!!!ERROR!!!!ERROR!!!ERROR!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!!
str_noone|nadie
str_s0|Grupo del {s0}
str_reg1|{reg1} denares
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} y {s51}
str_s5_s_party|Grupo del {s5}
str_bandits_eliminated_by_another|Otro grupo ha acabado con los bandidos problemáticos.
str_msg_battle_won|¡Victoria! Presionad Tab para salir...
str_randomize|Al azar
str_hold_fire|Alto el fuego
str_blunt_hold_fire|Contundente / alto el fuego
str_finished|(Terminado)
str_delivered_damage|Causa {reg60} puntos de daño.
str_archery_target_hit|Distancia: {reg61} yardas. Puntuación: {reg60}
str_use_baggage_for_inventory|Utiliza tu equipaje para acceder a tu inventario durante la batalla (está en tu posición inicial).
str_cant_use_inventory_now|No se puede acceder al inventario en estos momentos.
str_cant_use_inventory_arena|No se puede acceder al inventario en el campo de batalla.
str_cant_use_inventory_disguised|No se puede acceder al inventario mientras se utiliza un disfraz.
str_1_denar|1 tálero
str_reg1_denars|{reg1} táleros
str_january_reg1_reg2|{reg1} de enero de {reg2}
str_february_reg1_reg2|{reg1} de febrero de {reg2}
str_march_reg1_reg2|{reg1} de marzo de {reg2}
str_april_reg1_reg2|{reg1} de abril de {reg2}
str_may_reg1_reg2|{reg1} de mayo de {reg2}
str_june_reg1_reg2|{reg1} de junio de {reg2}
str_july_reg1_reg2|{reg1} de julio de {reg2}
str_august_reg1_reg2|{reg1} de agosto de {reg2}
str_september_reg1_reg2|{reg1} de septiembre de {reg2}
str_october_reg1_reg2|{reg1} de octubre de {reg2}
str_november_reg1_reg2|{reg1} de noviembre de {reg2}
str_december_reg1_reg2|{reg1} de diciembre de {reg2}
str_town_nighttime| Es tarde y no queda gente honrada por las calles.
str_door_locked|La puerta está cerrada.
str_castle_is_abondened|La fortaleza parece estar desierta.
str_place_is_occupied_by_player|Este lugar está bajo el mando de tus tropas.
str_place_is_occupied_by_enemy|Este lugar está bajo el mando de tropas enemigas.
str_do_you_want_to_retreat|¿Seguro que quieres emprender la retirada?
str_give_up_fight|¿Deseas abandonar la batalla?
str_do_you_wish_to_leave_tutorial|¿Quieres salir del tutorial?
str_do_you_wish_to_surrender|¿Deseas rendirte?
str_can_not_retreat|¡No te puedes retirar, aún hay enemigos cerca!
str_s1_joined_battle_enemy|{s1} se ha unido a la batalla, de parte del bando enemigo.
str_s1_joined_battle_friend|{s1} se ha unido a la batalla, de parte de tus tropas.
str_entrance_to_town_forbidden|Los guardias de la ciudad detectarán fácilmente a un impostor, por lo que no podrás pasar por las puertas sin poner en peligro tu vida.
str_sneaking_to_town_impossible|Los guardias de la ciudad han dado la alarma. No podrás pasar por las puertas por muy bien que te disfraces.
str_battle_won|¡Victoria!
str_battle_lost|¡Has perdido la batalla!
str_attack_walls_success|Tras una lucha encarnizada, tus valientes soldados consiguen hacerse con las murallas del enemigo.
str_attack_walls_failure|Tus soldados caen como moscas al intentar cargar contra las murallas, y los pocos que quedan vivos rápidamente desertan de tus filas.
str_attack_walls_continue|A continuación tiene lugar una sangrienta batalla, y ambos bandos luchan con igual valentía. Sin embargo, pese al esfuerzo de tus tropas, la fortaleza permanece en manos enemigas.
str_order_attack_success|Tus hombres luchan valientemente y vencen al enemigo.
str_order_attack_failure|Observas la batalla con la desesperación reflejada en tu rostro, mientras el enemigo diezma a tus soldados y hace huir a los pocos que quedan vivos.
str_order_attack_continue|A pesar de una larga y agotadora batalla, tus tropas fueron incapaces de conseguir una victoria decisiva.
str_join_order_attack_success|Tus hombres luchan junto a tus aliados, compartiendo la gloria mientras derrotan al enemigo.
str_join_order_attack_failure|Miras la batalla con la desesperación reflejada en tu rostro, mientras el enemigo diezma a tus soldados y hace huir a los pocos que quedan vivos.
str_join_order_attack_continue|A pesar de librar una feroz batalla, ni tus tropas ni tus aliados fueron capaces de conseguir una victoria decisiva.
str_siege_defender_order_attack_success|Los hombres de la guarnición protegen las murallas con habilidad y coraje, aplastando el asalto del enemigo y consiguiendo que huya despavorido.
