p_zendar|Zendar
p_town_1|Koenigsberg
p_town_2|Reval
p_town_3|Kiev
p_town_4|Vilna
p_town_5|Sich
p_town_6|Varsovia
p_town_7|Lviv
p_town_8|Moscú
p_town_9|Pskov
p_town_10|Azaq-kale
p_town_11|Cherkassk
p_town_12|Riga
p_town_13|Smolensk
p_town_14|Bakhchisaray
p_town_15|Chernigov
p_town_16|Krakov
p_town_17|Akkerman
p_town_18|Kyzykermen
p_castle_1|Fortaleza de Zbarazh
p_castle_2|Fortaleza de Kezlev
p_castle_3|Polatsk
p_castle_4|Víborg
p_castle_5|Fortaleza de Dzvinsk 
p_castle_6|Novgorod
p_castle_7|Fortaleza de Kilburun
p_castle_8|Tver'
p_castle_9|Poltava
p_castle_10|Fortaleza de Kovno
p_castle_11|Fortaleza de Myadzelsk
p_castle_12|Narva
p_castle_13|Slutsk
p_castle_14|Bratislava
p_castle_15|Cherkassy
p_castle_16|Korsun
p_castle_17|Perekop
p_castle_18|Fortaleza de Rzhev
p_castle_19|Kursk
p_castle_20|Fortaleza de Lodz
p_castle_21|Pereyaslav
p_castle_22|Kafa
p_castle_23|Fortaleza de Dubensk
p_castle_24|Kamenets
p_castle_25|Lublin
p_castle_26|Minsk
p_castle_27|Fortaleza de Berestye
p_castle_28|Fortaleza de Bar
p_castle_29|Fortaleza de Bryansk
p_castle_30|Fortaleza de Izmail
p_castle_31|Ryazan
p_castle_32|Fortaleza de Allenstein
p_castle_33|Fortaleza de Ladyzhyn
p_castle_34|Fortaleza de Dorpat
p_castle_35|Fortaleza de Lida
p_castle_36|Fortaleza de Dynaburg
p_castle_37|Tula
p_castle_38|Fortaleza de Kalanchak
p_castle_39|Fortaleza de Izum
p_castle_40|Fortaleza de Kyzyl-ya
p_village_1|Plotsk
p_village_2|Wadowice
p_village_3|Ovruch
p_village_4|Dunayivtsi
p_village_5|Elbing
p_village_6|Widawa
p_village_7|Amere
p_village_8|Wesenberg
p_village_9|Pohrebysche
p_village_10|Redkino
p_village_11|Ordash
p_village_12|Boguslav
p_village_13|Stryi
p_village_14|Slántsy
p_village_15|Baranovichi
p_village_16|Tarusa
p_village_17|Krivichi
p_village_18|Ponyri
p_village_19|Pokróvskoye
p_village_20|Yefrémov
p_village_21|Oboyan
p_village_22|Lgov
p_village_23|Magdalenovka
p_village_24|Sinelnikovo
p_village_25|Dzhankoy
p_village_26|Snovsk
p_village_27|Slavuta
p_village_28|Sivash
p_village_29|Siegevold
p_village_30|Salis
p_village_31|Pilve
p_village_32|Staronowice
p_village_33|Radzilow
p_village_34|Molodechno
p_village_35|Snechko
p_village_36|Nidritsa
p_village_37|Budjak
p_village_38|Solechniki
p_village_39|Ostrovets
p_village_40|Kryliv
p_village_41|Tumnek
p_village_42|Pologi
p_village_43|Ak-Mechet
p_village_44|Esaq
p_village_45|Inkerman
p_village_46|Ilyintsy
p_village_47|Zolotonosha
p_village_48|Potoki
p_village_49|Nugai
p_village_50|Sofronovo
p_village_51|Weissenstein
p_village_52|Khorol
p_village_53|Nesvizh
p_village_54|Chenstokhova
p_village_55|Lúga
p_village_56|Torma
p_village_57|Babice
p_village_58|Yartsy
p_village_59|Loyew
p_village_60|Dobrush
p_village_61|Leal
p_village_62|Stáritsa
p_village_63|Ostroleka
p_village_64|Kobelyaki
p_village_65|Dubechnya
p_village_66|Zamoshye
p_village_67|Rudnya
p_village_68|Lubenets
p_village_69|Tapiau
p_village_70|Lyubotin
p_village_71|Sambir
p_village_72|Vydzy
p_village_73|Kozelets
p_village_74|Klin
p_village_75|Liudínovo
p_village_76|Czaple
p_village_77|Panevėžys
p_village_78|Pavoloch
p_village_79|Boryspil
p_village_80|Vendau
p_village_81|Šiauliai
p_village_82|Trakai
p_village_83|Lisyanka
p_village_84|Maslov Brod
p_village_85|Loknya
p_village_86|Valuiki
p_village_87|Plungé
p_village_88|Kiliya
p_village_89|Leschinovka
p_village_90|Kolomak
p_salt_mine|Mina de sal
p_four_ways_inn|Posada las Cuatro Direcciones
p_test_scene|escena de prueba
p_battlefields|Campos de batalla
p_dhorak_keep|Fuerte Dhorak
p_training_ground|Campo de mercenarios
p_training_ground_1|Campo de mercenarios
p_training_ground_2|Campo de mercenarios
p_training_ground_3|Campo de mercenarios
p_training_ground_4|Campo de mercenarios
p_training_ground_5|Campo de mercenarios
p_temp_party_3|grupo 3 temporal
p_bridge_1|1
p_bridge_2|2
p_bridge_3|3
p_bridge_4|4
p_bridge_5|5
p_bridge_6|6
p_bridge_7|7
p_bridge_8|8
p_bridge_9|9
p_bridge_10|10
p_bridge_11|11
p_bridge_12|12
p_bridge_13|13
p_bridge_14|14
p_bridge_15|15
p_looter_spawn_point|saqueador
p_steppe_bandit_spawn_point|bandido de la estepa
p_forest_bandit_spawn_point|bandido del bosque
p_mountain_bandit_spawn_point|bandido de las montañas
p_sea_raider_spawn_point_1|invasor de la costa
p_sea_raider_spawn_point_2|invasor de la costa
