pt_none|ninguno
pt_rescued_prisoners|Prisioneros rescatados
pt_enemy|Enemigo
pt_hero_party|Grupo del Héroe
pt_village_defenders|Defensores de la aldea
pt_cattle_herd|Rebaño de ganado
pt_looters|Saqueadores
pt_manhunters|Tiradores del Departamento Secreto
pt_steppe_bandits|Invasores tártaros
pt_forest_bandits|Rebeldes
pt_mountain_bandits|Bandidos
pt_sea_raiders|Bandoleros
pt_deserters|Desertores
pt_merchant_caravan|Caravana mercantil
pt_troublesome_bandits|Bandidos problemáticos
pt_bandits_awaiting_ransom|Bandidos secuestradores
pt_kidnapped_girl|Doncella secuestrada
pt_village_farmers|Mediero
pt_spy_partners|Viajeros corrientes
pt_runaway_serfs|Siervos fugitivos
pt_spy|Ciudadano corriente
pt_sacrificed_messenger|Mensajero sacrificado
pt_forager_party|Forrajeadores
pt_scout_party|Exploradores
pt_patrol_party|Patrulla
pt_messenger_party|Mensajero
pt_raider_party|Salteadores
pt_raider_captives|Salteadores prisioneros
pt_kingdom_caravan_party|Caravana
pt_prisoner_train_party|Tren de prisioneros
pt_default_prisoners|Prisioneros normales
pt_routed_warriors|Enemigos derrotados
pt_center_reinforcements|Refuerzos
pt_kingdom_hero_party|Grupo de guerra
pt_kingdom_1_reinforcements_a|refuerzos a del reino 1
pt_kingdom_1_reinforcements_b|refuerzos b del reino 1
pt_kingdom_1_reinforcements_c|refuerzos c del reino 1
pt_kingdom_2_reinforcements_a|refuerzos a del reino 2
pt_kingdom_2_reinforcements_b|refuerzos b del reino 2
pt_kingdom_2_reinforcements_c|refuerzos c del reino 2
pt_kingdom_3_reinforcements_a|refuerzos a del reino 3
pt_kingdom_3_reinforcements_b|refuerzos b del reino 3
pt_kingdom_3_reinforcements_c|refuerzos c del reino 3
pt_kingdom_4_reinforcements_a|refuerzos a del reino 4
pt_kingdom_4_reinforcements_b|refuerzos b del reino 4
pt_kingdom_4_reinforcements_c|refuerzos c del reino 4
pt_kingdom_5_reinforcements_a|refuerzos a del reino 5
pt_kingdom_5_reinforcements_b|refuerzos b del reino 5
pt_kingdom_5_reinforcements_c|refuerzos c del reino 5
pt_steppe_bandit_lair|Guarida de los bandidos de la estepa
pt_forest_bandit_lair|Campamento de los bandidos del bosque
pt_mountain_bandit_lair|Guarida de los bandidos de la monta
pt_sea_raider_lair|Desembarco de los piratas
pt_looter_lair|Guarida de los secuestradores
pt_leaded_looters|Banda de ladrones
pt_zamoshie_bandits|Bandidos de Zamoshye
pt_oim_monfor_party|Hueste de Jaques de Clermont
pt_oim_swedish_army|Ejército sueco
pt_oim_kozak_army|Hueste cosaca
pt_oim_zagloba_party|Hueste de Zagloba
pt_oim_potop_mercs_army|Mercenarios alemanes
pt_oim_potop_mercs_army2|Mercenarios alemanes
pt_getman_deserters|Desertores
pt_oim_merchant_caravan|Caravanas mercantiles
pt_oim_merchant_caravan2|Caravanas mercantiles
pt_oim_static_object|Do not translate
pt_village_defenders_fac1|Defensores de la aldea
pt_village_defenders_fac2|Defensores de la aldea
pt_village_defenders_fac3|Defensores de la aldea
pt_village_defenders_fac4|Defensores de la aldea
pt_village_defenders_fac5|Defensores de la aldea
