qst_deliver_message|Entregad el mensaje a {s13}
qst_deliver_message_text|{s9} os ha pedido que llevéis un mensaje a {s13}. {s13} estaba en {s4} cuando se os asignó esta misión.
qst_deliver_message_to_enemy_lord|Entregad el mensaje a {s13}
qst_deliver_message_to_enemy_lord_text|{s9} os ha pedido que llevéis un mensaje a {s13} de {s15}. {s13} estaba en {s4} cuando se os asignó esta misión.
qst_raise_troops|Reunid {reg1} {s14}
qst_raise_troops_text|{s9} os ha pedido que le llevéis {reg1} {s14}.
qst_escort_lady|Escoltad a {s13} a {s14}
qst_escort_lady_text|Ninguno
qst_deal_with_bandits_at_lords_village|Salvad a la aldea de {s15}
qst_deal_with_bandits_at_lords_village_text|{s13} os ha pedido que os libréis de los bandidos que se han refugiado en la aldea de {s15} y que luego regreséis para informarle.
qst_collect_taxes|Recaudad los impuestos de {s3}
qst_collect_taxes_text|{s9} os ha pedido que recaudéis los impuestos de {s3}. Os ha ofrecido una quinta parte de todo el dinero recaudado.
qst_hunt_down_fugitive|Dad caza a {s4}
qst_hunt_down_fugitive_text|{s9} os ha pedido que deis caza a un fugitivo llamado {s4}. Se cree que actualmente se esconde en {s3}.
qst_kill_local_merchant|Asesinad a un mercader local en {s3}.
qst_kill_local_merchant_text|{s9} os ha pedido que asesinéis a un mercader en {s3}.
qst_bring_back_runaway_serfs|Capturad a los siervos fugitivos.
qst_bring_back_runaway_serfs_text|{s9} os ha pedido que atrapéis a los tres grupos de siervos fugitivos y que los llevéis a {s4}. Dice que los tres grupos huían en dirección a {s3}.
qst_follow_spy|Seguid al espía.
qst_follow_spy_text|{s11} os ha pedido que sigáis a un espía que saldrá de {s12}. Debéis ir con cuidado de que no el espía no os vea, o podríais levantar su sospechas y que decidiera volver. Una vez que el espía se encuentre con su contacto, deberéis tenderles una embocada, capturarlos y llevarlos de regreso a {s11}.
qst_capture_enemy_hero|Capturad a un señor de {s13}.
qst_capture_enemy_hero_text|MISIÓN: {s11} os ha pedido que capturéis a un señor de {s13}.
qst_lend_companion|Prestad a vuestro compañero {s3} a {s9}.
qst_lend_companion_text|{s9} os ha pedido que le prestéis a vuestro compañero, {s3}, durante una semana.
qst_collect_debt|Cobrad la cantidad que {s3} adeuda a {s9}.
