dlga_start:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_member_chat:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_event_triggered:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_oim_tutorial_mission_dlg_x:oim_tutorial_mission_dlg_1_1|Merci de nous avoir aidés ! Une paire de bras supplémentaire n'est jamais de trop, en des temps comme celui-ci.
dlga_oim_tutorial_mission_dlg_1_1:oim_tutorial_mission_dlg_1_2|C'était un honneur de vous aider.
dlga_oim_tutorial_mission_dlg_1_2:close_window|Allons trouver des chevaux et partons avant que d'autres fripouilles n'apparaissent.
dlga_oim_tutorial_mission_dlg:close_window|Très bien, nous allons devoir nous occuper de ce cadenas. Tirez dessus avec ce vieux pistolet, vous voulez bien ?
dlga_oim_tutorial_mission_dlg_5:oim_tutorial_mission_dlg_5_1|Merci infiniment, étranger. Nous vivons une époque bien curieuse, comme vous le savez... Il est bon de se faire de nouveaux amis. Souhaitez-vous vous joindre à nous pour le souper ?
dlga_oim_tutorial_mission_dlg_5_1:close_window|Avec grand plaisir !
dlga_ms_extra_officer_dialog_start:ms_extra_officer_element_list|{s0}^{s5}
dlga_ms_extra_officer_element_list:ms_view_officer_elements|{s2}
dlga_ms_extra_officer_element_list:ms_extra_officer_dialog_start|Je souhaiterais recruter des hommes.
dlga_ms_extra_officer_element_list:close_window|Je dois y aller...
dlga_ms_view_officer_elements:ms_view_officer_elements_list|{s2}
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start|1 ({reg0} thalers et {reg1} pièces de cuivre).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.1|3 ({reg0} thalers et {reg1} pièces de cuivre).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.2|5 ({reg0} thalers et {reg1} pièces de cuivre).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.3|Je dois y aller...
dlga_ms_extra_goods_dialog_start:ms_extra_goods_category_list|Que désirez-vous ?
dlga_ms_extra_goods_category_list:ms_view_categoty_elements|{s2}
dlga_ms_extra_goods_category_list:close_window|Effectuer un achat.
dlga_ms_extra_goods_category_list:close_window.1|Je dois y aller...
dlga_ms_view_categoty_elements:ms_view_categoty_elements_list|{s0}
dlga_ms_view_categoty_elements_list:ms_extra_element_buy_descr|{s2} ({reg2} thalers).
dlga_ms_view_categoty_elements_list:ms_extra_goods_dialog_start|Je dois y aller...
dlga_ms_extra_element_buy_descr:ms_extra_element_buy_descr_list|Votre commande est enregistrée. Revenez dans deux semaines, tout sera prêt.
dlga_ms_extra_element_buy_descr:ms_extra_element_buy_descr_list.1|Vous n'avez pas assez d'argent.
dlga_ms_extra_element_buy_descr_list:close_window|Très bien.
dlga_ms_elder_dialog_start:ms_elder_list|Que puis-je faire pour vous ?
dlga_ms_elder_list:ms_view_elements|J'aimerais construire un bâtiment.
dlga_ms_elder_list:ms_view_elements.1|Pour y nommer quelqu'un...
