fac_no_faction|Nation libre
fac_commoners|Roturiers
fac_outlaws|Hors-la-loi
fac_neutral|Neutre
fac_innocents|Innocents
fac_merchants|Marchands
fac_culture_1|culture 1
fac_culture_2|culture 2
fac_culture_3|culture 3
fac_culture_4|culture 4
fac_culture_5|culture 5
fac_player_faction|Nation du joueur
fac_player_supporters_faction|Nation du joueur
fac_kingdom_1|République de Pologne
fac_kingdom_2|Royaume de Moscou
fac_kingdom_3|Khanat de Crimée
fac_kingdom_4|Royaume de Suède
fac_kingdom_5|Hetmanat cosaque
fac_oim_rebel_faction|Nation 1
fac_manhunters|Tireurs d'élite des services secrets
fac_deserters|Déserteurs
fac_mountain_bandits|Bandits des montagnes
fac_forest_bandits|Bandits des forêts
fac_oim_outlaws|Hors-la-loi
