menu_start_game_0|Hé là ! Cavalier ! Nous vivons des temps dangereux et toutes sortes de gens passent sur cette route. Voyons un peu quel genre d'homme vous êtes !
mno_start_easy|Facile
mno_start_normal|Normal
mno_start_hard|Difficile
mno_go_back_dot|Retour...
menu_start_phase_2|{s10}
mno_get_deal_with|Voyez quels dangers nous attendent.
mno_talk_to_monfore|Continuer la conversation...
mno_camp_train_archery|Commencer l'entraînement.
mno_continue|Continuer...
menu_reports|Renommée du personnage : {reg5}^Honneur: {reg6}^Moral du groupe : {reg8}^Limite de la taille du groupe : {reg7}^
mno_view_character_report|Vérification du statut PNJ.
mno_view_party_size_report|Afficher le rapport sur la taille du groupe.
mno_view_morale_report|Afficher le rapport sur le moral du groupe.
mno_view_faction_relations_report|Afficher le rapport sur les relations de la nation.
mno_view_banking_reports|Afficher les rapports sur l'argent.
mno_resume_travelling|Continuer le voyage...
menu_custom_battle_end|La bataille est finie. {s1} a tué {reg5} ennemi(s) à vos côtés et a perdu {reg6} troupe(s) au cours de la bataille. Vous avez personnellement mis à mort {reg7} homme(s) au cours du combat. 
menu_start_game_1|Sélectionnez le sexe de votre personnage.
mno_start_male_2|Homme
mno_start_female|Femme
mno_go_back|Retour...
menu_start_character_1|Alors, de quelle nation venez-vous ? Et de quelle famille ?
mno_start_noble|Mon père et ma mère sont de la noblesse.
mno_start_merchant|Un marchand itinérant.
mno_start_guard|Un vieux soldat.
mno_start_forester|Un chasseur.
mno_start_nomad|Un nomade des steppes.
mno_start_thief|Un voleur.
menu_start_character_2|{s10}^^ Vous avez commencé à découvrir le monde peu après savoir marcher et parler. Au début de votre vie vous étiez...
mno_page|Un page à la cour d'un noble.
mno_apprentice|{reg3?Apprentie:Apprenti} chez un artisan.
mno_stockboy|L'assistant{reg3?e:} d'un marchand.
mno_urchin|{reg3?Une gamine:Un gamin} des rues.
mno_nomad|Un enfant de la steppe.
menu_start_character_3|{s11}^^ Puis, jeune adulte, votre vie a suivi son cours habituel. Vous êtes devenue...
mno_squire|Un propriétaire terrien.
mno_lady|Une dame d'honneur.
mno_troubadour|{reg3?Une musicienne itinérante:Un troubadour}.
mno_student|{reg3?Une étudiante:Un étudiant} à l'université.
mno_peddler|{reg3?Une colporteuse:Un colporteur}.
mno_craftsman|{reg3?Une forgeronne:Un forgeron}.
mno_poacher|{reg3?Une braconnière:Un braconnier}.
menu_start_character_4|{s12}^^Mais rapidement tout a changé et vous avez décidé de tenter votre chance en tant qu'aventurier. Ce qui vous a incité à prendre cette décision fut...
mno_revenge|Une revanche à assouvir.
mno_death|La perte d'un être cher.
mno_wanderlust|L'appel de l'aventure.
mno_disown|Le fait d'être chassé{reg3?e:} de votre maison.
mno_greed|La soif d'argent et de pouvoir.
menu_choose_skill|Ah oui, je vois. Eh bien, enchanté, jeune homme ! Approchez-vous du feu, que je vous vois un peu mieux.
mno_begin_adventuring|Avancez dans la lumière...
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_auto_return|Ce menu vous ramène automatiquement à...
menu_morale_report|{s1}
menu_faction_orders|{s9}
mno_faction_orders_next_faction|Sélectionner la prochaine nation.
mno_faction_orders_defend|Forcer la défense.
mno_faction_orders_gather|Forcer le rassemblement de l'armée.
mno_faction_orders_increase_time|Augmenter la durée de la dernière offensive de 24 heures.
mno_faction_orders_rethink|Forcer à repenser.
mno_faction_orders_rethink_all|Forcer toutes les nations à repenser.
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|Vous établissez un camp. Que voulez-vous faire ?
mno_camp_action|Faire une action.
mno_oim_diplomacy_menu|Diplomatie
mno_wagenburg_action_on|Construire un fort mobile.
mno_wagenburg_action_off|Démolir le fort mobile.
mno_camp_wait_here|Attendre ici pendant un certain temps.
mno_camp_cheat|MENU DES TRICHES !
mno_ms_extra_adviser|Envoyer un messager à l'assistant du maire.
menu_camp_cheat|Sélectionner une triche :
mno_camp_cheat_1|Augmenter la renommée du joueur.
mno_camp_action_4|Revenir au menu Camp.
menu_camp_action|Choisir une action :
mno_camp_recruit_prisoners|Recruter des soldats parmi vos prisonniers.
mno_action_read_book|Sélectionner un livre à lire.
mno_action_retire|Prendre sa retraite d'aventurier.
menu_camp_recruit_prisoners|Vous rendez la liberté à vos prisonniers s'ils acceptent à vous rejoindre en tant que soldats. {s18}
mno_camp_recruit_prisoners_accept|Les accepter.
mno_camp_recruit_prisoners_reject|Les rejeter.
menu_camp_no_prisoners|Vous n'avez aucun prisonnier à recruter.
menu_camp_action_read_book|Choisir un livre à lire :
mno_action_read_book_1|{s1}.
mno_action_read_book_2|{s1}.
mno_action_read_book_3|{s1}.
mno_action_read_book_4|{s1}.
mno_action_read_book_5|{s1}.
mno_action_read_book_6|{s1}.
mno_action_read_book_7|{s1}.
menu_camp_action_read_book_start|{s1}
menu_retirement_verify|{reg0} jours se sont écoulés. Votre chance est actuellement de {reg1}. Êtes-vous sûr de vouloir prendre votre retraite ?
mno_retire_yes|Oui.
mno_retire_no|Non.
menu_end_game|Votre décision est prise et vous vous êtes résolu à abandonner votre vie d'aventurier et à vous ranger. Vous vendez vos armes et votre armure, vous rassemblez tout l'argent et chevauchez dans le soleil couchant... 
mno_end_game_bye|Adieu.
menu_pay_day|{s1}.
menu_cattle_herd|Vous croisez le chemin d'un troupeau de bétail.
mno_cattle_drive_away|Mener le bétail à destination.
mno_cattle_stop|Arrêter le troupeau.
mno_cattle_kill|Abattre certains des animaux.
mno_leave|Sortir
menu_cattle_herd_kill|Combien d'animaux voulez-vous abattre ?
mno_cattle_kill_1|Un.
mno_cattle_kill_2|Deux.
mno_cattle_kill_3|Trois.
mno_cattle_kill_4|Quatre.
mno_cattle_kill_5|Cinq.
menu_cattle_herd_kill_end|Vous ne devriez pas lire ceci.
menu_arena_duel_fight|Votre adversaire et vous vous apprêtez à vous battre.
menu_simple_encounter|{s2} Vous avez {reg10} troupes prêtes au combat contre leur {reg11}.^{s4}
mno_encounter_attack|Charger l'ennemi.
mno_encounter_attack_wagenburg_mounted|Attaquer à cheval.
mno_encounter_attack_wagenburg_unmounted|Attaquer à pied.
mno_encounter_order_attack|Donner l'ordre à vos soldats d'attaquer sans vous.
mno_encounter_leave|Quitter.
mno_encounter_retreat|Se retirer. Laisser certains soldats pour couvrir votre retraite.
mno_encounter_surrender|Se rendre.
menu_encounter_retreat_confirm|En tant que membre du groupe détenant le niveau le plus élevé de la compétence Tactiques, (compétence tactique : {reg2}), {reg3?vous concevez :{s3} conçoit} un plan qui vous permettra, à vous et à vos hommes, de vous enfuir sains et saufs. Cependant, vous devrez abandonner {reg4} soldats pour empêcher l'ennemi de vous pourchasser.
mno_leave_behind|Sacrifier ces hommes pour sauver les autres.
mno_dont_leave_behind|Rester sur le champ de bataille.
menu_encounter_retreat|Vous ordonnez à {reg4} soldats de retenir l'ennemi tandis que vous battez en retraite avec le reste de votre groupe.
menu_order_attack_begin|Vos soldats se préparent à attaquer l'ennemi.
mno_order_attack_begin|Donner l'ordre de lancer l'attaque.
mno_call_back|Les rappeler.
menu_order_attack_2|{s4}^^Vos pertes : {s8}^^Pertes ennemies: {s9}
mno_order_attack_continue|Donner l'ordre à vos soldats de continuer l'attaque.
mno_order_retreat|Rappeler vos soldats.
menu_battle_debrief|{s11}^^Vos pertes :{s8}{s10}^^Pertes ennemies :{s9}
menu_total_victory|Vous ne devriez pas lire ceci... {s9}
menu_enemy_slipped_away|{s17}
menu_total_defeat|Vous ne devriez pas lire ceci...
menu_permanent_damage|{s0}
mno_s0|{s0}
menu_pre_join|Vous vous retrouvez au milieu d'une bataille entre {s2} et {s1}. À qui portez-vous assistance ?
mno_pre_join_help_attackers|{s2}.
mno_pre_join_help_defenders|{s1}.
mno_pre_join_talk|Parler aux assaillants.
mno_pre_join_leave|Partir.
menu_join_battle|Vous vous alliez à {s2} contre {s1} qui se prépare à vous attaquer. Vous avez {reg10} troupes prêtes à affronter les {reg11} troupes ennemies.
mno_join_attack|Charger l'ennemi.
mno_join_order_attack|Donner l'ordre à vos soldats d'attaquer avec vos alliés tandis que vous restez en retrait.
mno_join_leave|Quitter les lieux.
menu_join_order_attack|{s4}^^Vos pertes : {s8}^^Pertes alliées : {s9}^^Pertes ennemies : {s10}
menu_zendar|Vous entrez le bourg de Zendar.
mno_zendar_enter| 
mno_zendar_enter_door|Aller au centre-ville du bourg.
mno_zendar_tavern| 
mno_zendar_tavern_door|Entrer dans la taverne.
mno_zendar_merchant| 
mno_zendar_merchant_door|Rendre visite au marchand.
mno_zendar_arena| 
mno_zendar_arena_door|Entrer dans l'arène.
mno_town_1_leave| 
menu_salt_mine|Vous entrez dans une mine de sel.
mno_enter|Entrer
menu_four_ways_inn|Vous arrivez à l'Auberge des Quatre Chemins.
menu_test_scene|Vous entrez dans la scène de test.
menu_battlefields|Sélectionner un terrain...
mno_enter_f1|Terrain 1
mno_enter_f2|Terrain 2
mno_enter_f3|Terrain 3
mno_enter_f4|Terrain 4
mno_enter_f5|Terrain 5
menu_dhorak_keep|Vous entrez dans le donjon de Dhorak.
menu_join_siege_outside|{s1} a été assiégée par {s2}.
mno_approach_besiegers|Approcher le camp de siège.
mno_pass_through_siege|Franchir les lignes de siège et entrer dans {s1}.
menu_cut_siege_without_fight|Les assaillants vous laissent approcher les portes sans encombre.
menu_besiegers_camp_with_allies|{s1} est toujours assiégée, les bannières de {s2} flottent au-dessus du camp des assaillants, où vos hommes et vous êtes les bienvenus.
mno_talk_to_siege_commander|Demander une entrevue avec le commandant.
mno_join_siege_with_allies|Rejoindre le prochain assaut.
mno_join_siege_stay_back|Donner l'ordre à vos soldats de se joindre au prochain assaut sans vous.
menu_castle_outside|Vous êtes à l'extérieur de {s2}.{s11} {s3} {s4}
mno_approach_gates|Approcher des portes du château et héler le garde.
mno_town_sneak|Se déguiser et essayer de vous introduire dans la ville.
mno_castle_start_siege|Assiéger le {reg6?bourg:château}
mno_talk_to_pafnutiy_menu|Parler à Pafnuty.
mno_talk_to_borzobogataya|Parler à Anusia.
mno_talk_to_borzobogataya_door|Parler à Anusia.
mno_talk_to_ransom_broker|Parler à l'esclavagiste.
mno_talk_to_pafnutiy_dlg|Parler à Pafnuty.
mno_talk_to_pafnutiy_dlg_door|Parler à Pafnuty.
mno_castle_leave|Quitter.
menu_castle_guard|Vous approchez de la porte. Les hommes sur les remparts vous observent attentivement.
mno_request_shelter|Demander à entrer dans la forteresse.
mno_request_meeting_commander|Demander une entrevue avec quelqu'un.
mno_guard_leave|Quitter.
menu_castle_entry_granted|Après un court instant, les gardes vous ouvrent les portes et autorisent votre groupe à entrer.
menu_castle_entry_denied|Le seigneur de cette forteresse vous a interdit de pénétrer dans l'enceinte de ces murs et le sergent des gardes vous informe que ses hommes feront feu si vous approchez davantage.
menu_castle_meeting|Avec qui souhaitez-vous vous entretenir ?
mno_guard_meet_s5|{s5}.
mno_forget_it|Retour...
menu_castle_meeting_selected|Votre demande d'entrevue est transmise. {s6} apparaît enfin dans la cour pour parler avec vous.
menu_castle_besiege|Vous assiégez {s1}. {s2} {s3}
mno_build_ladders|Préparer les échelles pour attaquer les remparts.
mno_siege_request_meeting|Demander une entrevue avec le commandant de la forteresse.
mno_town_diversiya|Empoisonner l'eau de la ville.
mno_town_vorvatsya|Essayer de pénétrer dans la ville.
mno_build_podkop|Démolir les remparts avec un explosif.
mno_castle_lead_attack|Mener vos soldats à l'attaque.
mno_castle_lead_attack_podkop|Commencer l'assaut.
mno_attack_stay_back|Donner l'ordre à vos soldats d'attaquer tandis que vous restez en retrait...
mno_build_siege_tower|Construire une tour de siège.
mno_wait_24_hours|Attendre jusqu'à demain.
mno_lift_siege|Abandonner le siège.
menu_siege_attack_meets_sally|Les défenseurs bondissent de nulle part pour répondre à votre assaut. 
menu_castle_besiege_inner_battle|{s1}
menu_construct_ladders|Vous estimez qu'il faudra {reg4} heures pour construire assez d'échelles pour l'assaut. 
mno_build_ladders_cont|Faites-le.
mno_go_back_assault|Chercher un autre plan d'assaut.
menu_construct_siege_tower|En tant que meilleur ingénieur du groupe (compétence en ingénierie : {reg2}), {reg3?vous estimez:{s3} estime} que la construction d'une tour de siège prendra {reg4} heures.
mno_build_siege_tower_cont|Commencer à construire.
menu_castle_attack_walls_simulate|{s4}^^Vos pertes :{s8}^^Les pertes ennemies sont de : {s9}
menu_castle_attack_walls_with_allies_simulate|{s4}^^Vos pertes : {s8}^^Pertes alliées : {s9}^^Pertes ennemies : {s10}
menu_castle_taken_by_friends|Rien à voir ici.
menu_castle_taken|Vous avez conquis {s3}. Vous avez désormais le contrôle total de la {reg2?ville:forteresse}. {reg1?Il semblerait que rien ne puisse vous empêcher de vous en emparer...:}
menu_castle_taken_2|Vous avez conquis {s3}. Vous avez désormais le contrôle total des lieux. Vos hommes fêtent la victoire.
mno_castle_taken_claim|Demander {s3} comme récompense.
mno_castle_taken_no_claim|Ne demander aucune récompense.
mno_castle_taken_oim|S'emparer de {s3}.
menu_requested_castle_granted_to_player|Vous recevez un message de {s3}.^^ {reg4?Elle:Il} a décidé de vous accorder {s2}{reg3? et le village voisin de {s4}:}, ainsi que tous les titres et revenus qui en découlent, aussi longtemps que durera votre serment d'hommage envers {reg4?elle:lui}.
menu_requested_castle_granted_to_another|{s3} vous envoie un message.^^ "Je fus ravi d'entendre parler de vos valeureux efforts concernant la prise de {s2}.Votre victoire a empli nos cœurs de joie. Vous m'avez également demandé de vous donner le contrôle de la forteresse, mais je ne peux malheureusement pas vous l'accorder, car vous détenez déjà suffisamment de terres au sein de mon domaine. En lieu et place, je vous ai envoyé {reg6} thalers pour couvrir les dépenses de votre campagne, mais je confierai {s2} à {s5}.
mno_accept_decision|Accepter la décision.
mno_leave_faction|Vous avez été lésé ! Renoncer à votre serment envers votre souverain.
menu_leave_faction|Rompre votre serment constitue un acte grave. Votre seigneur peut vous condamner et vous confisquer vos terres ainsi que vos possessions. Cependant, si vous les rendez de votre plein gré, il se peut qu'il ne tienne pas compte de votre trahison et que vous puissiez partir sans vous battre.
mno_leave_faction_give_back|Renoncer au serment que vous avez prêté et abandonner vos possessions.
mno_leave_faction_hold|Renoncer au serment que vous avez prêté et garder vos terres, y compris {s2}.
mno_leave_faction_cancel|Rester loyal et accepter la décision.
menu_give_center_to_player|Votre seigneur vous propose d'agrandir vos fiefs ! {s1} vous fait savoir qu'il est disposé à vous céder {s2} en guise de paiement pour vos loyaux services, en plus de vos propres possessions. Quelle est votre réponse ? 
mno_give_center_to_player_accept|Accepter l'offre.
mno_give_center_to_player_reject|Rejeter l'offre. Vous n'avez aucun intérêt à détenir {s2}.
menu_give_center_to_player_2|Lors d'une brève cérémonie, vous avez été officiellement déclaré nouveau seigneur de {s2}{reg3? et du village {s4} qui lui est rattaché:}. Vous pouvez à présent réclamer vos rentes et revenus provenant de vos propriétés personnelles, enrôler des soldats parmi la populace et gérer vos terres. Cependant, vous devrez défendre votre fief et ses occupants, tout en maintenant la loi et l'ordre.
menu_oath_fulfilled|Vous êtes sous contrat avec {s1} et vous deviez le servir pendant une certaine période. Votre contrat est à présent arrivé à terme. Que désirez-vous faire ?
mno_renew_oath|Renouveler votre contrat avec {s1} pour un autre mois.
mno_dont_renew_oath|Vous libérer de vos obligations.
menu_siege_started_defender|{s1} lance un assaut contre les remparts de {s2}. Vous avez {reg10} troupes prêtes à combattre les {reg11} troupes ennemies. Quelle sera votre décision ?
mno_siege_defender_join_battle|Rejoindre la bataille.
mno_siege_defender_troops_join_battle|Donner l'ordre à vos soldats de se joindre à la bataille sans vous.
menu_siege_join_defense|{s4}^^Vos pertes : {s8}^^Pertes alliées : {s9}^^Pertes ennemies : {s10}
menu_enter_your_own_castle|Alors que vous vous approchez, vous êtes repéré par les gardes du château qui vous souhaitent la bienvenue et ouvrent les portes pour leur {seigneur/dame}.
menu_village|{s10}{s11}{s6}{s7}{s20}{s21}
mno_village_manage|Gérer ce village.
mno_village_ms|Parler à l'ancien du village...
mno_additional_menu_ms|Aller au centre-ville du village...
mno_recruit_volunteers|Recruter des volontaires.
mno_village_center|Se rendre dans le centre du village.
mno_village_center_door|Vers le centre du village.
mno_village_buy_food|Acheter des provisions auprès des paysans.
mno_village_attack_bandits|Attaquer les bandits.
mno_village_wait|Attendre ici un moment.
mno_collect_taxes_qst|{reg5?Continuer de collecter les impôts:Collecter les impôts} dus à {s1}.
mno_train_peasants_against_bandits_qst|Entraîner les paysans.
mno_village_hostile_action|Entreprendre une action hostile.
mno_oim_potop_sneak_into_village|Aller aux écuries.
mno_village_center_nesvz|Aller à la tombe.
mno_village_center_nesvz_door|Aller à la tombe.
mno_talk_to_yavangelik|Parler à Evangelic.
mno_talk_to_yavangelik_door|Parler à Evangelic.
mno_village_leave|Quitter...
menu_village_hostile_action|Agir !
mno_village_take_food|Forcer les paysans à vous donner des provisions.
