str_no_string|AUCUNE CHAÎNE !
str_empty_string| 
str_yes|Oui.
str_no|Non.
str_blank_string| 
str_error_string|ERREUR!!!ERREUR!!!!ERREUR!!!ERREUR!!!ERREUR!!!ERREUR!!!!ERREUR!!!ERREUR!!!!ERREUR!!!ERREUR!!!!ERREUR!!!ERREUR!!!!ERREUR!!!ERREUR!!!!ERREUR!!!ERREUR!!!!!
str_noone|personne
str_s0|{s0}
str_reg1|{reg1}
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} et {s51}
str_s5_s_party|Armée de {s5}
str_bandits_eliminated_by_another|Les bandits gênants ont été éliminés par un autre groupe.
str_msg_battle_won|Victoire ! Appuyez sur la touche Tab pour quitter...
str_randomize|Aléatoire
str_hold_fire|Cesser le feu
str_blunt_hold_fire|Contondant / Cesser le feu
str_finished|(Fini)
str_delivered_damage|{reg60} dégâts causés.
str_archery_target_hit|Distance : {reg61} mètres. Score : {reg60}
str_use_baggage_for_inventory|Utilisez votre malle pour accéder à votre inventaire pendant la bataille. (Elle se trouve sur votre position de départ.)
str_cant_use_inventory_now|Impossible d'accéder à l'inventaire pour le moment.
str_cant_use_inventory_arena|Impossible d'accéder à l'inventaire dans l'arène.
str_cant_use_inventory_disguised|Impossible d'accéder à l'inventaire lorsque vous êtes déguisé.
str_1_denar|1 thaler
str_reg1_denars|{reg1} thalers
str_january_reg1_reg2|{reg1} janvier {reg2}
str_february_reg1_reg2|{reg1} février {reg2}
str_march_reg1_reg2|{reg1} mars {reg2}
str_april_reg1_reg2|{reg1} avril {reg2}
str_may_reg1_reg2|{reg1} mai {reg2}
str_june_reg1_reg2|{reg1} juin {reg2}
str_july_reg1_reg2|{reg1} juillet {reg2}
str_august_reg1_reg2|{reg1} août {reg2}
str_september_reg1_reg2|{reg1} septembre {reg2}
str_october_reg1_reg2|{reg1} octobre {reg2}
str_november_reg1_reg2|{reg1} novembre {reg2}
str_december_reg1_reg2|{reg1} décembre {reg2}
str_town_nighttime|Il est tard dans la nuit et les gens honnêtes ont déserté les rues.
str_door_locked|La porte est fermée.
str_castle_is_abondened|La forteresse semble être inoccupée.
str_place_is_occupied_by_player|Ce lieu est occupé par vos propres troupes.
str_place_is_occupied_by_enemy|Ce lieu est occupé par des troupes hostiles.
str_do_you_want_to_retreat|Êtes-vous sûr de vouloir vous replier ?
str_give_up_fight|Abandonner le combat ?
str_do_you_wish_to_leave_tutorial|Souhaitez-vous quitter le didacticiel ?
str_do_you_wish_to_surrender|Souhaitez-vous vous rendre ?
str_can_not_retreat|Impossible de se replier, il y a des ennemis à proximité !
str_s1_joined_battle_enemy|{s1} a rejoint l'ennemi dans la bataille.
str_s1_joined_battle_friend|{s1} vous a rejoint dans la bataille.
str_entrance_to_town_forbidden|Les gardes du bourg remarquent facilement un imposteur. Il semble que vous ne pourrez pas franchir les portes sans encombre.
str_sneaking_to_town_impossible|Les gardes du bourg sont alertés. Vous ne pourrez pas franchir cette porte sans vous faire repérer, peu importe le type de déguisement que vous utilisez.
str_battle_won|Vous avez gagné la bataille !
str_battle_lost|Vous avez perdu la bataille !
str_attack_walls_success|Au terme d'un combat sanglant, vos braves soldats parviennent à reprendre les remparts aux ennemis.
str_attack_walls_failure|Vos soldats succombent, vague après vague, dans l'attaque des remparts et les quelques survivants se dispersent et s'enfuient rapidement, pour ne jamais revenir.
str_attack_walls_continue|Une bataille sanglante s'ensuit, au cours de laquelle les deux camps se battent honorablement. Malgré les efforts de vos troupes, la forteresse reste entre les mains de l'ennemi.
str_order_attack_success|Vos hommes se battent courageusement et triomphent de l'ennemi.
str_order_attack_failure|Vous regardez avec désespoir la bataille pendant que vos ennemis abattent vos soldats et expulsent ensuite les quelques survivants en piteux état.
str_order_attack_continue|Malgré une longue et épuisante bataille, vos troupes n'étaient pas en mesure de gagner une victoire décisive.
str_join_order_attack_success|Vos hommes se sont battus efficacement aux côtés de vos alliés, qui partagent la gloire suscitée par la défaite de vos ennemis.
str_join_order_attack_failure|Vous regardez avec désespoir la bataille dans laquelle les ennemis abattent vos soldats et expulsent ensuite les quelques survivants en piteux état.
str_join_order_attack_continue|Malgré une bataille féroce, ni vos troupes ni celles de vos alliés n'étaient en mesure de remporter une victoire décisive sur l'ennemi. 
str_siege_defender_order_attack_success|Les hommes de la garnison défendent leurs remparts avec dextérité et courage, mettant fin à l'assaut de l'ennemi et transformant habilement la menace en une déroute à part entière. 
str_siege_defender_order_attack_failure|L'assaut se transforme rapidement en bain de sang. Les élans de courage n'aboutissent à rien ; la garnison surpassée ne peut pas défendre les remparts et l'ennemi passe chaque défenseur restant au fil de l'épée.
str_siege_defender_order_attack_continue|Les assauts sanglants à répétition contre les remparts n'arrivent pas à gagner du terrain, mais il reste encore trop d'ennemis pour que les défenseurs puissent crier victoire. Le siège continue.
str_hero_taken_prisoner|{s1} de {s3} a été fait prisonnier par {s2}.
str_hero_freed|{s1} de {s3} a été libéré de sa captivité par {s2}.
str_center_captured|{s2} ont pris {s1} de {s3}.
str_troop_relation_increased|Vos relations avec {s1} se sont améliorées en passant de {reg1} à {reg2}.
str_troop_relation_detoriated|Vos relations avec {s1} se sont détériorées en passant de {reg1} à {reg2}.
str_faction_relation_increased|Vos relations avec {s1} se sont améliorées en passant de {reg1} à {reg2}.
str_faction_relation_detoriated|Vos relations avec {s1} se sont détériorées en passant de {reg1} à {reg2}.
str_party_gained_morale|Votre groupe gagne {reg1} en moral.
str_party_lost_morale|Votre groupe perd {reg1} en moral.
str_qst_follow_spy_noticed_you|L'espion vous a repéré ! Il tente de s'enfuir ! 
str_father|père
str_husband|mari
str_wife|épouse
str_daughter|fille
str_mother|mère
str_son|fils
str_brother|frère
str_sister|sœur
str_he|Il
str_she|Elle
str_s3s_s2|{s2} de {s3}.
str_s5_is_s51|{s5} est {s51}.
str_s5_is_the_ruler_of_s51|{s5} est le régent de {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} est un noble de {s6}. 
str_relation_mnus_100|Hostilité
str_relation_mnus_90|Hostilité
str_relation_mnus_80|Hostilité
str_relation_mnus_70|Haine
str_relation_mnus_60|Haine
str_relation_mnus_50|Rancœur
str_relation_mnus_40|Rancœur
str_relation_mnus_30|Soupçon
str_relation_mnus_20|Soupçon
str_relation_mnus_10|Indifférence
str_relation_plus_0|Indifférence
str_relation_plus_10|Indifférence
str_relation_plus_20|Sympathie
str_relation_plus_30|Sympathie
str_relation_plus_40|Soutien
str_relation_plus_50|Soutien
str_relation_plus_60|Amabilité
str_relation_plus_70|Amabilité
