qst_deliver_message|Porter un message à {s13}
qst_deliver_message_text|{s9} vous a demandé de porter un message à {s13}. {s13} était à {s4} au moment où l'on vous a confié cette quête.
qst_deliver_message_to_enemy_lord|Porter un message à {s13}
qst_deliver_message_to_enemy_lord_text|{s9} vous a demandé de porter un message à {s13} de {s15}. {s13} était à {s4} au moment où l'on vous a confié cette quête.
qst_raise_troops|Rassembler {reg1} {s14}
qst_raise_troops_text|{s9} vous a demandé de rassembler {reg1} {s14} et de les conduire jusqu'à lui.
qst_escort_lady|Escorter {s13} vers {s14}
qst_escort_lady_text|Aucune
qst_deal_with_bandits_at_lords_village|Sauver le village de {s15}
qst_deal_with_bandits_at_lords_village_text|{s13} vous a demandé de vous occuper des bandits qui se sont réfugiés dans le village de {s15}, puis de lui faire votre rapport.
qst_collect_taxes|Collecter les impôts de {s3}
qst_collect_taxes_text|{s9} vous a demandé de collecter les impôts de {s3}. Il vous a proposé de vous donner un cinquième de l'argent perçu.
qst_hunt_down_fugitive|Pourchasser {s4}
qst_hunt_down_fugitive_text|{s9} vous a demandé de pourchasser le fugitif nommé {s4}. On dit qu'il se trouve à {s3}.
qst_kill_local_merchant|Assassiner le marchand local à {s3}
qst_kill_local_merchant_text|{s9} vous a demandé d'assassiner un marchand local à {s3}.
qst_bring_back_runaway_serfs|Ramener les serfs en fuite
qst_bring_back_runaway_serfs_text|{s9} vous a demandé de trouver les trois groupes de serfs en fuite et de les ramener à {s2}. Il a déclaré qu'ils se dirigeaient tous vers {s3}.
qst_follow_spy|Suivre l'espion jusqu'à son lieu de rendez-vous
qst_follow_spy_text|{s11} vous a demandé de suivre l'espion qui partira de {s12}. Vous devez faire attention à ne pas vous faire repérer par l'espion durant son déplacement, sinon il risque d'avoir des soupçons et de rebrousser chemin. Dès que l'espion retrouve son complice, tendez-leur une embuscade, capturez-les et ramenez-les à {s11}.
qst_capture_enemy_hero|Capturer un seigneur de {s13}
qst_capture_enemy_hero_text|{s11} vous a demandé de capturer un seigneur de {s13}.
qst_lend_companion|Accorder l'aide de votre compagnon {s3} à {s9}
qst_lend_companion_text|{s9} vous a demandé de lui accorder l'aide de {s3} pour une semaine.
qst_collect_debt|Collecter la dette que {s3} doit à {s9}
qst_collect_debt_text|{s9} vous a demandé de collecter la dette de {reg4} thalers que {s3} lui doit.
qst_incriminate_loyal_commander|Accuser {s16}, le loyal commandant de {s13}
qst_incriminate_loyal_commander_text|Aucune
qst_raid_caravan_to_start_war|Mener un assaut contre {reg13} convois de {s13}
qst_raid_caravan_to_start_war_text|Aucune
qst_meet_spy_in_enemy_town|Rencontrer un espion à {s13}
qst_meet_spy_in_enemy_town_text|Aucune
qst_capture_prisoners|Amener {reg1} {s3} prisonniers
