dlga_start:close_window|Uwaga! Ten wiersz nie pojawia się. Jest przeznaczony do przechowania zmiennych dialogu.
dlga_member_chat:close_window|Uwaga! Ten wiersz nie pojawia się. Jest przeznaczony do przechowania zmiennych dialogu.
dlga_event_triggered:close_window|Uwaga! Ten wiersz nie pojawia się. Jest przeznaczony do przechowania zmiennych dialogu.
dlga_oim_tutorial_mission_dlg_x:oim_tutorial_mission_dlg_1_1|Dziękuję za pomoc! W dzisiejszych czasach bywa przydatna.
dlga_oim_tutorial_mission_dlg_1_1:oim_tutorial_mission_dlg_1_2|To dla mnie zaszczyt.
dlga_oim_tutorial_mission_dlg_1_2:close_window|Chodź, lepiej poszukajmy jakichś koni i czmychajmy stąd, zanim pojawi się więcej tych przeklętych szubrawców.
dlga_oim_tutorial_mission_dlg:close_window|Dobrze. Musimy zrobić coś z tą kłódką. Weź ten stary pistolet i rozwal to czarcie ustrojstwo.
dlga_oim_tutorial_mission_dlg_5:oim_tutorial_mission_dlg_5_1|Wielkie dzięki, nieznajom{y/a}. Sądzę, że masz do mnie kilka pytań na temat tych obcych ziem i ciężkich czasów.
dlga_oim_tutorial_mission_dlg_5_1:close_window|Oczywiście, wiele chciał{bym/abym} się dowiedzieć!
dlga_ms_extra_officer_dialog_start:ms_extra_officer_element_list|{s0}^{s5}
dlga_ms_extra_officer_element_list:ms_view_officer_elements|{s2}
dlga_ms_extra_officer_element_list:ms_extra_officer_dialog_start|Chcę zabrać rekrutów.
dlga_ms_extra_officer_element_list:close_window|Pora na mnie...
dlga_ms_view_officer_elements:ms_view_officer_elements_list|{s2}
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start|1 ({reg0} talarów i {reg1} dni).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.1|3 ({reg0} talarów i {reg1} dni).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.2|5 ({reg0} talarów i {reg1} dni).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.3|Pora na mnie...
