fac_no_faction|Wolne państwo
fac_commoners|Obywatele
fac_outlaws|Przestępcy
fac_neutral|Neutralni
fac_innocents|Niewinni
fac_merchants|Kupcy
fac_culture_1|kultura 1
fac_culture_2|kultura 2
fac_culture_3|kultura 3
fac_culture_4|kultura 4
fac_culture_5|kultura 5
fac_player_faction|Państwo gracza
fac_player_supporters_faction|Państwo gracza
fac_kingdom_1|Rzeczpospolita
fac_kingdom_2|Księstwo Moskiewskie
fac_kingdom_3|Chanat Krymski
fac_kingdom_4|Królestwo Szwecji
fac_kingdom_5|Wojsko Zaporoskie
fac_oim_rebel_faction|Państwo 1
fac_manhunters|Strzelcy tajnego prikazu
fac_deserters|Swawolnicy
fac_mountain_bandits|Zbójnicy
fac_forest_bandits|Bryganci
fac_oim_outlaws|Przestępcy
