str_no_string|BRAK LINII!
str_empty_string| 
str_yes|Tak
str_no|Nie
str_blank_string| 
str_error_string|BŁĄD!!!BŁĄD!!!BŁĄD!!!BŁĄD!!!BŁĄD!!!BŁĄD!!!BŁĄD!!!BŁĄD!!!BŁĄD!!!BŁĄD!!!BŁĄD!!!BŁĄD!!!BŁĄD!!!BŁĄD!!!BŁĄD!!!
str_noone|nikt
str_s0|{s0}
str_reg1|{reg1}
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} i {s51}
str_s5_s_party|Oddział, którym dowodzi {s5}
str_bandits_eliminated_by_another|Inny oddział zlikwidował niebezpiecznych bandytów.
str_msg_battle_won|Bitwa wygrana! Naciśnij klawisz Tab, żeby wyjść...
str_randomize|Losuj
str_hold_fire|Nie strzelać
str_blunt_hold_fire|Stój! / Nie strzelać
str_finished|[Zakończono]
str_delivered_damage|Zadano {reg60} punktów obrażeń.
str_archery_target_hit|Odległość: {reg61} jardów. Wynik: {reg60}
str_use_baggage_for_inventory|W czasie walki możesz brać przedmioty z kufra (znajduje się na pozycji wyjściowej).
str_cant_use_inventory_now|Przedmioty są obecnie niedostępne.
str_cant_use_inventory_arena|Nie wolno używać przedmiotów na arenie.
str_cant_use_inventory_disguised|Nie możesz używać przedmiotów, gdy jesteś zamaskowany.
str_1_denar|1 talar
str_reg1_denars|{reg1} talarów
str_january_reg1_reg2|{reg1} stycznia {reg2}
str_february_reg1_reg2|{reg1} lutego {reg2}
str_march_reg1_reg2|{reg1} marca {reg2}
str_april_reg1_reg2|{reg1} kwietnia {reg2}
str_may_reg1_reg2|{reg1} maja {reg2}
str_june_reg1_reg2|{reg1} czerwca {reg2}
str_july_reg1_reg2|{reg1} lipca {reg2}
str_august_reg1_reg2|{reg1} sierpnia {reg2}
str_september_reg1_reg2|{reg1} września {reg2}
str_october_reg1_reg2|{reg1} października {reg2}
str_november_reg1_reg2|{reg1} listopada {reg2}
str_december_reg1_reg2|{reg1} grudnia {reg2}
str_town_nighttime| Jest późna noc i nie spotkasz na ulicy uczciwych ludzi.
str_door_locked|Drzwi zamknięte.
str_castle_is_abondened|Wygląda na to, że ten zamek nie jest przez nikogo zajęty.
str_place_is_occupied_by_player|To miejsce jest zajęte przez Twoje wojska.
str_place_is_occupied_by_enemy|To miejsce jest zajęte przez wrogie wojska.
str_do_you_want_to_retreat|Chcesz się wycofać?
str_give_up_fight|Zaniechać pojedynku?
str_do_you_wish_to_leave_tutorial|Przerwać szkolenie?
str_do_you_wish_to_surrender|Poddać się?
str_can_not_retreat|Nie można się wycofać, wokół wrogowie!
str_s1_joined_battle_enemy|{s1} przyłącza się do bitwy po stronie wroga.
str_s1_joined_battle_friend|{s1} przyłącza się do bitwy po Twojej stronie.
str_entrance_to_town_forbidden|Straż miejska od razu zauważy obcego. Nie uda Ci się przemknąć obok nich niepostrzeżenie.
str_sneaking_to_town_impossible|Straże miejskie są uprzedzone. Nie zdołasz przemknąć obok nich, choćbyś nie wiem jak się zamaskował.
str_battle_won|Wygrałeś bitwę!
str_battle_lost|Przegrałeś bitwę!
str_attack_walls_success|Po okrutnej bitwie twoi dzielni żołnierze wyparli wroga z murów.
str_attack_walls_failure|Twoi żołnierze giną jeden za drugim, rzucając się na mury. Nieliczni, którzy przeżyli, wycofują się w popłochu.
str_attack_walls_continue|W tej krwawej bitwie obie strony dysponują porównywalną siłą. Pomimo wysiłków Twoich wojsk, zamek pozostaje w rękach wroga.
str_order_attack_success|Twoi ludzie odważnie walczyli i pokonali wroga.
str_order_attack_failure|Z rozpaczą patrzysz, jak wróg wybija Twoich ludzi i odpiera garstkę tych, którym udało się przeżyć.
str_order_attack_continue|Chociaż bitwa była długa, twoim wojskom nie udało się zwyciężyć.
str_join_order_attack_success|Twoi ludzie walczyli ramię w ramię z sojusznikami i po pokonaniu wroga podzielili się z nimi chwałą.
str_join_order_attack_failure|Z rozpaczą patrzysz, jak wróg wybija Twoich ludzi i odpiera garstkę tych, którym udało się przeżyć.
str_join_order_attack_continue|Chociaż bitwa była długa, ani twoim, ani sojuszniczym wojskom nie udało się zwyciężyć.
str_siege_defender_order_attack_success|Garnizon odważnie i umiejętnie utrzymuje mury, odpiera ataki wroga i zmienia porażkę w wielkie zwycięstwo.
str_siege_defender_order_attack_failure|Atak szybko przechodzi w krwawą rzeź. Rozpaczliwa obrona nie przynosi rezultatów: garnizon jest zbyt mały, żeby utrzymać mury i wkrótce wszyscy obrońcy giną pod mieczami wroga.
str_siege_defender_order_attack_continue|Kolejna próba zdobycia osady nie przynosi skutku, lecz wrogów jest zbyt wielu, żeby obrońcy mogli świętować zwycięstwo. Oblężenie trwa.
str_hero_taken_prisoner|{s1} ({s3}) został pojmany. {s2} trzyma go w niewoli.
str_hero_freed|{s1} ({s3}) został wyzwolony. {s2} nie trzyma go już w niewoli.
str_center_captured|{s2} przejmuje, a {s3} traci miejscowość: {s1}.
str_troop_relation_increased|{s1} - Twoje stosunki poprawiają się z {reg1} na {reg2}.
str_troop_relation_detoriated|{s1} - Twoje stosunki pogarszają się z {reg1} na {reg2}.
str_faction_relation_increased|{s1} - Twoje stosunki poprawiają się z {reg1} na {reg2}.
str_faction_relation_detoriated|{s1} - Twoje stosunki pogarszają się z {reg1} na {reg2}.
str_party_gained_morale|Twój oddział otrzymuje {reg1} pkt. morale.
str_party_lost_morale|Twój oddział traci {reg1} pkt. morale.
str_qst_follow_spy_noticed_you|Zostałeś zauważony przez szpiega! Szpieg ucieka!
str_father|ojciec
str_husband|mąż
str_wife|żona
str_daughter|córka
str_mother|matka
str_son|syn
str_brother|brat
str_sister|siostra
str_he|On
str_she|Ona
str_s3s_s2|{s2} {s3}
str_s5_is_s51|{s5} - {s51}.
str_s5_is_the_ruler_of_s51|{s5} - władca {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} - dworzanin {s6}. 
str_relation_mnus_100|               Wrogość
str_relation_mnus_90|               Wrogość
str_relation_mnus_80|               Wrogość
str_relation_mnus_70|               Nienawiść
str_relation_mnus_60|               Nienawiść
str_relation_mnus_50|               Niechęć
str_relation_mnus_40|               Złość
str_relation_mnus_30|               Oburzenie
str_relation_mnus_20|               Niezadowolenie
str_relation_mnus_10|               Podejrzliwość
str_relation_plus_0|               Obojętność
str_relation_plus_10|               Przychylność
str_relation_plus_20|               Gościnność
str_relation_plus_30|               Łaskawość
str_relation_plus_40|               Wsparcie
str_relation_plus_50|               Życzliwość
str_relation_plus_60|               Uprzejmość
str_relation_plus_70|               Sympatia
str_relation_plus_80|               Wierność
str_relation_plus_90|               Oddanie
str_relation_mnus_100_ns|{s60} chce się na Tobie zemścić.
str_relation_mnus_90_ns|{s60} chce się na Tobie zemścić.
str_relation_mnus_80_ns|{s60} chce się na Tobie zemścić.
str_relation_mnus_70_ns|{s60} nienawidzi Cię.
str_relation_mnus_60_ns|{s60} nienawidzi Cię.
str_relation_mnus_50_ns|{s60} nienawidzi Cię.
str_relation_mnus_40_ns|{s60} złości się na Ciebie.
str_relation_mnus_30_ns|{s60} bardzo nie pochwala Twojego zachowania.
str_relation_mnus_20_ns|{s60} nie żywi do Ciebie przyjacielskich uczuć.
str_relation_mnus_10_ns|{s60} ma do Ciebie dystans.
str_relation_plus_0_ns|{s60} nie ma na Twój temat zdania.
str_relation_plus_10_ns|{s60} jest wobec Ciebie przychylny.
str_relation_plus_20_ns|{s60} odnosi się do Ciebie z gościnnością.
str_relation_plus_30_ns|{s60} odnosi się do Ciebie łaskawie.
str_relation_plus_40_ns|{s60} wspiera Cię.
str_relation_plus_50_ns|{s60} odnosi się do Ciebie przyjaźnie.
str_relation_plus_60_ns|{s60} odnosi się do Ciebie życzliwie.
str_relation_plus_70_ns|{s60} odnosi się do Ciebie ciepło.
str_relation_plus_80_ns|{s60} jest Twoim wiernym sojusznikiem.
str_relation_plus_90_ns|{s60} jest Twoim oddanym przyjacielem.
str_relation_reg1| Stosunek: {reg1}
str_center_relation_mnus_100|Mieszkańcy potwornie Cię nienawidzą
str_center_relation_mnus_90|Mieszkańcy ogromnie Cię nienawidzą
str_center_relation_mnus_80|Mieszkańcy bardzo Cię nienawidzą
str_center_relation_mnus_70|Mieszkańcy Cię nienawidzą
str_center_relation_mnus_60|Mieszkańcy czują do Ciebie nienawiść
str_center_relation_mnus_50|Mieszkańcy nastawieni są do Ciebie niesłychanie wrogo
str_center_relation_mnus_40|Mieszkańcy nastawieni są do Ciebie bardzo wrogo
str_center_relation_mnus_30|Mieszkańcy nastawieni są do Ciebie wrogo
str_center_relation_mnus_20|Mieszkańcy są przeciwko Tobie
str_center_relation_mnus_10|Mieszkańcy Ci się sprzeciwiają
str_center_relation_plus_0|Mieszkańcy są wobec Ciebie obojętni
str_center_relation_plus_10|Mieszkańcy Cię uznają
str_center_relation_plus_20|Mieszkańcy są Ci przychylni
str_center_relation_plus_30|Mieszkańcy popierają Cię w pewnych sprawach
str_center_relation_plus_40|Mieszkańcy Cię popierają
str_center_relation_plus_50|Mieszkańcy w pełni Cię popierają
str_center_relation_plus_60|Mieszkańcy są Ci wierni
str_center_relation_plus_70|Mieszkańcy są Ci wierni pod każdym względem
str_center_relation_plus_80|Mieszkańcy są Ci oddani
str_center_relation_plus_90|Mieszkańcy są Ci niezwykle oddani
str_town_prosperity_0|Miasto {s60} jest niezwykle biedne.
str_town_prosperity_10|Miasto {s60} jest praktycznie wyludnione.
str_town_prosperity_20|Miasto {s60} wygląda na puste i biedne.
str_town_prosperity_30|Miasto {s60} wygląda na biedne i opuszczone.
str_town_prosperity_40|Miasto {s60} z trudem walczy o przetrwanie.
str_town_prosperity_50|Miasto {s60} nie wyróżnia się niczym szczególnym.
str_town_prosperity_60|Miasto {s60} rozkwita.
str_town_prosperity_70|Miasto {s60} - pomyślne i aktywne.
str_town_prosperity_80|Miasto {s60} wygląda na zamożne i wygodne.
str_town_prosperity_90|Miasto {s60} jest bogate i pełne zadowolonych z życia mieszkańców.
str_town_prosperity_100|Bogate i szczęśliwe miasto {s60} tętni życiem.
str_village_prosperity_0|Wieś {s60} jest niezwykle biedna.
str_village_prosperity_10|Wieś {s60} jest praktycznie wyludniona.
str_village_prosperity_20|Wieś {s60} wygląda na pustą i biedną.
str_village_prosperity_30|Wieś {s60} wygląda na biedną i opuszczoną.
str_village_prosperity_40|Wieś {s60} z trudem walczy o przetrwanie.
str_village_prosperity_50|Wieś {s60} nie wyróżnia się niczym szczególnym.
str_village_prosperity_60|Wieś {s60} rozkwita.
str_village_prosperity_70|Wieś {s60} wygląda na zadbaną i ożywioną.
str_village_prosperity_80|Wieś {s60} wygląda na dostatnią i wygodną.
str_village_prosperity_90|Wieś {s60} wygląda na bogatą i kwitnącą.
str_village_prosperity_100|Wieś {s60}, okolona rozległymi polami uprawnymi, wygląda na niezwykle bogatą.
str_war_report_minus_4|prawie przegraliśmy wojnę
str_war_report_minus_3|ich pozycja lepsza się wydaje
str_war_report_minus_2|nasze sprawy nie mają się zbyt dobrze
str_war_report_minus_1|jeśli się zbierzemy, możemy zwyciężyć
str_war_report_0|siły nasze i wroga są równe
str_war_report_plus_1|mamy wielką szansę na wygranie wojny
str_war_report_plus_2|nasze sprawy mają się dobrze
str_war_report_plus_3|łatwo ich pokonamy
str_war_report_plus_4|prawie wygraliśmy wojnę
str_persuasion_summary_very_bad|Robisz wszystko, co w Twojej mocy, lecz {s50} nie chce Cię słuchać. Niektóre argumenty wydają się rozsądne dla rozmówcy, inne jednak kompletnie go nie przekonują i rozmowę trzeba zaczynać od nowa. Po zakończeniu pogawędki pojmujesz, że absolutnie nic nie zyskałeś, a tylko ośmieszyłeś się przed rozmówcą. Nie dziwi więc, że {s50} nie ma o Tobie najlepszego zdania.
str_persuasion_summary_bad|Dokonujesz cudów retoryki, lecz {s50} jest o wiele lepszym mówcą. W sumie Twoje najważniejsze argumenty nie przekonują już nawet Ciebie. {s50}, co było do przewidzenia, obstaje przy swoim zdaniu.
str_persuasion_summary_average|{s50} jest zdolnym interlokutorem i na każdy Twój argument znajduje ciętą odpowiedź. W sumie ta rozmowa do niczego nie prowadzi.
