p_zendar|Zendar
p_town_1|Królewiec
p_town_2|Rewel
p_town_3|Kijów
p_town_4|Wilno
p_town_5|Sicz
p_town_6|Warszawa
p_town_7|Lwów
p_town_8|Moskwa
p_town_9|Psków
p_town_10|Azak-kale
p_town_11|Czerkask
p_town_12|Ryga
p_town_13|Smoleńsk
p_town_14|Bakczysaraj
p_town_15|Czernihów
p_town_16|Kraków
p_town_17|Akkerman
p_town_18|Kyzykermen
p_castle_1|Twierdza Zbaraż
p_castle_2|Twierdza Kezlew
p_castle_3|Połock
p_castle_4|Wyborg
p_castle_5|Zamek Dzwińsk
p_castle_6|Nowogród
p_castle_7|Twierdza Kilia
p_castle_8|Twer
p_castle_9|Połtawa
p_castle_10|Twierdza Kowno
p_castle_11|Zamek w Miadziole
p_castle_12|Narwa
p_castle_13|Słuck
p_castle_14|Bracław
p_castle_15|Czerkasy
p_castle_16|Korsuń
p_castle_17|Perekop
p_castle_18|Twierdza Rżewska
p_castle_19|Kursk
p_castle_20|Zamek w Łucku
p_castle_21|Perejesław
p_castle_22|Kaffa
p_castle_23|Zamek Dubieński
p_castle_24|Kamieniec
p_castle_25|Lublin
p_castle_26|Mińsk
p_castle_27|Twierdza Brześć
p_castle_28|Twierdza Bar
p_castle_29|Twierdza Briańsk
p_castle_30|Twierdza Izmaił
p_castle_31|Riazań
p_castle_32|Zamek w Olsztynie
p_castle_33|Twierdza Ładyżyn
p_castle_34|Twierdza Dorpat
p_castle_35|Zamek w Lidzie
p_castle_36|Twierdza Dyneburg
p_castle_37|Tuła
p_castle_38|Twierdza Kałanczak
p_castle_39|Twierdza Izjumsk
p_castle_40|Twierdza Kizył-jar
p_village_1|Płock
p_village_2|Wadowice
p_village_3|Owrucz
p_village_4|Dunajowce
p_village_5|Elbląg
p_village_6|Widawa
p_village_7|Marksburg
p_village_8|Meklenburg
p_village_9|Pohrebyszcze
p_village_10|Redkino
p_village_11|Ordasz
p_village_12|Bogusław
p_village_13|Stryj
p_village_14|Słancy
p_village_15|Baranowicze
p_village_16|Tarusa
p_village_17|Kriwicze
p_village_18|Ponyri
p_village_19|Pokrowskie
p_village_20|Jefremowo
p_village_21|Obojań
p_village_22|Lgow
p_village_23|Magdalinowka
p_village_24|Sinielnikowo
p_village_25|Dżankoj
p_village_26|Snowsk
p_village_27|Sławuta
p_village_28|Siwasz
p_village_29|Zygwóld
p_village_30|Salis
p_village_31|Pilwe
p_village_32|Staranowice
p_village_33|Radziłów
p_village_34|Mołodeczno
p_village_35|Snieczko
p_village_36|Nidrica
p_village_37|Budziak
p_village_38|Sołeczniki
p_village_39|Ostrowiec
p_village_40|Kryłów
p_village_41|Tumniek
p_village_42|Połogi
p_village_43|Ak-meczet
p_village_44|Jesak
p_village_45|Inkerman
p_village_46|Ilińce
p_village_47|Zołotonosza
p_village_48|Potoki
p_village_49|Nugaj
p_village_50|Sofonowo
p_village_51|Biały Kamień
p_village_52|Horol
p_village_53|Nieśwież
p_village_54|Częstochowa
p_village_55|Ługa
p_village_56|Torma
p_village_57|Babice
p_village_58|Jarce
p_village_59|Łojów
p_village_60|Dobrusz
p_village_61|Leal
p_village_62|Starica
p_village_63|Ostrołęka
p_village_64|Kobeliaki
p_village_65|Dubecznia
p_village_66|Zamosze
p_village_67|Rudnia
p_village_68|Łubieniec
p_village_69|Tapiawa
p_village_70|Lubotyń
p_village_71|Sambór
p_village_72|Widze
p_village_73|Kozielec
p_village_74|Klin
p_village_75|Ludinowo
p_village_76|Czaple
p_village_77|Poniewież
p_village_78|Pawołocz
p_village_79|Boryspol
p_village_80|Windawa
p_village_81|Szawle
p_village_82|Troki
p_village_83|Lisianka
p_village_84|Masłowy Bród
p_village_85|Łoknia
p_village_86|Wałujki
p_village_87|Plunge
p_village_88|Kilia
p_village_89|Leszczynówka
p_village_90|Kołomak
p_salt_mine|Kopalnia Soli
p_four_ways_inn|Karczma "Pod Siedmioma Wiatrami"
p_test_scene|Scena Testowa
p_battlefields|Pola Walki
p_dhorak_keep|Twierdza Kalkari
p_training_ground|Obóz najemników
p_training_ground_1|Obóz najemników
p_training_ground_2|Obóz najemników
p_training_ground_3|Obóz najemników
p_training_ground_4|Obóz najemników
p_training_ground_5|Obóz najemników
p_temp_party_3|temp party 3
p_bridge_1|1
p_bridge_2|2
p_bridge_3|3
p_bridge_4|4
p_bridge_5|5
p_bridge_6|6
p_bridge_7|7
p_bridge_8|8
p_bridge_9|9
p_bridge_10|10
p_bridge_11|11
p_bridge_12|12
p_bridge_13|13
p_bridge_14|14
p_bridge_15|15
p_looter_spawn_point|punkt pojawienia się złodzieja
p_steppe_bandit_spawn_point|Stepy
p_forest_bandit_spawn_point|Lasy
p_mountain_bandit_spawn_point|Wzgórza
p_sea_raider_spawn_point_1|Wybrzeże
p_sea_raider_spawn_point_2|Wybrzeże
