pt_none|brak
pt_rescued_prisoners|Grupa uratowanych jeńców
pt_enemy|Wróg
pt_hero_party|Bohaterski oddział
pt_village_defenders|Grupa obrońców wsi
pt_cattle_herd|Stado bydła
pt_looters|Banda łupieżców
pt_manhunters|Oddział strzelców tajnego prikazu
pt_steppe_bandits|Banda tatarskich bandytów
pt_forest_bandits|Grupa buntowników
pt_mountain_bandits|Banda rozbójników
pt_sea_raiders|Szajka bandytów
pt_deserters|Grupa dezerterów
pt_merchant_caravan|Tabor handlowy
pt_troublesome_bandits|Szajka niebezpiecznych bandytów
pt_bandits_awaiting_ransom|Grupa bandytów czekających na okup
pt_kidnapped_girl|Porwana dziewka
pt_village_farmers|Grupa chłopów
pt_spy_partners|Grupa niegodnych uwagi podróżników
pt_runaway_serfs|Grupa zbiegłych chłopów
pt_spy|Zwykły mieszczanin
pt_sacrificed_messenger|Poświęcony poseł
pt_forager_party|Oddział furażerów
pt_scout_party|Oddział zwiadowców
pt_patrol_party|Patrol
pt_messenger_party|Poseł
pt_raider_party|Banda brygantów
pt_raider_captives|Grupa wziętych do niewoli brygantów
pt_kingdom_caravan_party|Tabor kupiecki
pt_prisoner_train_party|Tabor z więźniami
pt_default_prisoners|Grupa zwyklych więźniów
pt_routed_warriors|Grupa uciekinierów
pt_center_reinforcements|Wsparcie
pt_kingdom_hero_party|Oddział wojskowy
pt_kingdom_1_reinforcements_a|mocarstwo 1 wsparcia a
pt_kingdom_1_reinforcements_b|mocarstwo 1 wsparcia b
pt_kingdom_1_reinforcements_c|mocarstwo 1 wsparcia c
pt_kingdom_2_reinforcements_a|mocarstwo 2 wsparcia a
pt_kingdom_2_reinforcements_b|mocarstwo 2 wsparcia b
pt_kingdom_2_reinforcements_c|mocarstwo 2 wsparcia c
pt_kingdom_3_reinforcements_a|mocarstwo 3 wsparcia a
pt_kingdom_3_reinforcements_b|mocarstwo 3 wsparcia b
pt_kingdom_3_reinforcements_c|mocarstwo 3 wsparcia c
pt_kingdom_4_reinforcements_a|mocarstwo 4 wsparcia a
pt_kingdom_4_reinforcements_b|mocarstwo 4 wsparcia b
pt_kingdom_4_reinforcements_c|mocarstwo 4 wsparcia c
pt_kingdom_5_reinforcements_a|mocarstwo 5 wsparcia a
pt_kingdom_5_reinforcements_b|mocarstwo 5 wsparcia b
pt_kingdom_5_reinforcements_c|mocarstwo 5 wsparcia c
pt_steppe_bandit_lair|Koczowisko bandytów ze stepów
pt_forest_bandit_lair|Obóz bandytów z lasu
pt_mountain_bandit_lair|Kryjówka bandytów z gór
pt_sea_raider_lair|Okręt korsarzy
pt_looter_lair|Kryjówka porywaczy
pt_leaded_looters|Banda złodziei
pt_zamoshie_bandits|Banda rozbójników z Zamosza
pt_oim_monfor_party|Oddział Jacque'a de Clermont
pt_oim_swedish_army|Armia szwedzka
pt_oim_kozak_army|Oddział Kozaków
pt_oim_zagloba_party|Oddział Zagłoby
pt_oim_potop_mercs_army|Oddział niemieckich najemników
pt_oim_potop_mercs_army2|Oddział niemieckich najemników
pt_getman_deserters|Oddział dezerterów
pt_oim_merchant_caravan|Tabor handlowy
pt_oim_merchant_caravan2|Tabor handlowy
pt_oim_static_object|Nie przetłumaczono
pt_village_defenders_fac1|Grupa obrońców wsi
pt_village_defenders_fac2|Grupa obrońców wsi
pt_village_defenders_fac3|Grupa obrońców wsi
pt_village_defenders_fac4|Grupa obrońców wsi
pt_village_defenders_fac5|Grupa obrońców wsi
