qst_deliver_message|Pocztylion
qst_deliver_message_text|{s9} poprosił Cię o dostarczenie wiadomości, której adresatem jest {s13}. {s4} jest miejscem, w którym go ostatnio widziano.
qst_deliver_message_to_enemy_lord|Pocztylion
qst_deliver_message_to_enemy_lord_text|{s9} poprosił Cię o dostarczenie wiadomości, której adresatem jest {s13} ({s15}). {s4} jest miejscem, w którym go ostatnio widziano.
qst_raise_troops|{s14} - werbunek
qst_raise_troops_text|{s9} poprosił Cię, żebyś zebrał oddział i przyprowadził do niego. {s14} w liczbie {reg1} ludzi.
qst_escort_lady|{s13} - eskorta
qst_escort_lady_text|Nie
qst_deal_with_bandits_at_lords_village|{s15} - ochrona przed rozbójnikami
qst_deal_with_bandits_at_lords_village_text|{s13} poprosił Cię o rozprawienie się z rozbójnikami, którzy ukryli się we wsi {s15}, a następnie złożenie mu meldunku.
qst_collect_taxes|Pobór podatków
qst_collect_taxes_text|{s9} poprosił Cię o zebranie podatków w miejscowości {s3}. Piąta część zebranej kwoty trafi do Ciebie.
qst_hunt_down_fugitive|Po śladach zbiega
qst_hunt_down_fugitive_text|{s9} poprosił Cię o wyśledzenie uciekiniera o imieniu {s4}. {s3} jest ostatnim znanym miejscem jego pobytu.
qst_kill_local_merchant|Zabicie kupca
qst_kill_local_merchant_text|{s9} poprosił Cię o zabicie kupca w {s3}.
qst_bring_back_runaway_serfs|Zbiegli chłopi pańszczyźniani
qst_bring_back_runaway_serfs_text|{s9} poprosił Cię o znalezienie trzech grup zbiegłych chłopów pańszczyźnianych i przyprowadzenie ich do miejscowości {s2}. Powiedział, że {s3} jest miejscem, w którym ich ostatnio widziano.
qst_follow_spy|Szpiegowskie gierki
qst_follow_spy_text|{s11} poprosił Cię o sprawdzenie szpiega. {s12} jest miejscem skąd wyruszył. Szpieg nie może Cię zauważyć, inaczej może nabrać podejrzeń i zawrócić. Gdy tylko szpieg spotka się ze wspólnikiem, musisz ich zaatakować i schwytać. {s11} musi mieć ich żywych.
qst_capture_enemy_hero|Porwanie
qst_capture_enemy_hero_text|{s11} poprosił Cię o złapanie panującego, który nazywa się {s13}.
qst_lend_companion|Towarzysz na wynajem
qst_lend_companion_text|{s9} poprosił, żebyś zostawił u niego na tydzień swojego towarzysza o imieniu {s3}.
qst_collect_debt|Zwrot długów
qst_collect_debt_text|{s9} prosi Cię o odebranie długu w wysokości {reg4} talarów. Jego dłużnikiem jest {s3}.
qst_incriminate_loyal_commander|Oszczerstwo
qst_incriminate_loyal_commander_text|Nie
qst_raid_caravan_to_start_war|Prowokacja
qst_raid_caravan_to_start_war_text|Nie
qst_meet_spy_in_enemy_town|Spotkanie ze szpiegiem
qst_meet_spy_in_enemy_town_text|Nie
qst_capture_prisoners|Złapanie jeńców
qst_capture_prisoners_text|{s9} poprosił Cię o złapanie {reg1} jeńców-{s3}.
qst_lend_surgeon|Chirurg na wynajem
qst_lend_surgeon_text|Twój doświadczony chirurg, {s3}, musi wyruszyć do miejscowości {s1}.
qst_follow_army|{s9} - podążaj za armią
qst_follow_army_text|Nie
qst_report_to_army|Meldunek dla hetmana
qst_report_to_army_text|Nie
qst_deliver_cattle_to_army|{s13} - dostarczyć bydło
qst_deliver_cattle_to_army_text|Nie
qst_join_siege_with_army|{s14} - oblężenie
qst_join_siege_with_army_text|Nie
qst_scout_waypoints|Rozpoznanie okolicy
qst_scout_waypoints_text|Nie
qst_rescue_lord_by_replace|{s13} - na ratunek
qst_rescue_lord_by_replace_text|Nie
