trp_multiplayer_profile_troop_male|profil gry wieloosobowej żołnierz mężczyzna
trp_multiplayer_profile_troop_male_pl|profil gry wieloosobowej żołnierz mężczyzna
trp_multiplayer_profile_troop_female|profil gry wieloosobowej żołnierz kobieta
trp_multiplayer_profile_troop_female_pl|profil gry wieloosobowej żołnierz kobieta
trp_temp_troop|Oddział pomocniczy
trp_temp_troop_pl|Oddział pomocniczy
trp_find_item_cheat|oszustwo odnajdywanie przedmiotów
trp_find_item_cheat_pl|oszustwo odnajdywanie przedmiotów
trp_random_town_sequence|Losowa sekwencja miejska
trp_random_town_sequence_pl|Losowa sekwencja miejska
trp_tournament_participants|Uczestnik turnieju
trp_tournament_participants_pl|Uczestnik turnieju
trp_tutorial_maceman|Bojownik
trp_tutorial_maceman_pl|Bojownicy
trp_tutorial_archer|Łucznik
trp_tutorial_archer_pl|Łucznicy
trp_tutorial_swordsman|Fechmistrz
trp_tutorial_swordsman_pl|Fechmistrze
trp_novice_fighter|Wojownik-nowicjusz
trp_novice_fighter_pl|Wojownicy-nowicjusze
trp_regular_fighter|Przeszkolony wojownik
trp_regular_fighter_pl|Przeszkoleni wojownicy
trp_veteran_fighter|Wojownik-weteran
trp_veteran_fighter_pl|Wojownicy-weterani
trp_champion_fighter|Wojownik-mistrz
trp_champion_fighter_pl|Wojownicy-mistrzowie
trp_arena_training_fighter_1|Wojownik-nowicjusz
trp_arena_training_fighter_1_pl|Wojownicy-nowicjusze
trp_arena_training_fighter_2|Wojownik-nowicjusz
trp_arena_training_fighter_2_pl|Wojownicy-nowicjusze
trp_arena_training_fighter_3|Przeszkolony wojownik
trp_arena_training_fighter_3_pl|Przeszkoleni wojownicy
trp_arena_training_fighter_4|Przeszkolony wojownik
trp_arena_training_fighter_4_pl|Przeszkoleni wojownicy
trp_arena_training_fighter_5|Przeszkolony wojownik
trp_arena_training_fighter_5_pl|Przeszkoleni wojownicy
trp_arena_training_fighter_6|Wojownik-weteran
trp_arena_training_fighter_6_pl|Wojownicy-weterani
trp_arena_training_fighter_7|Wojownik-weteran
trp_arena_training_fighter_7_pl|Wojownicy-weterani
trp_arena_training_fighter_8|Wojownik-weteran
