dlga_start:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_member_chat:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_event_triggered:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_oim_tutorial_mission_dlg_x:oim_tutorial_mission_dlg_1_1|Yardımların için teşekkürler yabancı! Böyle durumlarda dost bir kılıca her zaman ihtiyaç vardır.
dlga_oim_tutorial_mission_dlg_1_1:oim_tutorial_mission_dlg_1_2|Benim için onurdu.
dlga_oim_tutorial_mission_dlg_1_2:close_window|Haydi bu serserilerden daha fazla gelmeden kendimize at bulup uzaklaşalım.
dlga_oim_tutorial_mission_dlg:close_window|Tamam o zaman, ama şu kilit ile ilgili bir şeyler yapmamız lazım. Al bu eski tabancayı ve lanet kilidi patlat!
dlga_oim_tutorial_mission_dlg_5:oim_tutorial_mission_dlg_5_1|Çok teşekkürler yabancı. İkimizin de bildiği gibi bunlar garip zamanlar... Ne düşündüğümü bilmek ister misin? 
dlga_oim_tutorial_mission_dlg_5_1:close_window|Tabii ki! Seni dinliyorum.
dlga_ms_extra_officer_dialog_start:ms_extra_officer_element_list|{s0}^{s5}
dlga_ms_extra_officer_element_list:ms_view_officer_elements|{s2}
dlga_ms_extra_officer_element_list:ms_extra_officer_dialog_start|Eğitilmiş askerleri yanıma almak istiyorum.
dlga_ms_extra_officer_element_list:close_window|Gitmeliyim...
dlga_ms_view_officer_elements:ms_view_officer_elements_list|{s2}
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start|1 ({reg0} taler ve {reg1} bakır).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.1|3 ({reg0} taler ve {reg1} bakır).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.2|5 ({reg0} taler ve {reg1} bakır).
dlga_ms_view_officer_elements_list:ms_extra_officer_dialog_start.3|Gitmeliyim...
dlga_ms_extra_goods_dialog_start:ms_extra_goods_category_list|Ne istersin?
dlga_ms_extra_goods_category_list:ms_view_categoty_elements|{s2}
dlga_ms_extra_goods_category_list:close_window|Satın al
dlga_ms_extra_goods_category_list:close_window.1|Gitmeliyim...
dlga_ms_view_categoty_elements:ms_view_categoty_elements_list|{s0}
dlga_ms_view_categoty_elements_list:ms_extra_element_buy_descr|{s2} ({reg2} taler).
dlga_ms_view_categoty_elements_list:ms_extra_goods_dialog_start|Gitmeliyim...
dlga_ms_extra_element_buy_descr:ms_extra_element_buy_descr_list|Siparişin alındı. İki haftaya kadar gel, her şey hazır olmuş olur.
dlga_ms_extra_element_buy_descr:ms_extra_element_buy_descr_list.1|Yeterli paran yok!
dlga_ms_extra_element_buy_descr_list:close_window|Pekala.
dlga_ms_elder_dialog_start:ms_elder_list|Nasıl yardımcı olabilirim?
dlga_ms_elder_list:ms_view_elements|Bir bina inşaa etmek istiyorum.
dlga_ms_elder_list:ms_view_elements.1|Birini atamak istiyorum...
