menu_start_game_0|Mount&Blade: Ateş ve Kılıç'a Hoş geldin yabancı. Yolculuğuna başlamadan önce karakterini oluşturmalı ve oyunun zorluk derecesini ayarlamalısın.  
mno_start_easy|Kolay
mno_start_normal|Normal
mno_start_hard|Zor
mno_go_back_dot|Geri dön.
menu_start_phase_2|{s10}
mno_get_deal_with|Yaklaşıp ne olduğuna bak. 
mno_talk_to_monfore|Devam et...
mno_camp_train_archery|Talime başla.
mno_continue|Devam et...
menu_reports|Karakterin namı: {reg5}^Onur Puanı: {reg6}^Parti Morali: {reg8}^Parti Limiti: {reg7}^
mno_view_character_report|Karakter raporuna bak.
mno_view_party_size_report|Grup büyüklüğü raporuna bak.
mno_view_morale_report|Grup morali raporuna bak.
mno_view_faction_relations_report|Ulus ilişkileri raporuna bak.
mno_view_banking_reports|Ekonomik raporlara bak.
mno_resume_travelling|Seyahate devam et...
menu_custom_battle_end|Savaş sona erdi. {s1} Birliklerin {reg5} düşman öldürdü ve {reg6} asker kaybetti. Sen bizzat {reg7} düşmanı öldürdün.
menu_start_game_1|Karakterinin cinsiyetini belirle.
mno_start_male_2|Erkek
mno_start_female|Kadın
mno_go_back|Geri dön
menu_start_character_1|Hangi ulustansın ve hangi aileye mensupsun? 
mno_start_noble|Babam ve annem soylu kanı taşıyorlardı.
mno_start_merchant|Gezgin bir tüccardı.
mno_start_guard|Tecrübeli bir savaşçıydı.
mno_start_forester|Bir avcıydı.
mno_start_nomad|Bir bozkır göçebesiydi.
mno_start_thief|Bir hırsızdı. 
menu_start_character_2|{s10}^^ Neredeyse konuşmayı ve yürümeyi öğrenir öğrenmez dünyayı tanımaya başladın. Hayatının ilk yıllarında...
mno_page|bir asilin sarayında hizmetkârdın.
mno_apprentice|bir zanaatkar çırağıydın.
mno_stockboy|bir dükkan kalfasıydın.
mno_urchin|bir sokak çocuğuydun.
mno_nomad|bir bozkır çocuğuydun.
menu_start_character_3|{s11}^^ Daha sonra, gençlik döneminde, her zaman olduğu gibi hayat değişti. O dönem sen...
mno_squire|bir arazi sahibiydin.
mno_lady|bir nedimeydin.
mno_troubadour|bir halk ozanıydın.
mno_student|bir öğrenciydin.
mno_peddler|bir seyyar satıcıydın.
mno_craftsman|bir demirciydin.
mno_poacher|kaçak bir avcıydın.
menu_start_character_4|{s12}^^Ama sonra her şey değişti ve kendi başına maceracılık yapmaya karar verdin. Seni bu karara iten...
mno_revenge|kişisel intikamdı.
mno_death|sevdiğin birinin kaybıydı.
mno_wanderlust|yolculuk tutkusuydu.
mno_disown|evinden atılmaktı.
mno_greed|para ve güç hırsıydı.
menu_choose_skill|Uzakta bir grup savaşa hazır adam gördün. 
mno_begin_adventuring|İleride nasıl bir sorun olduğuna bak. 
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_auto_return|Bu menü otomatik olarak şuraya döner...
menu_morale_report|{s1}
menu_faction_orders|{s9}
mno_faction_orders_next_faction|Sonraki ulusu seç.
mno_faction_orders_defend|Zorlu savun.
mno_faction_orders_gather|Orduyu zorlu topla.
mno_faction_orders_increase_time|Son saldırı zamanını 24 saat uzat.
mno_faction_orders_rethink|Zorlu yeniden düşün.
mno_faction_orders_rethink_all|Tüm uluslar için zorlu yeniden düşün.
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|Kamp kurdun. Ne yapmak istersin?
mno_camp_action|Bir işe koyul.
mno_oim_diplomacy_menu|Diplomasi
mno_wagenburg_action_on|Bir yük arabası istihkamı oluştur.
