str_no_string|NO STRING!
str_empty_string| 
str_yes|Evet.
str_no|Hayır
str_blank_string| 
str_error_string|ERROR!!!ERROR!!!!ERROR!!!ERROR!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!!
str_noone|hiç kimse
str_s0|{s0}
str_reg1|{reg1}
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} ve {s51}
str_s5_s_party|{s5}'{.nin} birliği
str_bandits_eliminated_by_another|Bela olan eşkıyalar başka bir grup tarafından imha edildi.
str_msg_battle_won|Savaş kazanıldı! Çıkmak için TAB tuşuna basın...
str_randomize|Rastgele Dağıt
str_hold_fire|Ateşi Kes
str_blunt_hold_fire|Dur! / Ateşi Kes!
str_finished|(Son)
str_delivered_damage|{reg60} hasar verdin.
str_archery_target_hit|Uzaklık: {reg61} yarda. Skor: {reg60}
str_use_baggage_for_inventory|Savaş sırasında envanterine ulaşmak için sandığını kullan. (Savaşa başladığın noktada.)
str_cant_use_inventory_now|Envantere şimdi erişilemiyor.
str_cant_use_inventory_arena|Arenada envantere erişilemez.
str_cant_use_inventory_disguised|Kılık değiştirdiğin vaziyette envantere erişemezsin.
str_1_denar|1 taler
str_reg1_denars|{reg1} taler
str_january_reg1_reg2|{reg1} Ocak {reg2}
str_february_reg1_reg2|{reg1} Şubat {reg2}
str_march_reg1_reg2|{reg1} Mart {reg2}
str_april_reg1_reg2|{reg1} Nisan {reg2}
str_may_reg1_reg2|{reg1} Mayıs {reg2}
str_june_reg1_reg2|{reg1} Haziran {reg2}
str_july_reg1_reg2|{reg1} Temmuz {reg2}
str_august_reg1_reg2|{reg1} Ağustos {reg2}
str_september_reg1_reg2|{reg1} Eylül {reg2}
str_october_reg1_reg2|{reg1} Ekim {reg2}
str_november_reg1_reg2|{reg1} Kasım {reg2}
str_december_reg1_reg2|{reg1} Aralık {reg2}
str_town_nighttime| Şu anda vakit gece yarısı ve ahali sokakları boşaltmış.
str_door_locked|Kapı kilitli.
str_castle_is_abondened|Kale boş görünüyor.
str_place_is_occupied_by_player|Bizim birliklerimiz tarafından tutuluyor.
str_place_is_occupied_by_enemy|Düşman birlikleri tarafından tutuluyor.
str_do_you_want_to_retreat|Geri çekilmek istediğinden emin misin?
str_give_up_fight|Savaştan vaz mı geçiyorsun?
str_do_you_wish_to_leave_tutorial|Rehber görevinden çıkmak mı istiyorsun?
str_do_you_wish_to_surrender|Teslim olmak mı istiyorsun?
str_can_not_retreat|Geri çekilemezsin! Yakınında düşmanlar var!
str_s1_joined_battle_enemy|{s1}düşmanların tarafında savaşa katıldı.
str_s1_joined_battle_friend|{s1} senin tarafında savaşa katıldı.
str_entrance_to_town_forbidden|Kapıdaki nöbetçiler sürekli davetsiz misafirleri kolluyorlar, sorun çıkmadan içeri girmen mümkün görünmüyor.
str_sneaking_to_town_impossible|Kapıdaki nöbetçiler dikkat kesildi. Kendini ne kadar saklarsan sakla fark edilmeden kapıdan geçemeyeceksin.
str_battle_won|Savaşı kazandın!
str_battle_lost|Savaşı kaybettin!
str_attack_walls_success|Çetin bir muharebenin ardından birliklerin surları ele geçirmeyi başardılar.
str_attack_walls_failure|Duvarlara dalga dalga saldıran askerlerin katledildi, sağ kalanlar da bir daha dönmemek üzere kaçtılar.
str_attack_walls_continue|Savaş çok kanlı geçti. Her iki taraf da cesurca savaştı. Savaşçılarının tüm çabalarına rağmen kale hala düşmanın elinde.
str_order_attack_success|Adamların cesurca savaşarak düşmanı yendiler.
str_order_attack_failure|Düşman askerlerini biçip kaçmaya çalışanları kılıçtan geçirirken sen de bunları dehşet içinde izledin. 
str_order_attack_continue|Uzun ve yorucu çarpışmaya rağmen birliklerin mutlak bir zafer kazanamadılar.
str_join_order_attack_success|Adamların müttefiklerinin yanında hakkıyla çarpışıp zaferin şerefinden hak ettikleri payı aldılar.
str_join_order_attack_failure|Düşman askerlerini biçip kaçmaya çalışanları kılıçtan geçirirken sen de bunları dehşet içinde izledin. 
str_join_order_attack_continue|Uzun ve yorucu çarpışmaya rağmen ne birliklerin ne de müttefiklerin mutlak bir zafer kazanamadılar.
str_siege_defender_order_attack_success|Adamların surları beceri ve cesaretle savunup saldıran düşmanları bozguna uğratıyor.
str_siege_defender_order_attack_failure|Saldırı seri bir şekilde can pazarına dönüştü. Cesur savunma çabaları nafile; cılız garnizon surları koruyamıyor ve düşman da son askere kadar herkesi kılıçtan geçiriyor.
str_siege_defender_order_attack_continue|Surlara sürekli kanlı hücumları birliklerine orada tutunma şansı sağlayamadı, düşmanın ise hala mutlak bir zafer kazanmasına yetecek kadar askerleri var. Kuşatma devam ediyor...
str_hero_taken_prisoner|{s3} menşeli {s1} {s2} tarafından esir alındı.
str_hero_freed|{s3} menşeli {s1} {s2} tarafından esaretten kurtarıldı.
str_center_captured|{s1} {s2} tarafından {s3} üzerinden ele geçirildi.
str_troop_relation_increased|{s1} ile ilişkin {reg1} iken {reg2} seviyesine ilerledi.
str_troop_relation_detoriated|{s1} ile ilişkin {reg1} iken {reg2} seviyesine geriledi.
str_faction_relation_increased|{s1} ile ilişkin {reg1} iken {reg2} seviyesine ilerledi.
str_faction_relation_detoriated|{s1} ile ilişkin {reg1} iken {reg2} seviyesine geriledi.
str_party_gained_morale|Birliğin {reg1} moral kazandı.
str_party_lost_morale|Birliğin {reg1} moral kaybetti.
str_qst_follow_spy_noticed_you|Casus seni fark etti ve kaçmaya çalışıyor!
str_father|baba
str_husband|koca
str_wife|karı
str_daughter|kız
str_mother|anne
str_son|oğul
str_brother|kardeş
str_sister|kardeş
str_he|O
str_she|O
str_s3s_s2|{s3}'{.nin) {s2}{.i}
str_s5_is_s51|{s51} {s5}'{.nin}.
str_s5_is_the_ruler_of_s51|{s51} {s5} tarafından yönetiliyor. 
str_s5_is_a_nobleman_of_s6|{s5}, {s6}'{.nin} bir soylusu. 
str_relation_mnus_100|               Saldırgan
str_relation_mnus_90|               Saldırgan
str_relation_mnus_80|               Saldırgan
str_relation_mnus_70|               Nefret dolu
str_relation_mnus_60|               Nefret dolu
str_relation_mnus_50|               İğreti
str_relation_mnus_40|               İğreti
str_relation_mnus_30|               Şüphe
str_relation_mnus_20|               Şüphe
str_relation_mnus_10|               Kayıtsız
str_relation_plus_0|               Kayıtsız
str_relation_plus_10|               Kayıtsız
str_relation_plus_20|               Samimi
str_relation_plus_30|               Samimi
str_relation_plus_40|               Destekleyici
str_relation_plus_50|               Destekleyici
str_relation_plus_60|               Dostane
str_relation_plus_70|               Dostane
str_relation_plus_80|               Adanmışlık
str_relation_plus_90|               Adanmışlık
str_relation_mnus_100_ns|{s60} sana hıncı var.
str_relation_mnus_90_ns|{s60} sana hıncı var.
str_relation_mnus_80_ns|{s60} sana hıncı var.
str_relation_mnus_70_ns|{s60} sana karşı nefret dolu.
str_relation_mnus_60_ns|{s60} sana karşı nefret dolu.
str_relation_mnus_50_ns|{s60} düşmanlık hissediyor.
str_relation_mnus_40_ns|{s60} sana kızgın.
str_relation_mnus_30_ns|{s60} senden iğreniyor.
str_relation_mnus_20_ns|{s60} sana karşı huysuz.
str_relation_mnus_10_ns|{s60} sana karşı şüpheci.
str_relation_plus_0_ns|{s60} sana karşı kayıtsız.
str_relation_plus_10_ns|{s60} seninle işbirliğine hazır.
str_relation_plus_20_ns|{s60} sana karşı konuksever.
str_relation_plus_30_ns|{s60} sana karşı samimi.
str_relation_plus_40_ns|{s60} seni destekliyor.
str_relation_plus_50_ns|{s60} dostça yaklaşıyor.
str_relation_plus_60_ns|{s60} sana müteşekkir.
str_relation_plus_70_ns|{s60} seni beğeniyor.
str_relation_plus_80_ns|{s60} sana sadık.
str_relation_plus_90_ns|{s60} sana adanmış.
str_relation_reg1| Relation: {reg1}
str_center_relation_mnus_100|Halk senden ölesiye nefret ediyor
str_center_relation_mnus_90|Halk senden müthiş nefret ediyor
str_center_relation_mnus_80|Halk senden bayağı nefret ediyor
str_center_relation_mnus_70|Halk senden nefret ediyor
str_center_relation_mnus_60|Halk sana karşı öfkeli
str_center_relation_mnus_50|Halk sana karşı müthiş saldırgan
str_center_relation_mnus_40|Halk sana karşı epey saldırgan
str_center_relation_mnus_30|Halk sana karşı saldırgan
str_center_relation_mnus_20|Halk sana karşı
str_center_relation_mnus_10|Halk sana karşı uyumsuz
str_center_relation_plus_0|Halk sana karşı kayıtsız
str_center_relation_plus_10|Halk seni kabul ediyor
str_center_relation_plus_20|Halk seninle işbirliği gösteriyor
str_center_relation_plus_30|Halk seni destekler görünüyor
str_center_relation_plus_40|Halk seni destekliyor
str_center_relation_plus_50|Halk seni tamamen destekliyor
str_center_relation_plus_60|Halk sana sadık
str_center_relation_plus_70|Halk sana sadakatle bağlı
str_center_relation_plus_80|Halk kendini sana adamış
str_center_relation_plus_90|Halk sana ölümüne bağlı
str_town_prosperity_0|{s60} içindeki fakirlik katlanılamaz durumda
str_town_prosperity_10|Sefalet içindeki {s60} artık terk edilmiş durumda.
str_town_prosperity_20|{s60} şehri sefil ve kaderine terk edilmiş bir görüntü veriyor.
str_town_prosperity_30|{s60} şehri fakir ve ihmal edilmiş görünüyor.
str_town_prosperity_40|{s60} şehri sıkıntılı görünüyor.
str_town_prosperity_50|{s60} şehri kayda değer bir görüntü vermiyor.
str_town_prosperity_60|{s60} şehrinde bayındırlık sağlanmış.
str_town_prosperity_70|{s60} şehri refah içinde ve canlılık arz ediyor.
str_town_prosperity_80|{s60} şehri zengin ve bakımlı görünüyor.
str_town_prosperity_90|{s60} şehri zengin, kalabalık ve varlıklı insanlarla dolup taşıyor.
str_town_prosperity_100|Işıldayan {s60} zenginliğiyle gösteriş yapıyor.
str_village_prosperity_0|{s60} köyünün fakirliği iç karartıyor.
str_village_prosperity_10|{s60} köyü sefil ve acınası görünüyor.
str_village_prosperity_20|Sefalet içindeki {s60} artık terk edilmiş durumda.
str_village_prosperity_30|{s60} köyü sefil ve kaderine terk edilmiş bir görüntü veriyor.
str_village_prosperity_40|{s60} köyü fakir ve ihmal edilmiş görünüyor.
str_village_prosperity_50|{s60} köyü kayda değer bir görüntü vermiyor.
str_village_prosperity_60|{s60} köyünde bayındırlık sağlanmış.
str_village_prosperity_70|{s60} köyü refah içinde ve canlılık arz ediyor.
str_village_prosperity_80|{s60} köyü zengin ve bakımlı görünüyor.
str_village_prosperity_90|{s60} köyüne zenginlik ve bolluk hakim.
str_village_prosperity_100|{s60} köyü,büyük, verimli tarlalarla çevrili ve muazzam zenginlik içinde.
str_war_report_minus_4|savaşı kaybetmek üzereyiz
str_war_report_minus_3|durum pek parlak görünmüyor
str_war_report_minus_2|işler bizim için iyi gitmiyor
str_war_report_minus_1|çok uğraşırsak savaşı kazanabiliriz
str_war_report_0|düşmanla denk durumdayız
str_war_report_plus_1|savaşı kazanma ihtimalimiz kuvvetli
str_war_report_plus_2|vaziyet iyiye doğru gidiyor
str_war_report_plus_3|Bu noktada düşmanı yenmemiz zor görünmüyor
str_war_report_plus_4|zaferin eşiğindeyiz
str_persuasion_summary_very_bad|{s50} karşısında, onu ikna etmeye çok çaba harcıyorsun ancak söylediklerinin hiçbiri ağzından doğru çıkmıyor. Ne zaman manalı bir şey söyleyecek olsan tamamen farklı ve yanlış bir şey  dökülüyor dudaklarından ve konudan uzaklaşıyorsun. Konuşmayı bitirdiğinde fark ediyorsun ki sadece kendi lehine bir tanecik bile olsa bir fikir ortaya atamamakla kalmamış aynı zamanda konuştukça kendini dipsiz içinden çıkılması güç bir kuyuya itelemişsin. Anlaşılacağı üzere {s50} etkilenmiş görünmüyor.
str_persuasion_summary_bad|{s50} karşısında, onu ikna etmeye çok çaba harcıyorsun, ama her konuşmaya başladığında {reg51?o:o} ustaca araya girip lafı senden kapıyor. Kendi lafların bile sana mantıksız gelmeye başlıyor. Ancak işin iyi tarafı {s50}senin ne söylemeye çalıştığını daha duyamadı bile.
str_persuasion_summary_average|{s50} keskin bir zekaya ve konuşma konusunda yeteneğe sahip biri olduğunu ortaya koyuyor ve mantığıyla savuşturamayacağı kadar katı bir fikir öne süremiyorsunuz. Nihayetinde, ne siz ne de o, tartışmada bir üstünlük sağlayamıyorsunuz.
str_persuasion_summary_good|Çabuk düşünmen ve ağzının iyi laf yapması sayesinde düşünceni öyle güzel ortaya koydun ki, {s50} konumunu tekrar düşünmeye zorlandı. Yinede, {reg51?kafasında:kafasında} bazı kuşkular olduğu belli.
str_persuasion_summary_very_good|Şiir gibi akıcı, tutkulu bir konuşma yaptın. Çevrendeki her şey sanki seni daha iyi duyabilmek istercesine sessizleşti. {s50} bu ilham veren sözlerini duyunca derinden etkilendi ve{reg51?:} artık sana yardım etmeye çok daha hevesli görünüyor.
str_secret_sign_1|Dolap gece yarısı dansını yapıyor.
str_secret_sign_2|Bu güzel Türk işi işlemeleri satıyorum. Birkaç tane almayı düşünür müsün,?
str_secret_sign_3|Beni bir arkadaşın arkadaşı gönderdi...
str_secret_sign_4|Rüzgar doğudan sert eserken nehir kızıl renkte akıyor...
str_countersign_1|Fakat gardırop için mi yoksa mumluk için mi dans ediyor?
str_countersign_2|Olabilir, elinde hiç mavi renkte var mı?
str_countersign_3|Fakat, arkadaşım, arkadaşının arkadaşının asla benimki gibi bir arkadaşı olamaz.
str_countersign_4|Hasta mı oldun?
str_name_1|Sirko
str_name_2|Mozyra
str_name_3|Filon
str_name_4|Buhalo
str_name_5|Nechuy
str_name_6|Rourk
str_name_7|Asmund
str_name_8|Bjorn
str_name_9|Sigvar
str_name_10|Torgreyr
str_name_11|Gunnstein
str_name_12|Chort
str_name_13|Okun
str_name_14|Ivan
str_name_15|Çakır
str_name_16|Cafer
str_name_17|Tabash
str_name_18|Zamora
str_name_19|Gudz
str_name_20|Barnabas
str_name_21|Wojciech
str_name_22|Garsha
str_name_23|Baibak
str_name_24|Bakhmet
str_name_25|Akun
str_surname_1|Façalı {s50} 
str_surname_2|Kanlı {s50}
str_surname_3|Kartalgöz {s50}
str_surname_4|Sırık {s50}
str_surname_5|Gürbüz {s50}
str_surname_6|Altındil {s50}
str_surname_7|İpsiz {s50}
str_surname_8|Kızılsakal {s50}
str_surname_9|Aksak {s50}
str_surname_10|Dalgacı {s50}
str_surname_11|Yaban {s50}
str_surname_12|Bahtsız {s50}
str_surname_13|İnce {s50}
str_surname_14|Çakal {s50}
str_surname_15|Palavracı {s50}
str_surname_16|Üfürükçü {s50}
str_surname_17|Örümcek {s50}
str_surname_18|Kalınkafa {s50}
str_surname_19|Kabakulak {s50}
str_surname_20|Misket {s50}
str_surname_21|Kırsaç {s50}
str_surname_22|Kara {s50}
str_surname_23|Kızıl {s50}
str_surname_24|Tahtakurdu {s50}
str_surname_25|Demirbüken{s50}
str_surname_26|Sarsak {s50}
str_surname_27|İhtiyar {s50}
str_surname_28|Arakçı {s50}
