pt_none|hiç
pt_rescued_prisoners|Kurtarılmış Mahkumlar
pt_enemy|Düşman
pt_hero_party|Kahraman Grubu
pt_village_defenders|Korucular
pt_cattle_herd|Sığır Sürüsü
pt_looters|Yağmacılar
pt_manhunters|Gizli Birlik Nişancıları
pt_steppe_bandits|Tatar Akıncılar
pt_forest_bandits|İsyancılar
pt_mountain_bandits|Haydutlar
pt_sea_raiders|Eşkıyalar
pt_deserters|Firariler
pt_merchant_caravan|Tacir Kervanı
pt_troublesome_bandits|Belalı Haydutlar
pt_bandits_awaiting_ransom|Fidye Bekleyen Haydutlar
pt_kidnapped_girl|Kaçırılmış Kız
pt_village_farmers|Köylüler
pt_spy_partners|Önemsiz Yolcular
pt_runaway_serfs|Kaçak Serfler
pt_spy|Sıradan 
pt_sacrificed_messenger|Gözden Çıkarılmış Ulak
pt_forager_party|Atlı Avcılar
pt_scout_party|İzciler
pt_patrol_party|Devriye
pt_messenger_party|Ulak
pt_raider_party|Akıncılar
pt_raider_captives|Tutsak Yağmacılar
pt_kingdom_caravan_party|Yük Kervanı
pt_prisoner_train_party|Tutsak Kervanı
pt_default_prisoners|Varsayılan Mahkumlar
pt_routed_warriors|Bozguna Uğramış Düşmanlar
pt_center_reinforcements|Destek Kuvvetleri
pt_kingdom_hero_party|Savaşçı Birliği
pt_kingdom_1_reinforcements_a|kingdom 1 reinforcements a
pt_kingdom_1_reinforcements_b|kingdom 1 reinforcements b
pt_kingdom_1_reinforcements_c|kingdom 1 reinforcements c
pt_kingdom_2_reinforcements_a|kingdom 2 reinforcements a
pt_kingdom_2_reinforcements_b|kingdom 2 reinforcements b
pt_kingdom_2_reinforcements_c|kingdom 2 reinforcements c
pt_kingdom_3_reinforcements_a|kingdom 3 reinforcements a
pt_kingdom_3_reinforcements_b|kingdom 3 reinforcements b
pt_kingdom_3_reinforcements_c|kingdom 3 reinforcements c
pt_kingdom_4_reinforcements_a|kingdom 4 reinforcements a
pt_kingdom_4_reinforcements_b|kingdom 4 reinforcements b
pt_kingdom_4_reinforcements_c|kingdom 4 reinforcements c
pt_kingdom_5_reinforcements_a|kingdom 5 reinforcements a
pt_kingdom_5_reinforcements_b|kingdom 5 reinforcements b
pt_kingdom_5_reinforcements_c|kingdom 5 reinforcements c
pt_steppe_bandit_lair|Bozkır Haydutu Sığınağı
pt_forest_bandit_lair|Orman Haydutu Kampı
pt_mountain_bandit_lair|Dağ Haydutu Sığınağı
pt_sea_raider_lair|Deniz Yağmacıları Alanı
pt_looter_lair|Fidyeci İni
pt_leaded_looters|Soyguncu Çetesi
pt_zamoshie_bandits|Zamoshye Haydutları
pt_oim_monfor_party|Jaques de Clermont Askeri
pt_oim_swedish_army|İsveç Ordusu
pt_oim_kozak_army|Kazak Askeri
pt_oim_zagloba_party|Zagloba Askeri
pt_oim_potop_mercs_army|Cermen Paralı Askerleri
pt_oim_potop_mercs_army2|Cermen Paralı Askerleri
pt_getman_deserters|Firariler
pt_oim_merchant_caravan|Tacir Karavanı
pt_oim_merchant_caravan2|Tacir Kervanı
pt_oim_static_object|Do not translate
pt_village_defenders_fac1|Köy Muhafızları
pt_village_defenders_fac2|Köy Muhafızları
pt_village_defenders_fac3|Köy Muhafızları
pt_village_defenders_fac4|Köy Muhafızları
pt_village_defenders_fac5|Köy Muhafızları
